word	instances	hours
anfektelse	105	0.5
bit	160	1.0
bølge	131	0.75
damp	114	0.5
data	108	0.75
egg	112	0.5
etterforskning	132	0.75
fag	102	0.75
fil	192	1.5
forhold	104	0.5
formiddagen	122	0.5
frakk	130	0.5   
gress	110	0.5
horisont	118	0.75
idiot	118	0.75
kart	140	0.5
katten	112	0.5
kjemi	103	0.5
kloakk	130	0.5
krem	125	0.5
landet	143	0.5
leder	160	0.5
leilighet	120	0.5
linse	105	0.5
lyng	115	0.5
mening	110	0.5
mål	155	1.25
operasjon	113	0.5
plattform	102	0.75
pære	147	0.75
rad	177	1.25
rev	170	0.75
ris	117	0.5
sete	112	0.5
skjerm	112	0.5
stoff	115	0.5
tro	122	0.5
tropp	160	0.5
varsel	133	0.5
ørret	170	0.5
		
rev	110	0.75
husrom	118	0.5
		
bank	125	0.5
bystyrerepresentant	224	0.5
driftsregnskap	0	0.0
fane	0	0.0
fjær	0	0.0
innstilling	0	0.0
kanal	0	0.0
kjøpepress	0	0.0
kode	0	0.0
kohort	0	0.0
kreft	0	0.0
mappe	0	0.0
melding	0	0.0
melk	0	0.0
moment	0	0.0
mus	0	0.0
nett	0	0.0
oppvarming	0	0.0
overflate	0	0.0
papir	0	0.0
rådgiver	0	0.0
side	0	0.0
sky	0	0.0
spill	0	0.0
storby	0	0.0
stryk	156	0.5
strøm	0	0.0
syden	0	0.0
særforbund	0	0.0
tape	0	0.0
tavle	0	0.0
tendens	0	0.0
terror	0	0.0
tester	0	0.0
tjener	0	0.0
utakt	0	0.0
vert	0	0.0
vindu	0	0.0
virkelighet	0	0.0
virus	0	0.0
