identifier	cluster
1929-1965_anfektelse_32	0
1970-2015_anfektelse_9	0
1970-2015_anfektelse_17	0
1929-1965_anfektelse_43	0
1929-1965_anfektelse_33	0
1970-2015_anfektelse_16	0
1970-2015_anfektelse_2	0
1929-1965_anfektelse_17	0
1970-2015_anfektelse_4	0
1929-1965_anfektelse_11	0
1929-1965_anfektelse_30	0
1929-1965_anfektelse_31	0
1929-1965_anfektelse_48	0
1929-1965_anfektelse_56	0
1929-1965_anfektelse_10	0
1970-2015_anfektelse_3	0
1970-2015_anfektelse_0	0
1970-2015_anfektelse_6	1
1970-2015_anfektelse_15	1
1970-2015_anfektelse_11	1
1970-2015_anfektelse_5	1
