identifier	cluster
1970-2015_horisont_168	0
1929-1965_horisont_32	0
1970-2015_horisont_56	0
1929-1965_horisont_199	0
1970-2015_horisont_205	0
1929-1965_horisont_299	0
1929-1965_horisont_215	0
1929-1965_horisont_177	0
1929-1965_horisont_231	0
1970-2015_horisont_3	0
1970-2015_horisont_14	0
1929-1965_horisont_88	0
1970-2015_horisont_120	0
1970-2015_horisont_87	1
1970-2015_horisont_28	1
1970-2015_horisont_44	1
1970-2015_horisont_74	1
1970-2015_horisont_210	1
1929-1965_horisont_137	2
1929-1965_horisont_172	2
1929-1965_horisont_133	2
1929-1965_horisont_9	3
