identifier	cluster
1970-2015_landet_1490	0
1970-2015_landet_8656	0
1929-1965_landet_2242	0
1970-2015_landet_3572	0
1970-2015_landet_3433	0
1970-2015_landet_8036	0
1970-2015_landet_6537	0
1929-1965_landet_257	0
1929-1965_landet_1192	0
1970-2015_landet_3629	0
1970-2015_landet_4322	0
1929-1965_landet_331	0
1929-1965_landet_973	0
1929-1965_landet_1627	0
1929-1965_landet_1460	0
1929-1965_landet_716	0
1970-2015_landet_5655	0
1970-2015_landet_2542	0
1970-2015_landet_6546	1
1929-1965_landet_79	1
1929-1965_landet_2337	2
1929-1965_landet_817	3
