identifier	cluster
1970-2015_mening_14128	0
1970-2015_mening_4055	0
1970-2015_mening_681	0
1970-2015_mening_9596	0
1929-1965_mening_890	0
1970-2015_mening_15778	0
1970-2015_mening_6773	0
1929-1965_mening_3651	0
1929-1965_mening_2116	0
1929-1965_mening_1640	0
1970-2015_mening_10568	0
1929-1965_mening_4458	0
1970-2015_mening_18472	0
1929-1965_mening_4969	0
1970-2015_mening_13763	0
1970-2015_mening_15060	0
1929-1965_mening_2964	0
1929-1965_mening_3643	1
1970-2015_mening_11299	1
1929-1965_mening_1442	1
1929-1965_mening_974	1
