lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
damp	NN	1929	1929-1965	1929-1965_damp_256		Når blir vatnet til damp ?	20:24	0:26	13404	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_286		I den naermeste tiden etter en slik underjordisk eksplosjon, vil fjellet rett over eksplosjonsstedet kollapse og danne en «nedfallsøyle» hvor stein og fjellblokker faller ned på den størknede massen i eksplosjonshullet som derved ikke lenger er hermetisk lukket. Radioaktive gasser og damp vil da lett spre seg oppover i denne vertikale og langstrakte steinmassen.	284:288	0:363	13410	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_79		Trondsdatter Fonnås søndre, og ved midtsommertid sover en hvithåret, tettfingret gutt i vuggen under de sotete slinder på Søstu Fonnås, mens Rønnaug frodig og frisk baerer vann fra brønn til fjøs og Knut driver med plogen øverst i Søstujordet der Bård brente bråte, så svetten triller nedover det brune, magre ansikt og damper av den ullgrå skjorten. Larne6ap var lorlanZt, 03 preBten 82 ikke Btort 6a knut korn. «Vette er noe ti6lig, min k)Xre knut,» 8a lian. knut 8a lieller ikke ztort. VIDDENS HERRER	319:325	0:502	13412	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_368		En sur røk velter op mot ham, men gjennem den ser han noen skikkelser springe som gale under sig. En fot vann ruller over dørken, og liver gang sleisene rykkes ut av fyren, faller asken ned i oversvømmelsen med en fresende lyd, mens en grå damp ryker op av vannet.	240:244	0:264	13401	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_394		Dampen stod av hestekroppene.	0:0	0:29	13398	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_78		Det er medisinsk bruk av planter som brukes übehandlet eller i konsentrater, avkok og essenser fra røtter, stengler, blader og frø. Metoden er beskrevet i punkt 6.3.9. - Inhalasjonsterapi er å inhalere damp med aromatiske oljer.	202:206	0:228	13418	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_102		Om en stund igjen hørte hun klamp nede paa veien som av hestedrifter: pilegrimmerne, som vendte hjem fra dampen og bryggen ! . . .	105:111	0:130	13403	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_17		Kravene som stilles til beregningsresultatene skal ifølge de amerikanske sikkerhetsforskriftene (6), som også anvendes i Europa, vise at: den beregnede høyeste kapslingstemperatur ikke overstiger 1 204° C. den beregnede oksydasjon av kapslingsmaterialet på grunn av kjemisk reaksjon med vann og damp ikke på noe sted overstiger 17 pst. av den opprinnelige veggtykkelsen på kapslingen. den beregnede hydrogenproduksjon på grunn av kjemisk reaksjon mellom kapslingsmaterialet og vann/damp ikke overstiger 1 pst. av den mengden som ville ha vaert produsert dersom alt kapslingsmaterialet hadde reagert. - beregnet deformasjon av kjernen ikke skal kunne forhindre kjøling. - etter en beregnet vellykket nødkjøling skal den beregnede kapslingstemperaturen forbli på et akseptabelt lavt nivå, og den varmen som fremdeles produseres skal kunne fjernes. Krav til beregningsmodeller Forskriftene krever en meget detaljert doku- mentasjon.	295:299	0:928	13417	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_153		Områdekategori a er delt inn i følgende soner: - Sone 0: Områder hvor det uavbrutt eller i lange perioder forekommer en eksplosiv blanding av brennbar gass, damp eller svevende vaeskedråper og luft. - Sone 1 :	157:161	0:208	13416	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_306		Det stod nu vesentlig bare igjen å gjøre maskinen klar og få dampen op; dette arbeide gikk vi igang med allerede den 18. mai.	61:67	0:125	13409	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_272		— Størrelsen på de beregnede kostnader for overføring av damp eller hetvann mellom Fiskaa Verk og Falconbridge er bedriftsøkonomisk konkurransedyktig sammenliknet med kostnader til egenprodusert varme fra elkraft eller olje.	57:61	0:224	13399	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_16		Var det tenkelig ar hans medreisende kunde følge med i de russiske bemerkninger som blev vekslet mellem ham og hans kone? Men jeg beroliget ham med at jeg bare kunde noen få gloser, det endte i spøk. Trotsky fortalte ved frokosten om sin reise ved juletid for tyve år tilbake ombord i en italiensk damper pa vei fra Spania til De Forente Stater.	298:304	0:345	13400	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_190		Hvert av kraftverkene antas, i henhold til søknaden, å ha et gjennomsnittlig årlig CO 2 -utslipp på 1,05 millioner tonn og et NOx-utslipp på 560 tonn. For Kårstøanlegget er det inngått avtale med Stat- pipe om leveranser av damp til gassbehandlings- anlegget.	224:228	0:259	13402	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_45		Et lite jorde vest for grensen mot Lille Oust. Ovre og nedre Mellemengene. Ostbya. Jordet vest for grensen mot Lille Oust. Veien fra damp skip sb ryggen og Bjbrnenga deler jordet. Ringerikshaugene.	133:137	0:197	13405	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_319		Det er slik oppvarming som kan vaere aktuelt i Norge. Den industrielle bruk av jordvarmen ble innledet i 1840 da man begynte å utvinne borsyre fra damp som ble tatt opp fra borehull i Lardarello i Italia. Det var også her man begynte å lage el-kraft fra dampen i 1904.	146:150	0:267	13414	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_285		Dampen ledes inn, og trykket stiger og det stadig høiere enn den temperatur som ren damps trykk tilsvarer, så her kan man ikke klare sig uten et termometer.	84:89	0:156	13411	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_393		Det er vinter, og isen ligger blank på innsjøen. Bare lengst i syd der elven faller ut, er det en lang, apen stripe hvorfra tynne damper stiger op i vinterkulden. En «raide» eller rekke av reinsdyr med sine sleder kommer kjørende opover isen.	130:136	0:242	13415	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_442		Plan hadde bare å arbeide og ta i na, og det gjorde han som en kar. Hammer og slegge gikk i neven som med damp. I visse mater var han også blitt nokså trygg, for passet madam Holman så stritt på ham, så var dette også en sikkerhet mot at Silla tullet seg bort med andre.	106:110	0:270	13408	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_239		Luten inneholder forholdsvis store mengder med SO2, som en imidlertid relativt lett kan fjerne med damp.	99:103	0:104	13397	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_87		Installasjoner for bruk i fredstid Akkumulatoranlegg Omfang Plassering Ventilasjon 806.7 806.8 806.9 806.10 Vern av ladeinnretning 806.11 §808 Vern av kurser fra akkumulatorbatterier Eksplosjonsfarlige områder 808.0 Innledning 808.1 Inndeling av eksplosjonsfarlige områder 808.2 Beskyttelsesarter for utstyr for bruk i områdekategori a Gruppeinndeling 808.3 808.4 Maksimal overflatetemperatur - temperaturklasser Tenntemperatur 808.5 808.6 Godkjenning av inndeling av eksplosjonsfarlige områder Krav til elektriske anlegg i områdekategori a 808.7 808.8 Krav til elektriske anlegg i områdekategori b Krav til elektriske anlegg i områdekategori c og d 808.9 Vedl.l Vedl.2 Soneinndeling Gruppeinndeling av og visse data for en del gasser og damper Tenntemperatur og tetthet for en del støvskyer	712:716	0:791	13413	real_norwegian_semantic_change	no	andrey
damp	NN	1929	1929-1965	1929-1965_damp_161		Og han kjende sakte karane, — dei hadde jamt i det siste borda dampen med laksekassone sine. — Ja hadde der no vore bryggje uppmed land her, so vilde de ha sloppe å fylgja med til Reppen, let han — då dampen for framum Totlandsgrenda.	63:69	0:234	13406	real_norwegian_semantic_change	no	andrey
damp	NN	1970	1970-2015	1970-2015_damp_245		Organisk bundet kvikksølv oksyderes til to verdig kvikksølv i ioneform (Hg - Deretter reduseres kvikksølvet til elementaer tilstand med tinnklorid, og drives ut som damp ved hjelp av helium som baeregass.	164:168	0:202	13407	real_norwegian_semantic_change	no	andrey
