lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
data	NN	1929	1929-1965	1929-1965_data_96		De meteorologiske data nedbør og temperatur, hvorav temperaturen er inntegnet på plansjen, viser for Dalens vedkommende at den høye vannstand skyldes sterk kulde. Fra 7. til 14. febr. var temperaturen i Dalen (på plansjen er fremstillet kurven for minimumstemperaturen kl. 19 vedkommende dag) nede i 16 til 20 kuldegrader, og dette faller sammen med brønnenes og limnigrafenes høye vannstand som derfor antas å skyldes isoppstuvning i elven. Limnigrafen Moen I har dessverre et avbrudd i registreringskurven for dette tidsrum, mens limnigrafen Moen II viser en vannstand bare 5 cm lavere enn den maksimale for 21/12.	18:22	0:616	14044	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_1865		De statistiske data som er nødvendige for anvendelsen av denne artikkel, skal fastsettes av Kommisjonen i samsvar med regler vedtatt av Rådet etter fremgangsmåten i artikkel 42. 29.3.	15:19	0:183	14037	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_3083		Endring i vedlikeholdsmengden i vegnettet, km vei av ulike veityper og lokalisering. Endringer i antall h jernmen jelpstimer , antall personer tildelt hjelp, geografisk fordeling. Hensikten er å beskrive og/eller gi karakteristiske data for hvem som er brukere av den aktuelle tjenesten. Formålet med dette er å kunne vurdere om tjenestene når fram til dem de var tiltenkt.	232:236	0:373	14036	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_25972		Altinn er først og fremst bygget for å sende inn data elektronisk.	49:53	0:66	14040	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_153		Ite henvisninger til nyere litteratur er tatt med. I «Summary» er disse data brukt som innledning til «Petrology of the rocks», som på grunn a\ Foslies fyldige og omhyggelige undersøkelser måtte refereres utførlig. De to eldre driftsperiodei som Foslie har beskrevet ovenfor •ra Christiansgaves (Lilledales) kobberverks historie, angar utelukkende Ølvehalvøya.	72:76	0:360	14047	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_876		For å få tilstrekkelig materialstørrelser er man derfor avhengig av å kombinere data fra flere år.	80:84	0:98	14051	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_256		Lykkes det å øke denne vesentlig, vil konsekvensene vaere meget store, - men løsningen ligger sannsynligvis langt frem i tiden. På det kommunikasjonsmessige område er for tiden den paradoksale situasjon oppstått at man stadig ønsker å få overbragt flere data og mer informasjon, i form av ord, tall eller målinger, og samtidig er man i ferd med å drukne i alle de opplysninger man innhenter og mottar. Løsninger på dette kan neppe finnes gjennom noe annet middel enn den elektroniske databehandling, og dette er nettopp et fagområde som langt fra er avklaret.	253:257	0:558	14042	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_144		"111 617; Statsarkivet i Trondheim eier kjøbmann og rådmann Henrik Hornemans optegnelser (hefte i 4to), hvorfra flere data til ovenstående er hentet] Horneman, Jacob Hersleb, 1819—86, genealog, forstander, sønn av ovennevnte assessor Christian Hersleb H., f. i Trondheim Ve 1819, eier av Skånes gard ved Levanger 1841—54, senere av Voldsminde gard i Strinda (nu innlemmet i Trondheims byområde), forstander for de offentlige stiftelser i Trondheim fra mars 1870 til sin død, som inntraff i Trondheim 23 / 3 1886. Gift der Vo 1841 med Anette Blom, f. der 12 / 5 1820, d. på Skånes ved Levanger 8 /9 1854, datter av magistratspresident Jan B. og 2. hustru Anna Brun Kaasbøll Sommer. H. vokste op i et tradisjonsfylt miljø, hvor boklige interesser gjennem generasjoner hadde vaert tilstede. I familiens bygård, «Hornemansgården"" ved torvet, et av Trondheims bekjente «trepalatser"", fantes et rikholdig familiebibliotek med mange bibliofilskatter og litteraere specimina."	117:121	0:964	14043	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_88		De hittil foreliggende data omfatter bare enkelte borhull, herunder beliggenhet, dybde, vannføring ifølge prøvepumping (undertiden flere målinger fra forskjellige dybder av samme borhull).	23:27	0:188	14048	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_11676		"Data fra stasjonene med 2, 2 og 3 døgns prøvetaking av SO 2 , SO 4 , (NO 3 ""+HNO 3 ), (NH4 + +NH 3 ) (se vedlegg 8.2) er ikke direkte sammenlignbare med stasjonene med døgnlige data, bortsett fra middelverdiene."	177:181	0:211	14049	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_235		Dataene for nyinvestering (rubrikk 3) framkommer som reststørrelser, dvs. differanser mellom data for samlet investering og data for reinvestering. Se også punkt 2.6. 3.2 Modellene 5 og 6 Under forutsetning av at det bare er to alternativ, forutsetter modellene beregning av marginal intern rentefot ved overgang fra det alternativ som medfører det minste investeringsbeløp (alternativ 2) til det som medfører det største investeringsbeløp (alternativ 1).	93:97	0:455	14038	real_norwegian_semantic_change	no	andrey
data	NN	1970	1970-2015	1970-2015_data_15113		Etter dette gjenstår det å gi en fremstilling av de opplysninger som skal vaere spesifikke for registreringen i frivillighetsregisteret, og som altså vil komme i tillegg til de data som registreres i Enhetsregisteret.	176:180	0:216	14054	real_norwegian_semantic_change	no	andrey
data	NN	1929	1929-1965	1929-1965_data_255		Her inngår elektronisk utstyr i vesentlig grad for linje- og kabelforbindelser og for radiolinjer ved overføring av telefoni, telegrafi, måletekniske data osv.	150:154	0:159	14041	real_norwegian_semantic_change	no	andrey
