lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
forhold	NN	1970	1970-2015	1970-2015_forhold_187467		Om utseendet på denne i forhold til den primaere inntektsfordelingen og til fordelingen av disponibel inntekt i land som er sammenliknbare med Norge har det vaert fremkastet flere ulike hypoteser.	24:31	0:194	13563	real_norwegian_semantic_change	no	andrey
forhold	NN	1970	1970-2015	1970-2015_forhold_104934		Relativt vide sosiale lag vil kunne oppfatte NAMITs miljøalternativer som en følbar begrensning i forhold til mulighetene i trendalternativene.	98:105	0:143	13549	real_norwegian_semantic_change	no	andrey
forhold	NN	1929	1929-1965	1929-1965_forhold_9629		Tilsier forholdene ikke at man lar en forsømmelse fra fullmaktsgiverens side av den art som her er nevnt få til følge at han blir bundet ved fullmektigens handling, kan der vaere grunn til å la ham erstatte den negative interesse. 83 Jfr. BRDD. VI. nr. 866. 34 Se ovenfor § 15. IX. 85 Se saerlig Bj6rl i n g: Oåterkallelig fullmakt (i Festskrift fdr Grotenfelt 1929.	8:18	0:364	13551	real_norwegian_semantic_change	no	andrey
forhold	NN	1929	1929-1965	1929-1965_forhold_2167		Som en av de første skrev han i årbøkene 1909 og 1917 henholdsvis om Finnmark og Nordland som fotturdistrikter, og 1924 behandlet han skogfinnene i Nordmarken. Fra 1918 var han varamann til og 1921 — 26 medlem av Turistforeningens direksjon. Nytt land har N. fremfor alt brutt i Norges eldre kartografi, som tiltrakk sig hans opmerksomhet under studiet av lappenes forhold i eldre tid og under grenseforhandlingene mellem Norge og Finnland; fra dette område, hvor han kar foretatt omfattende forskninger, foreligger en rekke verdifulle resultater (utrykte redegjørelser for Utenriksdepartementet juli 1922; Aftenposten 1931 nr. 625; Boken om bøker 111, 1932;	365:372	0:658	13561	real_norwegian_semantic_change	no	andrey
forhold	NN	1929	1929-1965	1929-1965_forhold_2974		I denne salme, som den bekjente bibelfortolker Delitzsch kaller «et speil til advarsel, hentet fra historien fra Moses til David», er Israels tidligere historie, saerlig utfrielsen fra Egypt og ørkenvandringen, benyttet som en lignelse for dikterens samtidige, idet han har villet at de skal anvende de historiske kjensgjerninger han minner om, på bestemte tilstander og forhold som tilhører hans egen tid. Og denne dikterens belaerelse av folket i parabolisk og gåtefull form har da Matt. betraktet som et av Guds Ånd skapt forbilde på Jesu paraboliske laeremåte: Liksom Jesus overbodet er oppfyllelsen av den gtl. historie, så er han det også som profet i alt det som er eiendommelig for profeten, og til den profetiske forkynnelses eiendommelighet hørte bl. a. evnen tii å forkynne den guddommelige sannhet i de former som til enhver tid var formålstjenlige, og da også i tilfelle å forkynne den på en slik måte at det krevdes ettertanke for å utfinne den virkelige mening. I stedet for det i den hebraiske grunntekst benyttede uttrykk «gåtefulle ord fra fordums tid» har Matt. satt «det som har vaert skjult, fra verdens grunnvoll ble lagt», og derved har han da åpenbart tenkt på Gudsrikets «hemmeligheter», som hittil har vaert skjult (sml. til v. 11). h) Tydning av ugraslignelsen, 13, 36—4-3. V. 36: Etter å ha foredratt de i det foregående gjengitte lignelser lot Jesus folket fare og gikk inn i huset, hvor disiplene gikk til ham og bad ham tyde den om ugraset.	370:377	0:1466	13564	real_norwegian_semantic_change	no	andrey
forhold	NN	1970	1970-2015	1970-2015_forhold_111903		Undersøkelsen påpeker til slutt tre forhold som synes å ha betydning for et velfungerende utvalg: Fordi det i stor grad er opp til likestillingsutvalgene å ta initiativ og sette likestilling på dagsordenen, er det viktig at det oppnevnes medlemmer som er interessert i likestillingsarbeid.	36:43	0:289	13550	real_norwegian_semantic_change	no	andrey
forhold	NN	1970	1970-2015	1970-2015_forhold_172173		O J « W 0 3 28 1968—69: 11 2 1969—70: 12 2 0 2 20 Kommunalministeren 2 2 5 4 1 10 1970—71: 7 3 1971—72: 4 3 1945—46: 3 1947: 1948: Opprettet 20/12 -48 9 3 3 10 1949: 9 Forsvarsministeren 1945—46: 15 1950: 10 9 7 1 20 1951: 7 6 7 5 16 2 0 5 2 5 0 0 0 0 0 4 5 32 1952: 11 7 1947: 13 3 1953: 15 4 1 5 10 1948: 18 1 1 5 26 1954: 9 1955: 12 1956: 16 1957: 7 1958: 16 1959: 13 4 1949: 7 4 0 1 11 4 1 3 23 1950: 7 2 0 15 7 3 4 27 1951: 11 0 0 2 18 4 1 3 13 1952: 8 1 0 1 27 8 3 5 18 1953: 9 4 0 3 15 0 1 16 3 1954: 6 2 0 3 16 1959—60: 13 1960—61: 17 1961—62: 14 1962—63: 25 1963—64: 16 1964—65: 15 1965—66: 16 1966—67: 20 1967—68: 17 1968—69: 15 1969—70: 16 1970—71: 14 1971—72: 14 8 6 6 21 1955: 12 1 0 1 21 3 7 31 1956: 13 1 0 3 14 6 5 2 6 14 1957: 14 7 0 0 10 7 3 5 26 1958: 8 4 0 0 17 2 2 10 16 6 5 29 1959: 10 2 0 0 11 9 5 29 1959—60: 8 4 0 &gt; 1 16 4 6 21 1960—61: 13 1 0 2 25 6 4 2 3 13 1961—62: 9 2 118 7 4 4 21 1962—63: 8 1 0 2 12 5 3 3 24 1963—64: 8 2 0 2 7 8 6 4 35 1964—65: 5 0 0 1 13 7 2 7 21 1965—66: 5 0 0 2 12 6 3 8 44 1966—67: 3 4 0 13 Statssekretaerordningen m. m. Bilag 3. Forholdene i andre land Utvalget har søkt å innhente opplysninger om ordninger som svarer til vår statssekretaerordning i enkelte fremmede land med et styresett som er likeartet med vårt.	1214:1222	0:1271	13552	real_norwegian_semantic_change	no	andrey
forhold	NN	1970	1970-2015	1970-2015_forhold_40960		Når det gjelder forholdet mellom rente og sparing, gir imidlertid ikke livssyklusteorien noen større klarhet i det fundamentale spørsmål om det er substitusjons- eller inntektseffekten som dominerer.	16:25	0:199	13558	real_norwegian_semantic_change	no	andrey
forhold	NN	1929	1929-1965	1929-1965_forhold_12929		1 Da han fem år senere møtte Ibsen igjen i Stockholm, så han anderledes på det enn før. Da hadde giftermålet og departementsarbeidet ført ham inn i en konflikt i forholdet til hans miljø, som skulde kreve all hans vilje og handlingskraft for å overvinnes.	162:171	0:255	13567	real_norwegian_semantic_change	no	andrey
forhold	NN	1970	1970-2015	1970-2015_forhold_166772		Det må understrekes at i et system der skatteinntekter utgjør en viktig finansieringskilde av den kommunale driften, vil det skje endringer i inntektsfordelingen, også i penoder uten skattereform, bl.a. som følge av konjunkturelle forhold.	231:238	0:239	13556	real_norwegian_semantic_change	no	andrey
