lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
frakk	NN	1929	1929-1965	1929-1965_frakk_83		«Man lever i tynn frakk og kulde, små forhold ... undser sig i sin sjel . . . føler sig ågå under som menneske dag for dag ...	18:23	0:126	14061	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_25		Her anløpes imidlertid Gåsøya i sommervaer i 1930. Herren i frakk er tro	59:64	0:71	14062	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_15		Der fant de to kvinner, husmannskonen Liva Krågsvald og hennes datter Bergitte, begge kun iført linnet. 12 De ga dem sine egne frakker til beskyttelse mot kulden.	127:134	0:162	14067	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_290		Men hun hadde selterspulver. «Ta av dig frakken — så skal du få noget å slukke tørsten med, gutten min.» Hun lukket døren til spisestuen efter sig — nå nådde ingen lyd inn til de andre guttene.	40:47	0:193	14060	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_187		Nei, riktig fin skolelaerer med frakk — inne i byen.	31:36	0:51	14057	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_26		De kan beholde frakken på, ta med seg kaffekoppen og behøver ikke å registrere seg noe sted. Ellers planlegges omfattende utstillingshall og kontinuerlig filmfremvisning.	15:22	0:170	14071	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_308		Vi hadde nemlig baat fra selveste game warden. Heldigvis hadde jeg dog den gamle frakken min med den kvelden. Den frakken er temmelig haendi, skal jeg si dere, nåar fristelsen er blit en stakkars krok for sterk.	21:24	0:210	14064	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_180		BERENT (setter fra seg batt og legger fra seg frakken på stolen ved døren. Kommer langsomt frem, setter seg ved bordet, så at han har dette ved siden, tar papirer frem av sin brystlomme) .	15:18	0:188	14056	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_21		Også her dreide det seg om «organisert» kriminalitet begått både i Sverige og Norge, nemlig tyveri av jakker, frakker og kåper i skinn.	110:117	0:135	14072	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_126		De som bare flyktig kjente Fridtjof Nansen i hans unge år, så for sig en høi, stram, barsk kar, påfallende klaedd, i noget stramt* sittende idrettstøi, frakk gikk han aldri med. En forfengelig fyr, tenkte visst mange, han måtte vaere noget narraktig, fordi han gikk så aparte klaedd. Folk pleide ikke gå slik klaedd dengang. Men når broren snakket til ham om dette :	151:156	0:362	14068	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_23		Iført skjerf om halsen og frakk. Stillingen som universitetssekretaer innebar i praksis at Christian Holst fungerte som universitetsdirektør. Jacob Hanssen var sogneprest til Øyestad fra 1834 til sin død i 1841.	26:31	0:210	14059	real_norwegian_semantic_change	no	andrey
frakk	NN	1929	1929-1965	1929-1965_frakk_339		Han syntes å vaere født og båret til å tråkkes på, vaere byens beklager og ynkede narr Eller Faste vendte seg brått og strøk med rask fart oppad hovedgaten til banken dens fører og første mann, som begynte i en loslitt frakk og endte med å gjøre byen til en storstad! Nålestikk . . . ? . . .	217:222	0:289	14063	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_16		I Oslo fikk han 20-30 kroner av Nasjonalhjelpen og lånte en frakk som dekket over den loslitte Griniuniformen.	60:65	0:110	14065	real_norwegian_semantic_change	no	andrey
frakk	NN	1970	1970-2015	1970-2015_frakk_5		Svenskene ble stoppet i utgangstrappen med frakk på. Christensen hadde sagt seg villig tit å diskutere fusjon med Skandia uten a diskutere dette først med Villum Hansen og UNI Storebrand,.	43:48	0:188	14074	real_norwegian_semantic_change	no	andrey
