lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
kart	NN	1970	1970-2015	1970-2015_kart_5336		Ved Fura (235578), Åkvisla (225555) og Gåsbubekken (190548) angir skjaeringer i morenematerialet mektigheter på 10-30 m, mens den gjennomsnittlige materialdybden innenfor flatbygdene basert på observasjoner av brønnboringer, materialtak og hustomter er fra 1 til 4 m. MORENEMATERIALETSBERGARTSINNHOLD Morenematerialets egenskaper er i stor utstrekning bestemt av de bergarter det er dannet av. En vurdering av kartets moreneområder bør derfor alltid sammenholdes med morenematerialets bergartsinnhold (Fig. 4-7).	409:416	0:511	13807	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_1204		Jeg har den aergjerrighet å oppdage en båt, og min fantasi sier meg at det store eventyr ville vaere å komme vel hjem i den. Jeg trur det kunne vaere fornuftig å ha noe bestemt å arbeide med, sa Knut. Om vi for eksempel stiller oss den oppgaven å få i stand et kart over øya. Lediggang er rota til alt ondt.	258:262	0:304	13794	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_767		Den aktive del av en kartdatabank vil for de fleste praktiske formål reduseres til referanser til kartets aktualitet, samt hvor kart og kartdata er tilgjengelig.	21:25	0:161	13812	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_1157		Det er også behov for bedre regler for registrering av uregistrerte eiendommer. Når kart og register skal knyttes sammen, er det viktig at alle «flater» i kartet er identifisert.	84:88	0:178	13791	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_3704		Som nevnt foran, begrenser vi oss i denne utredningen til å behandle den informasjon vi finner i topografiske kart i målestokkene 1: 500 —1: 50 000 og beslektede registre.	110:114	0:171	13806	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_2272		Hermed var hele kysten kartlagt. Målingene var imidlertid foretatt med primitive instrumenter og fartøyer og under press av tid for å tilfredsstille det øyeblikkelige behov. En grundigere og nøyaktigere omhydrografering for å skaffe sjøkart som er tjenlige for vår tids behov ble påbegynt for omtrent 100 år siden og har senere fortsatt. De målinger som nå finner sted på kysten skjer i alminnelighet i målestokken 1 : 20 000 og kartene utgis i hovedserien 1 :50 000.	429:436	0:467	13805	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_92		Og politiet benekter med rettens seinere tilslutning at noen kvinne finnes i saken. Men det er den gamle historien om kartet og terrenget.	118:124	0:138	13793	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_2631		For detaljert beskrivelse henvises til Vedlegg B, Raddum og Fjellheim (1985), Raddum et al. (1988) og Fjellheim og Raddum (1990). Forsuringssituasjonen i de enkelte lokaliteter er vist på kart som gjennomsnitt av de to undersøkelsestidspunkt. Variasjonen i forsuringsindeks over tid er vist grafisk.	188:192	0:299	13802	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_953		De nye utnyttingsformene har en til dels hatt liten styring med, og Vidda har endret karakter i en retning som er lite ønskelig, jfr. kart nr. 22 — 25, i Bok B. Naturvernlovens formålsparagraf fastslår som nevnt foran at ressurser skal disponeres i et allsidig og langsiktig perspektiv.	134:138	0:286	13796	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_5603		I den anledning ble det tegnet et kart over eiendommen, som må ha vaert selvstendig og betydelig. Ellers ville det ikke blitt tegnet kart over en skogseiendom.	34:38	0:158	13809	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_1763		Der veltet hele drømmetoget! Nettop som jeg i formiddag kl. 11 satt og så på kartet og tenkte at nu var mitt beger snart fullt, 78-graden var snart nådd, så luffet det til og jeg sprang ut. Forut lå iskanten bred og tett og lyste op i skodden.	77:83	0:243	13811	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_1372		Diet vil fremgå av kartene at disse ganger i alminnelighet følger forholdsvis parallelt med grensen.	19:26	0:100	13795	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_830		Kartet har norsk tekst og bl. a. en tegnforklaring som viser 8 steder hvor man hadde brutt eller brøt malm. LratßberA do. 1.t6. tole opp drillen iZjen ca. (1863?) 186) — 68. kt Btort arbeide ble nedlaZt i 1864 med a bvZZe vei opp Kivledal (300 mann Blcal ka arbeidet pa veien oZ den skal ka lcoßtet 3200 daler), bvZZe Kuß, dampmaßlcin 08V., men det ble arbeidet lite i Zlubene, meßt i XonZßZruben.	174:176	0:397	13798	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_598		Det var dratt pa a Bne litt ogßa. Vi 8a bortover den nvite Bnesrkenen under polarnimmelen, og valget kalt pa den lille garden Bom vi nådde kunnet pa kartet over den kinßke kilen. 3tedet neter 3vva)'a'rvi.	101:105	0:204	13801	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_2160		Gjennom Etiopias jungle. 1935. 191 s. ill. kart. Borchgrevink, Ridley.	43:47	0:70	13803	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_1605		Eventuelt også et verdenskart som klart viser havene Kart over et par typiske norske fjorder, en i Nord-Norge og en i Sør- Norge. Eks. :	34:39	0:136	13808	real_norwegian_semantic_change	no	andrey
kart	NN	1929	1929-1965	1929-1965_kart_2750		Hvis karter var fullkomne gjengi velser av terrenget og landskapet ,så kunne det vel la seg arbeide i høye re grad etter dem erm nu* Men som seiv de beste karter na er, kan studiene i marken ikke unnvaeres om en overbevisende god løsning skal bli resultatet av et arbeid, som vedkommende ellers er heldig med.	5:11	0:308	13810	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_5711		L.;_at topografiske kart M	20:24	0:26	13792	real_norwegian_semantic_change	no	andrey
kart	NN	1970	1970-2015	1970-2015_kart_68		For befalet og saerlig avdelingssjefene, som var ukjente i trakten, var mangelen på kart en meget vesentlig ulempe. 13) Valget av stillingen ved Haegeland synes vel begrunnet, området egnet seg til forsvar og dekket hva det skulle.	83:87	0:229	13797	real_norwegian_semantic_change	no	andrey
