lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
landet	NN	1929	1929-1965	1929-1965_landet_2337		Han var lys og krøllet i håret med kloke øyne og så vig og smidig og vakker at alle bygdens piker gjorde seg aerend og sognet til boden bare for å se ham. Og dertil var han så dyktig i all sin gjerning at handelsmannen aldri ville skille seg med ham. Så var det engang han for ut til fiskevaeret for prinsipalen. Strømmen bar stri imot, og han rodde langs landet.	354:360	0:361	13659	real_norwegian_semantic_change	no	andrey
landet	NN	1970	1970-2015	1970-2015_landet_8656		I Oslofjordområdet er det mindre avstand mellom de foreslåtte sentrale havner enn andre steder i landet. Styringsgruppen har imidlertid funnet at det innen planperioden ikke vil vaere realistisk med en ytterligere havnekonsentrasjon i dette området da det er låst fast store verdier i navnenes eksisterende infrastruktur og virksomheter.	97:103	0:336	13678	real_norwegian_semantic_change	no	andrey
landet	NN	1970	1970-2015	1970-2015_landet_4322		Etter forskrifter fastsatt ved kongelig resolusjon den 24. juni 1983 med hjemmel i folketrygdloven § 4-3 nr. 4 bokstav b kan inntekt opptjent på et utenlandsregistrert skip likestilles med inntekt av arbeid her i landet.	213:219	0:220	13663	real_norwegian_semantic_change	no	andrey
landet	NN	1970	1970-2015	1970-2015_landet_5655		"En rekke ulike atomulykker og ulykker med strålekilder har funnet sted gjennom årene. Felles for mange ulykker og uhell er at de skyldes en kombinasjon av tekniske feil, manglende eller utilstrekkelige prosedyrer og såkalt ""menneskelig svikt."" Norge er omgitt av en rekke ulike kilder som potensielt kan bidra til radioaktiv forurensning i landet. Risikoen for nedfall over norsk territorium fra ulike kilder i andre land er reell, og langtidskonsekvensene kan vaere betydelige. Risikoen for ukontrollerte utslipp til Irskesjøen, Nordsjøen og"	340:346	0:541	13666	real_norwegian_semantic_change	no	andrey
landet	NN	1929	1929-1965	1929-1965_landet_817		Vi endret kursen til NNV, og om kvelden til N, det skulle skjaere inn på landet.	72:78	0:79	13672	real_norwegian_semantic_change	no	andrey
landet	NN	1970	1970-2015	1970-2015_landet_1490		I Norden er munken mest vanlig i de sørlige og sommervarme områder. Norsk utbredelse og habitatvalg I Norge er munken knyttet til løvskogsrike områder i de sørlige og sommervarme deler av landet.	188:194	0:195	13664	real_norwegian_semantic_change	no	andrey
landet	NN	1929	1929-1965	1929-1965_landet_79		— Det er sant at jeg var i Ukraina i to år, men jeg var aldri ute på landet.	69:75	0:76	13668	real_norwegian_semantic_change	no	andrey
landet	NN	1929	1929-1965	1929-1965_landet_257		Som medlem av Riksrådet treffes han første gang utover høsten 1524 i Bergen, hvor Riksrådet med erkebisp Olav i spissen på Norges vegne opsier Christian II troskap og meddeler nam at man vil velge en annen konge som bedre kan regjere og forsvare landet. K. deltar i en rekke betydningsfulle møter i denne for Norge vanskelige tiden, er 23 /8 med på det enstemmige valget av Frederik, Danmarks konge, til norsk konge under forutsetning av at han undertegner den av rådet utarbeidede saerlige håndfestning for Norge. — Mere i forgrunnen trer K. under det motsetningsforhold han er kommet i til VincenB Lunge, som på forskjellig vis legger sig efter K., søker å frata nam hans forlening i Sogn hvor Vincens Lunge selv hadde len, jager K. og hans familie fra gården og endog prøver å få slått ham ihjel.	246:252	0:798	13680	real_norwegian_semantic_change	no	andrey
landet	NN	1929	1929-1965	1929-1965_landet_1192		Når de så endelig nådde fram i en mer eller mindre forkommen tilstand, fikk de tildelt land av myndighetene, uten at det var undersøkt om det egnet seg for åkerbruk; det gjaldt bare først og fremst å få dem spredt langs grensen i passende avstand, for at de kunne befordre post og skyss og danne et slags bevepnet vern for landet.	323:329	0:330	13674	real_norwegian_semantic_change	no	andrey
landet	NN	1929	1929-1965	1929-1965_landet_1627		I 1619 bestred den britiske regjering den norske og danske konges «proprietet des landes Groenland», med den begrunnelse at hans undersåtter ikke hadde bodd i landet. Hvad saerlig Nederlandene angar, nøiet de sig ikké med okkupasjonen i 1616. Tallrike nederlandske ekspedisjoner besøkte i den følgende tid de grønlandske kyster og farvann, støttet ay en rekke nederlandske privilegiet.	159:165	0:384	13669	real_norwegian_semantic_change	no	andrey
