lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
leder	NN	1929	1929-1965	1929-1965_leder_660		Bestemmelsene i foregående ledd gjelder tilsvarende når flere har samvirket i det forhold som begrunner inndragning. § 17. Dersom selskap, stiftelse eller sammenslutning har utdelt til medlemmer, tillitsmenn eller ledere eller andre som er tilknyttet virksomheten, vinning som er ervervet som nevnt i §§ 15 og 16, kan de utdelte belop inndras hos mottakerne, selv om disse ikke har medvirket eller hatt kjennskap til det straffbare forhold.	214:220	0:440	13747	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_1250		Dette reduserer prisen i disse tilstandene, og lederne må øke innsatsen for å holde overskuddet oppe på nivå med n n .	47:54	0:118	13766	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_16437		En levedyktig industri krever således ledere med stor idérikdom og med evner og kunnskaper til å omsette idéene til produksjon.	38:44	0:127	13759	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_4033		Utvalget har hatt møter med leder for arbeidsgruppen av 1994, Magnhild Bjørseth, Fiskeridepartementet, som informerte om arbeidsgruppens rapport og andre problemstillinger rundt emnet. Videre har utvalget besøkt Hovedredningssentralen i Nord-Norge, hvor utvalget fikk en grundig gjennomgang av hovedredningssentralens arbeid og oppbygning ved leder av Hovedredningssentralen i Nord-Norge, politimester Bjørn Hareide.	28:33	0:416	13767	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_588		Det norske Handelsflag, Chra. 1879.] Oscar II Fredrik, 1829—1907, konge, foregåendes tredje sønn, f. i Stockholm 21 /i 1829, d. der 8 /i2 1907. Gift i Biebrich 6 /e 1857 med nedennevnte prinsesse Sophie Wilhelmine Mariane Henriette av Nassau, f. der 9 / 7 1836, d. i Stockholm 3 %2 1913, datter av hertug Wilhelm av Nassau og 2. hustru Pauline av Wurttemberg. 4 sønner: kong Gustaf V (se Gustaf, kronprins); prins Oscar (1859—), hertug av Gottland, 1888 uttrådt av kongehuset på grunn av ekteskap med privat svensk manns datter og fikk da navnet prins Bernadotte, 1892 ophøiet i den luxembourgske grevestand som greve av Wisborg, kjent som leder av kristelig ungdomsarbeide; prins Carl (186l — ), hertug av Vastergotland, kjent som mangeårig president i det svenske Røde Kors, far til ovennevnte kronprinsesse Martha; prins Eugen (1865—1947), hertug av Narke, kjent som maler. 0. ksrle 80M prin3 titslen nertuz av 05tsr80tlan6, 6sn Bamms titsl 3om var ksrt av Karl XIII'B bror srs6rik sktsr nvem 0. oM nacicls Bltt annet fornavn.	640:645	0:1029	13752	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_16005		Denne lederlønnsstatistikken bygger på yrkesklassifiseringen for å definere ledere (jf. boks 1.5).	76:82	0:98	13754	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_1712		Daglig leder trekker også fram at ordningen er kostbar. 14 prosent av de tillitsvalgte mener arbeidsgiverperioden er for lang.	7:12	0:126	13749	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_1347		Ved forberedingskurs ved skole med eksamensrett som deltar i samarbeidet, skal det av Kirke- og undervisningsdepartementet etter innstilling fra utvalget tilsettes en undervisnings leder med kvalifikasjoner som for undervisning i vedkommende skoleslag.	181:186	0:252	13750	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_1282		Han hadde i sin tid bare fått lov å slå sig ned i Brussel mot et løfte til de belgiske myndighetene om ikke å drive aktuell politikk, og efter at han i 1847 var blitt leder av det nye kommunistforbundet og dettes hovedkvarter derfor var blitt *) Sombart som citerer disse uttalelser av Engels i sin bok om «Socialismen og den sociale bevegelse», vil bruke dem til å bevise at Marx og Engels først med årene arbeidet sig frem til en virkelig «realistisk» opfatning av samfundsutviklingen, at det i grunnen var «halvt übevisst», de i sin ungdom (i det kommunistiske manifest) gav uttrykk for en slik «realistisk» grunnopfatning.	167:172	0:626	13753	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_1179		De samme små lysegrønne møblene med eventyrbil* leder på, de morsomme runde stolene, skrivebor* det foran vinduet og bokhyllen. Bøkene var der riktignok ikke lenger, men ellers var alt på en prikk som før. — «Vi har jo leid huset møblert,» forklarte oberst* innen. «Dette er blitt stående uforandret, for noe barnevaerelse har vi jo ikke hatt bruk for, — den eneste vi har er den lange slyngelen der, som later til å ha vaert svaert foretagsom i aften.»	48:53	0:450	13755	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_963		Mange av lederne for det såkalte katolske «sentrum» var oppriktige demokrater.	9:16	0:78	13758	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_986		Han og de andre ledere må ta den hele skyld for å ha gitt tyrkernes blodige historie et kapitel så grufullt at det stiller alt annet i skyggen; Abdul-Hamids myrderier blir jo småtterier mot hva disse «moderne» tyrkere har utrettet. Den 30. juni 1916 skrev den tyske ambassadør grev Metternich til rikskansleren bl. a. at «komiteen forlanger tilintetgjørelsen av den siste rest av armenierne .. .» Men da det ikke var mer å røve fra dem, «forbereder koplet seg allerede med utålmodighet på det øyeblikk da Grekenland, tvunget av ententen, vil vende seg mot tyrkerne eller deres forbundne», for så å kaste seg over grekerne og deres eiendom. «Å fortyrke (tiirkisieren) er å fordrive eller drepe alt ikke tyrkisk, å ødelegge og tilvende seg med vold andre folks eiendom. I det og i å skråle opp igjen franske frihetsfraser består foreløpig Tyrkias berømte gjenfødelse .. .» Dette er den allierte venns dom. For å fullstendiggjøre bildet bør det minnes om at disse armeniere, som ungtyrkerne utryddet på en så opprørende måte, var deres gamle venner og bundsforvanter, som de hadde benyttet seg av og arbeidd sammen med så lenge det gjaldt om å få makten; ja de lot nå myrde høyt fortjente armeniere, som med fare for eget liv hadde reddet ungtyrkiske ledere i de dager da Abdul- Hamid igjen hadde makten i 1909 og sablet ned ungtyrkerne. Heldigvis er det sjelden i historien å treffe på en så troløs og gjennomført nederdrektighet.	16:22	0:1428	13761	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_16986		De tekniske skoler og tekniske fagskoler er i dag organisert med en rektor som øverste administrative og faglige leder.	113:118	0:119	13764	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_555		Der blev han sekretaer i 1906 og var byråchef 1928 36. I de fleste av de 34 år han arbeidet i sentralbyrået, var han leder av avdelingen for landbruksstatistikk, og denne gren av statistikken utviklet han meget betydelig. Han planla våre fullstendige jordbrukstellinger, den første var i 1907, og bearbeidet dem og skrev publikasjonene om dem. S. har på en fremragende måte lagt vår jordbruksstatistikk vel til rette.	116:121	0:416	13765	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_1481		"Samtidig lykkedes det ham som Den nationale Scenes musikalske leder foruten en raekke operetter ogsaa at faa fremført forskjellige kjendte operaer som „Faust"", „Cavalleria rusticana"", „Carmen"", „Butterfly"", m. m."	62:67	0:211	13756	real_norwegian_semantic_change	no	andrey
leder	NN	1929	1929-1965	1929-1965_leder_456		Bestemmelsene i foregående ledd gjelder tilsvarende når flere har samvirket i det forhold som begrunner inndragning. § 17. Dersom selskap, stiftelse eller sammenslutning har utdelt til medlemmer, tillitsmenn eller ledere eller andre som er tilknyttet virksomheten, vinning som er ervervet som nevnt i §§ 15 og 16, kan de utdelte beløp inndras hos mottakerne, selv om disse ikke har medvirket eller hatt kjennskap til det straffbare forhold.	214:220	0:440	13757	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_144		Dersom virksomheten ikke lenger har en ansvarlig leder som oppfyller kravene, faller registreringen, etter en viss frist, bort.	49:54	0:127	13768	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_16326		Dersom det viser seg behov for fritidshjem kan dette enkelt innpasses i eksisterende lokaler. Og, som det framgår av artikkelen fra forsøket ved Skarpnåckskolan i Stockholm slike lokaler kan benyttes til apen virksomhet med spesiell ansatt leder.	240:245	0:246	13762	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_1127		Utvalget fikk følgende sammensetning: Adm. direktør Øystein Josefsen, leder Avdelingsdirektør Anne Elisabeth Landsverk, Justisdepartementet Underdirektør Anne Cathrine Frøstrup, Justisdepartementet Avdelingsdirektør Kjell Myhren, Finansdepartementet Fylkesmann Mona Røkke, Vestfold Fylkesmannsembete Lensmann Steinar Ravlo, Norges Lensmannslag Forbundsleder Arne Johannesen, Lensmannsetatens landslag Politimester Hilde Heggelund, Politiembedsmennenes Landsforening Forbundsformann Terje Ødegård, Norsk Politiforbund	70:75	0:516	13763	real_norwegian_semantic_change	no	andrey
leder	NN	1970	1970-2015	1970-2015_leder_7744		Leder for oppvekstkontoret Leder for fysioterapitjenesten	0:0	0:57	13748	real_norwegian_semantic_change	no	andrey
