lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
plattform	NN	1970	1970-2015	1970-2015_plattform_124		Nedbrutt på plattformer er disse tallene vist i tabell 10.	12:23	0:58	13445	real_norwegian_semantic_change	no	andrey
plattform	NN	1970	1970-2015	1970-2015_plattform_2454		Det er derfor nødvendig at personellet gjennomgår en høy grad av spesialisering som setter dem best mulig i stand til å bekle en bestemt posisjon på den enkelte plattform SITUASJONSANALYSE - NORGE t»~»	161:170	0:201	13456	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_41		Overleben hvelver sig som et tak over blomstens indre organer, underleben blir derimot en slags plattform eller «landgangsbro», som insektene kan sette sig på når de kommer flyvende.	96:105	0:182	13458	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_24		Denne plattform — «shelfen» — utenfor kystene av Svalbard, Sibiria og Norge har han stu* dert gjennem mange år. Langs Sibirias kyst strekker den sig som en undersjøisk sokkel mang* foldige mil ut i havet, — dyb* den er ikke over 100 meter, — til den uventet bratt stuper ned til 3 å 4 tusen meters dyp. 4. juli 1910.	6:15	0:316	13457	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_8		3.eiBen artet BiF 80in et eneBte triuinltog. pa telegram Btr«mmet inn mccl anmodning om a viBe 088 pa vognenz plattform sor a, motta clen livl6eBt alle Bvntez a ville vde 088. Overalt olev vi BalecleB m»tt med den varmeBte og meBt utBskte l?egeiBtring, og Blerlig gledelig var det a merke, at det var den amerikanske naB)on, 80m kom 088 i mste, ikke bare vare egne landBmenn.	110:119	0:375	13453	real_norwegian_semantic_change	no	andrey
plattform	NN	1970	1970-2015	1970-2015_plattform_73		Den planlagte uttauingsvekten ble såvidt nådd da plattformen ble tauet ut fra Stord 3. mai 1977.	49:60	0:96	13461	real_norwegian_semantic_change	no	andrey
plattform	NN	1970	1970-2015	1970-2015_plattform_2828		En plattform på britisk side (Magnusfeltet) er for tiden under konstruksjon for 180 m dybde. De betongplattformer som hittil er installert i Nordsjøen må alle betraktes som prototyper, da byggingen gikk så raskt at man ikke kunne innhente driftserfaringer fra de første plattformene.	3:12	0:283	13441	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_5		Raven nådde en gitar med. Til hvad? Jo, det fikk vi snart greie på. Vi noldt jo i evigheter ved de fleste Bkittstasjoner, men der gikk det oss galant. Vi hadde siste vogn med plattform bak. Fjerde klasse var som en fraktvogn.	175:184	0:225	13446	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_48		Jeg så n. Han strauk bortover gata der, han holdt sig der det var mørkest, han smatt inn i en port, jeg veit å dom kan finne n hen men jeg sier det ikke — Konstabelen kommer ulbake, han sliter sig fram til vogna, han stanser utenfor plattformen	233:244	0:244	13454	real_norwegian_semantic_change	no	andrey
plattform	NN	1929	1929-1965	1929-1965_plattform_44		— Men ute stod natten og pisket min rute med sne. SOLDAG Idag er det sol over Moskva, så sneen i gatene bråner og kirkenes kupler star gylne og lyser på himlen som måner! Tverskaja, min deilige gate, og jeg, vi er begge litt øre. For nu er det våren som kommer med takskred og helstøvle-føre! Og derfor så jubler vi begge: Tverskaja med hele trafikken — og jeg med en ny liten vise pa plattformen her bakpå trikken!	385:396	0:415	13449	real_norwegian_semantic_change	no	andrey
