lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
ris	NN	1970	1970-2015	1970-2015_ris_176		Men vi har fortsatt med samme dommer i et par saker der partene ba om det. Det er faremomenter ved det - hvis mekleren har foreslått en løsning, kan han føle behov for å forsvare den gjennom dommen.» å (Dommer:) «Jeg ville ikke berammet saken til dagen før uansett; det er et ris bak speilet at det blir ventetid dersom forlik ikke oppnås.»	276:279	0:340	13925	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_127		Og eit par dagar etter sa Karen- Anna: Du må ikkje stå og flire oftare på skulen, Odin! For da får du ris. — Ja, ris var han ikkje redd, men. Han skulle til å vera folk likevel; han hadde vorti huga på det. Ein dagen i neste veka fekk han ris. Dei stod og song slutningsverset, og dei tok i så overhendig rundt ikring tan. — Det her går rennande godt, det! tenkte han. Men i same stunda tytte fliren opp i han; og da han såg på laerarinna, vart det enda verre.	102:105	0:459	13937	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_28		Det nyttet ikke, aeserne vant 15 - Paasche I, frem, de gikk inn i berghelleren der Geirrød bodde, og risene der inne skvatt til; men det skulde vaere fred denne FanF, Tor og Tjalve bare satte sig. Med ett fikk de hodet i hellertaket; to jotunkvinner som lå under stolen kadde reist på sig. Da knekket Tor «de gamle ryggene».	274:279	0:322	13923	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_26		Det var riser og stort folk, og siden menn fra lan* dene østenfor. Tor forteller det; gudene var gamle nok til å vite noget om så «forn» tid, menneskene kunde bare spørre. Odin og Nor som fra hver sin kant kom til «byg* gede» nordiske land og skaffet sig makt i landene: det er fabel og kan enda, på en viss måte, vaere historie. Mangt og meget i kulturutviklingen som nordiske jordfund har vist forskerne, skyldes kanskje nye innvandrerflokker — til Norge kan slike flokker vaere kommet både fra «landene østenfor» og sønnen* fra. Allerede den tidligste bosetning i landet kan ha ophav i innvandring fra skilte hold. Ved nordnorsk og vestnorsk kyst, fra Finnmark til Møre og lenger, er det funnet en rekke åpne l?o-plasser, eller verksteder kanskje, hvor alt som lå igjen var primitive redskaper av flint (og kvarts) og avfall efter tilhuggingen ; det går for å vaere de eldste kjente minnene om mennesker i Norge. Forskerne har for* klart dem på forskjellig vis.	8:13	0:961	13928	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_125		Innløsningsplikten har vaert suspendert siden 27. september 1931. Bankens sedler blir derfor ikke lenger påført at en slik Lov om Norges Bank og pengevesenet plikt foreligger. Bestemmelsen i § 7 første og annet ledd om at bankens sedler er tvungent betalingsmiddel bare så lenge de innf ris med gullmynt, er heller ikke i samsvar med gjeldende rettstilstand.	286:289	0:357	13929	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_47		Det annet citat i vårt vers bringer den store, grunnleggende forjettelse som Gud ifølge 2 Sam. 7, 14 gjennem profeten Natan gav David dengang han hadde i sinne å bygge et tempel for Herren, men ved profeten mottok den beskjed f ra Gud at det skulde gjøres ikke av ham, men av hans sønn, hvis kongetrone Gud vilde trygge til evig tid, og om hvem så også de i vårt vers citerte ord uttales. At vi i det minste her ikke har nogen direkte messiansk spådom, fremgår jo ganske klart av at det i samme vers (2 Sam. 7, 14) sies om denne Davids sønn: «Når han gjør det som ondt er, vil jeg tukte ham med menneskers ris og med menneskebarns plager.»	606:609	0:639	13930	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_172		Det gjorde mest godt når kameratane terga han med at han, Ingolf, ikkje var så mykje til kar at dei kosta ris på han. Men når Gunnhild såg på han slik ho gjorde no om dagane, da gjorde det ikkje godt. Ho sa ikkje noko; ho heldt han ikkje verdig ril det eingong.	106:109	0:261	13941	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_138		Utvalget mener også at det er nødvendig med «et ris bak speilet», ved at brudd på gjennomføringen kan føre til übetinget fengselsstraff.	48:51	0:136	13933	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_5		Ankeret svinger iAen ris. 84. over dødpunktet — se D. Polene i ankeret skifter igjen. S og S frastøter hverandre, og ankeret svinger over til den stilling det hadde ved A. — Motoren går.	21:24	0:186	13936	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_160		Av korn bidrar hvete og ris hver med en femtedel av verdenskonsumet. Etter L. R. Brown, i Scientific American 1970, No. 3. Fig. 27. Verdensforbruket av kunstgjødsel etter siste verdenskrig (Kina ikke medregnet).	24:27	0:211	13944	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_158		Det var engvoll til noen lass høy, litt starrslått ved Lombekken var det også. Ellers tok de løv og ris i marka.	100:103	0:112	13934	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_58		Trusselen om bruk av barnevernet oppleves som et ris bak speilet.	49:52	0:65	13938	real_norwegian_semantic_change	no	andrey
ris	NN	1929	1929-1965	1929-1965_ris_238		Saerlig på årsmøtene har trafikkantene luftet sine meninger, og der har det falt ikke så lite både av ros og ris på de som har hatt med ruta å gjøre.	108:111	0:148	13939	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_150		Det totale forbruk av korn til mat ble anslått til 322 mill. tonn i middel for 1961—63, mens forbruket av ris ble anslått til 161 mill. tonn. Ut fra disse anslag kan det regnes ut at matkornet og risen dekket henholdsvis 32 FAO's projeksjoner viser et underskudd av hvete i utviklingsiandene og Kina på 27 mill. tonn i 1975 (tabell 52).	106:109	0:336	13935	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_185		Utvalget har dessuten en viktig funksjon som et «ris bak speilet», fordi rauligheten for å bringe en sak inn for FTU gjør det lettere for forbrukerkontorene å få til minnelige løsninger.	49:52	0:186	13942	real_norwegian_semantic_change	no	andrey
ris	NN	1970	1970-2015	1970-2015_ris_217		De grunne myrene, flåene og kjølmyrene, er sannsynligvis dannet i løpet av de siste 1 700 år. Undersøkelse av en streng i en liten strengemyr ved Skjerbekkhøtjernet (488 348) tyder på at strengemyrdannelsen også startet for ca. 1 700 år siden. I de fleste myrene er tykkelses-tilveksten i løpet av de siste 1 700 år, 1,5 — lm. men den lokale variasjon er stor. I nåtiden ser det ut til at myrtilveksten har stagnert, saerlig på ris — tuemyrene i området.	427:430	0:453	13932	real_norwegian_semantic_change	no	andrey
