lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
varsel	NN	1929	1929-1965	1929-1965_varsel_153		Men alltid samme mørke himmel forut, med varsel om åpent vann. Nu står planen sin svenneprøve.	41:47	0:94	13906	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_2770		Ekstraordinaer generalforsamling kan innkalles på øyeblikkelig varsel dersom dette finnes påtrengende nødvendig. Bare aksjonaerer har stemmerett på generalforsamlingen.	62:68	0:166	13908	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_152		For Sør-Norges vedkommende kan vi hva angår en fiendtlig invasjon, påregne et betydelig lengre strategisk varsel.	106:112	0:113	13914	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_484		Nytt varsel vU ikke bli sendt fra Bergvesenet.	5:11	0:46	13917	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_2167		Men ikke sjelden er det slik at den utbyggingen det søkes om tillatelse til også er identisk med den som fremgikk av et tidligere planvarsel, eller varsel om dispensasjon eller mindre vesentlig endring av en plan.	134:140	0:213	13910	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_3084		I dag ville metallprisene neppe stige med mer enn 500 kr pr tonn, altså omkring 10% om man etter et rimelig varsel ble henvist til å klare seg med lokalt råstoff. c) Magnesium (Mg), titan (Ti), silicium (Si) Magnesium er det letteste av samtlige konstruksjonsrnetaller.	108:114	0:269	13919	real_norwegian_semantic_change	no	andrey
varsel	NN	1929	1929-1965	1929-1965_varsel_224		Bor eieren på samme sted som panthaveren, har han dog gjerne krav på 2 ukers varsel (Tvangsl. § 191).	77:83	0:101	13901	real_norwegian_semantic_change	no	andrey
varsel	NN	1929	1929-1965	1929-1965_varsel_431		Dette tyktes dem å baere ille varsel.	29:35	0:36	13916	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_2272		Utvalget antar at et slikt maskinelt varsel kan føre til uklarhet og forvirring.	37:43	0:80	13904	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_1619		Det er mulig å fa varsel om sverming av gulrotflue, fare for angrep av tørråte i potet, råd om sprøyting mot storknollet råtesopp i oljevekster og om bekjemping av kålfly.	18:24	0:171	13902	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_2051		Det skal innkalles til en generalforsamling gjennom et skriftlig varsel som sendes med et tilgjengelig middel til alle personer som har rett til å delta i SCE-foretakets generalforsamling i samsvar med artikkel 58 nr. 1 og 2 og vedtektenes bestemmelser.	65:71	0:253	13905	real_norwegian_semantic_change	no	andrey
varsel	NN	1970	1970-2015	1970-2015_varsel_980		En undersøkelse rettet mot innsigelsesmyndig- hetene viser at det er en ganske utbredt praksis å gi varsel om innsigelse, og at det er vanlig at de innvendinger som fagmyndighetene har resulterer i at kommunen og fagmyndigheten blir enige om en løsning. Fordelingen er 63,9 % faktisk gitte inn- Vedlegg 3 Bedre kommunal og regional planlegging etter plan- og bygningsloven Tabell 3.1 1 Antall innsigelsessaker mottatt og avgjort i Miljøverndepartementet (kilde: Miljøvemdepartmentet) sigelser, 34 % varsel om innsigelser , og 2,1 % foreslåtte, men ikke gitte innsigelser.	100:106	0:571	13915	real_norwegian_semantic_change	no	andrey
varsel	NN	1929	1929-1965	1929-1965_varsel_238		Et muntlig varsel til medlemmet enten ved personlig naervaer eller pr. telefon er ikke nok for å tilfredsstille lovens krav.	11:17	0:122	13921	real_norwegian_semantic_change	no	andrey
varsel	NN	1929	1929-1965	1929-1965_varsel_192		Men det er samtidig klart at man ved en generell bestemmelse må ta tilsvarende forbehold som de man har tatt i prisloven. De bestemmelser om varsel som saerlovgivningen inneholder og som stiller strengere krav, vil da fremdeles ha sin betydning, likesom det alltid vil vaere en oppgave ved utferdigelse av nye forvaltningslover å overveie om det er mulig på det spesielle forvaltningsområde å gå lengere og vaere strengere med hensyn til kravet om forhåndsvarsling enn den generelle forvaltningslov.	141:147	0:496	13903	real_norwegian_semantic_change	no	andrey
