identifier	cluster
1980-1990_bank_4829	0
1980-1990_bank_3022	0
2012-2019_bank_1536	0
1980-1990_bank_4063	0
2012-2019_bank_27137	0
2012-2019_bank_24575	0
2012-2019_bank_21123	0
2012-2019_bank_38048	0
2012-2019_bank_3477	0
2012-2019_bank_6859	0
1980-1990_bank_206	0
1980-1990_bank_4351	0
2012-2019_bank_15299	0
1980-1990_bank_835	0
1980-1990_bank_3668	0
2012-2019_bank_4769	0
2012-2019_bank_38450	0
2012-2019_bank_40560	0
1980-1990_bank_3609	0
1980-1990_bank_2829	0
1980-1990_bank_3391	0
1980-1990_bank_4748	0
