identifier	cluster
2012-2019_kreft_4690	0
2012-2019_kreft_5618	0
1980-1990_kreft_68	0
1980-1990_kreft_12	0
1980-1990_kreft_117	0
2012-2019_kreft_5147	0
1980-1990_kreft_64	0
2012-2019_kreft_6913	0
2012-2019_kreft_8229	0
1980-1990_kreft_10	0
1980-1990_kreft_151	0
1980-1990_kreft_212	0
1980-1990_kreft_50	0
2012-2019_kreft_5090	0
2012-2019_kreft_2568	0
2012-2019_kreft_536	0
1980-1990_kreft_172	0
2012-2019_kreft_4602	0
2012-2019_kreft_352	0
1980-1990_kreft_139	0
2012-2019_kreft_5206	0
1980-1990_kreft_247	0
