identifier	cluster
2012-2019_papir_10365	0
2012-2019_papir_4752	0
1980-1990_papir_267	0
2012-2019_papir_3548	0
1980-1990_papir_351	0
1980-1990_papir_419	0
1980-1990_papir_471	0
1980-1990_papir_484	0
1980-1990_papir_368	0
1980-1990_papir_141	0
2012-2019_papir_4288	0
2012-2019_papir_9076	0
2012-2019_papir_2764	0
2012-2019_papir_7437	0
1980-1990_papir_285	0
1980-1990_papir_201	0
1980-1990_papir_329	0
2012-2019_papir_11713	0
1980-1990_papir_18	0
2012-2019_papir_11156	0
2012-2019_papir_10033	0
2012-2019_papir_3965	0
