identifier	cluster
2012-2019_rådgiver_14748	0
2012-2019_rådgiver_6379	0
1980-1990_rådgiver_176	0
2012-2019_rådgiver_8301	0
1980-1990_rådgiver_244	0
2012-2019_rådgiver_3079	0
2012-2019_rådgiver_13203	0
2012-2019_rådgiver_8308	0
2012-2019_rådgiver_7162	0
1980-1990_rådgiver_127	0
1980-1990_rådgiver_380	0
1980-1990_rådgiver_550	0
2012-2019_rådgiver_17527	0
2012-2019_rådgiver_5577	0
1980-1990_rådgiver_286	0
1980-1990_rådgiver_544	0
1980-1990_rådgiver_249	0
1980-1990_rådgiver_462	0
1980-1990_rådgiver_459	0
2012-2019_rådgiver_611	0
2012-2019_rådgiver_13483	0
1980-1990_rådgiver_377	0
