identifier	cluster
2012-2019_storby_7147	0
1980-1990_storby_207	0
1980-1990_storby_221	0
2012-2019_storby_1882	0
2012-2019_storby_1409	0
2012-2019_storby_2556	0
2012-2019_storby_1740	0
1980-1990_storby_219	0
2012-2019_storby_414	0
2012-2019_storby_775	0
1980-1990_storby_135	0
1980-1990_storby_131	0
1980-1990_storby_122	0
2012-2019_storby_6094	0
1980-1990_storby_4	0
2012-2019_storby_2765	0
2012-2019_storby_4643	0
1980-1990_storby_72	0
2012-2019_storby_1423	0
1980-1990_storby_61	0
1980-1990_storby_226	0
1980-1990_storby_157	0
