identifier	cluster
2012-2019_vindu_654	0
1980-1990_vindu_76	0
1980-1990_vindu_12	0
2012-2019_vindu_3421	0
1980-1990_vindu_272	0
2012-2019_vindu_7384	0
2012-2019_vindu_12568	0
1980-1990_vindu_266	0
1980-1990_vindu_174	0
1980-1990_vindu_137	0
1980-1990_vindu_248	0
1980-1990_vindu_61	0
2012-2019_vindu_11529	0
1980-1990_vindu_37	0
1980-1990_vindu_6	0
2012-2019_vindu_10388	0
2012-2019_vindu_7348	0
2012-2019_vindu_12069	0
1980-1990_vindu_211	0
2012-2019_vindu_3486	0
2012-2019_vindu_16144	1
2012-2019_vindu_16414	2
