identifier1	identifier2	annotator	judgment	comment	lemma
15225	15223	alexandra_w	4	comment	driftsregnskap
15225	15214	titare	4	comment	driftsregnskap
15225	15220	alexandra_w	4	comment	driftsregnskap
15225	15217	HelleBol	4	comment	driftsregnskap
15225	15219	HelleBol	4	comment	driftsregnskap
15225	15221	alexandra_w	4	comment	driftsregnskap
15225	15215	titare	4	comment	driftsregnskap
15225	15227	alexandra_w	4	comment	driftsregnskap
15225	15211	titare	4	comment	driftsregnskap
15225	15229	titare	4	comment	driftsregnskap
15225	15218	HelleBol	4	comment	driftsregnskap
15225	15221	HelleBol	4	comment	driftsregnskap
15225	15219	alexandra_w	4	comment	driftsregnskap
15225	15220	HelleBol	4	comment	driftsregnskap
15225	15216	alexandra_w	4	comment	driftsregnskap
15225	15230	alexandra_w	4	comment	driftsregnskap
15230	15226	alexandra_w	4	comment	driftsregnskap
15230	15216	titare	4	comment	driftsregnskap
15230	15220	alexandra_w	4	comment	driftsregnskap
15230	15214	alexandra_w	4	comment	driftsregnskap
15230	15232	alexandra_w	4	comment	driftsregnskap
15230	15219	alexandra_w	4	comment	driftsregnskap
15230	15224	alexandra_w	4	comment	driftsregnskap
15230	15222	alexandra_w	0	comment	driftsregnskap
15230	15223	HelleBol	4	comment	driftsregnskap
15230	15224	titare	4	comment	driftsregnskap
15230	15217	alexandra_w	4	comment	driftsregnskap
15230	15216	alexandra_w	4	comment	driftsregnskap
15230	15213	alexandra_w	4	comment	driftsregnskap
15230	15212	HelleBol	4	comment	driftsregnskap
15224	15228	titare	4	comment	driftsregnskap
15224	15215	titare	4	comment	driftsregnskap
15224	15213	HelleBol	4	comment	driftsregnskap
15224	15229	HelleBol	4	comment	driftsregnskap
15224	15227	HelleBol	4	comment	driftsregnskap
15224	15231	HelleBol	4	comment	driftsregnskap
15224	15219	HelleBol	4	comment	driftsregnskap
15224	15220	HelleBol	4	comment	driftsregnskap
15224	15225	HelleBol	4	comment	driftsregnskap
15217	15218	HelleBol	4	comment	driftsregnskap
15217	15215	alexandra_w	4	comment	driftsregnskap
15217	15230	titare	4	comment	driftsregnskap
15217	15229	titare	4	comment	driftsregnskap
15217	15225	alexandra_w	4	comment	driftsregnskap
15217	15214	alexandra_w	4	comment	driftsregnskap
15217	15226	alexandra_w	4	comment	driftsregnskap
15217	15212	titare	4	comment	driftsregnskap
15217	15223	alexandra_w	4	comment	driftsregnskap
15217	15215	HelleBol	4	comment	driftsregnskap
15217	15216	alexandra_w	4	comment	driftsregnskap
15217	15218	alexandra_w	4	comment	driftsregnskap
15217	15221	titare	4	comment	driftsregnskap
15232	15225	alexandra_w	4	comment	driftsregnskap
15232	15213	alexandra_w	4	comment	driftsregnskap
15232	15227	HelleBol	4	comment	driftsregnskap
15232	15228	alexandra_w	4	comment	driftsregnskap
15232	15211	alexandra_w	4	comment	driftsregnskap
15232	15219	HelleBol	4	comment	driftsregnskap
15232	15231	HelleBol	4	comment	driftsregnskap
15232	15215	alexandra_w	4	comment	driftsregnskap
15232	15226	titare	4	comment	driftsregnskap
15232	15215	HelleBol	4	comment	driftsregnskap
15232	15214	HelleBol	4	comment	driftsregnskap
15232	15217	titare	4	comment	driftsregnskap
15232	15226	alexandra_w	4	comment	driftsregnskap
15232	15222	titare	4	comment	driftsregnskap
15232	15214	titare	4	comment	driftsregnskap
15218	15213	alexandra_w	4	comment	driftsregnskap
15218	15224	HelleBol	4	comment	driftsregnskap
15218	15214	titare	4	comment	driftsregnskap
15218	15221	HelleBol	4	comment	driftsregnskap
15218	15216	titare	4	comment	driftsregnskap
15218	15223	titare	4	comment	driftsregnskap
15218	15225	titare	4	comment	driftsregnskap
15218	15232	titare	4	comment	driftsregnskap
15218	15215	titare	4	comment	driftsregnskap
15218	15225	alexandra_w	4	comment	driftsregnskap
15218	15211	titare	4	comment	driftsregnskap
15218	15212	titare	4	comment	driftsregnskap
15218	15232	HelleBol	4	comment	driftsregnskap
15218	15219	alexandra_w	4	comment	driftsregnskap
15218	15217	titare	4	comment	driftsregnskap
15218	15212	HelleBol	4	comment	driftsregnskap
15218	15224	titare	4	comment	driftsregnskap
15218	15226	titare	4	comment	driftsregnskap
15218	15221	alexandra_w	0	comment	driftsregnskap
15220	15229	HelleBol	4	comment	driftsregnskap
15220	15227	HelleBol	4	comment	driftsregnskap
15220	15219	titare	4	comment	driftsregnskap
15220	15218	titare	4	comment	driftsregnskap
15220	15228	titare	4	comment	driftsregnskap
15220	15227	titare	4	comment	driftsregnskap
15220	15226	alexandra_w	4	comment	driftsregnskap
15220	15231	alexandra_w	0	comment	driftsregnskap
15220	15215	HelleBol	4	comment	driftsregnskap
15220	15223	alexandra_w	4	comment	driftsregnskap
15220	15217	alexandra_w	4	comment	driftsregnskap
15220	15231	titare	4	comment	driftsregnskap
15215	15213	HelleBol	4	comment	driftsregnskap
15215	15226	titare	4	comment	driftsregnskap
15215	15230	HelleBol	4	comment	driftsregnskap
15215	15219	titare	4	comment	driftsregnskap
15215	15216	alexandra_w	4	comment	driftsregnskap
15215	15214	titare	4	comment	driftsregnskap
15215	15214	alexandra_w	4	comment	driftsregnskap
15215	15224	alexandra_w	4	comment	driftsregnskap
15215	15229	HelleBol	4	comment	driftsregnskap
15215	15221	HelleBol	4	comment	driftsregnskap
15215	15220	titare	4	comment	driftsregnskap
15215	15225	HelleBol	4	comment	driftsregnskap
15215	15230	titare	4	comment	driftsregnskap
15219	15224	titare	4	comment	driftsregnskap
15219	15229	HelleBol	4	comment	driftsregnskap
15219	15231	titare	4	comment	driftsregnskap
15219	15231	alexandra_w	4	comment	driftsregnskap
15219	15214	HelleBol	4	comment	driftsregnskap
15219	15227	titare	4	comment	driftsregnskap
15219	15218	HelleBol	4	comment	driftsregnskap
15219	15211	alexandra_w	4	comment	driftsregnskap
15219	15220	HelleBol	4	comment	driftsregnskap
15219	15211	HelleBol	4	comment	driftsregnskap
15219	15214	alexandra_w	4	comment	driftsregnskap
15219	15213	alexandra_w	4	comment	driftsregnskap
15219	15226	titare	4	comment	driftsregnskap
15219	15222	titare	4	comment	driftsregnskap
15219	15226	alexandra_w	4	comment	driftsregnskap
15219	15227	HelleBol	4	comment	driftsregnskap
15216	15232	alexandra_w	4	comment	driftsregnskap
15216	15218	alexandra_w	4	comment	driftsregnskap
15216	15214	titare	4	comment	driftsregnskap
15216	15217	titare	4	comment	driftsregnskap
15216	15215	HelleBol	4	comment	driftsregnskap
15216	15227	HelleBol	4	comment	driftsregnskap
15216	15231	HelleBol	4	comment	driftsregnskap
15216	15223	HelleBol	4	comment	driftsregnskap
15216	15224	titare	4	comment	driftsregnskap
15216	15213	HelleBol	4	comment	driftsregnskap
15216	15223	alexandra_w	4	comment	driftsregnskap
15216	15224	HelleBol	4	comment	driftsregnskap
15216	15226	alexandra_w	4	comment	driftsregnskap
15216	15221	alexandra_w	4	comment	driftsregnskap
15216	15217	HelleBol	4	comment	driftsregnskap
15223	15219	alexandra_w	4	comment	driftsregnskap
15223	15232	HelleBol	4	comment	driftsregnskap
15223	15230	titare	4	comment	driftsregnskap
15223	15211	titare	4	comment	driftsregnskap
15223	15220	titare	4	comment	driftsregnskap
15223	15217	titare	4	comment	driftsregnskap
15223	15219	HelleBol	4	comment	driftsregnskap
15223	15220	HelleBol	4	comment	driftsregnskap
15223	15212	titare	4	comment	driftsregnskap
15223	15225	HelleBol	4	comment	driftsregnskap
15223	15218	HelleBol	4	comment	driftsregnskap
15223	15213	alexandra_w	4	comment	driftsregnskap
15223	15230	alexandra_w	4	comment	driftsregnskap
15223	15222	alexandra_w	4	comment	driftsregnskap
15223	15231	alexandra_w	4	comment	driftsregnskap
