lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
kjøpepress	NN	2012	2012-2019	2012-2019_kjøpepress_109		Ja til søndagsåpne butikker Argumentene for at storsamfunnet skal beskytte oss alle mot kjøpepress og «feil» tidsbruk på søndag er ikke så sterke at de veier tyngre enn valgfriheten som ligger i en viss liberalisering av søndagshandelen, mener Aftenposten på lederplass.	88:98	0:270	14827	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_1		De har i mindre grad enn voksne muligheter for å sette, ofte urealistiske, reklameinnslag inn i en sammenheng. Barneombudet finner det dokumentert at reklame skaper kjøpepress blant barn og antar at markedsføring og reklamene rettet mot barn og unge vil bli intensivert i årene fremover. «Reklame kan lett gi barn og unge inntrykk av at: «Det du eier er viktigere enn hva du er.» «For å vaere lykkelig bør du helst vaere ung, pen og rik.» Egenskaper som omsorg og ansvar kommer for lite frem i reklamen.	165:175	0:501	14832	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_9		Disse medlemmene viser også til at kringkastingsreklamen vil kunne øke kjøpepresset i samfunnet, og føre til økt konsentrasjon i naerings- og forretningslivet.	71:83	0:158	14824	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_13		Konsekvenser for livsstil og verdinormer Reklame i radio og fjernsyn vil utvilsomt bidra til å forsterke mote- og kjøpepresset som allerede i dag er sterkt.	114:126	0:156	14828	nor_dia_change_subset2	no	andrey
kjøpepress	NN	2012	2012-2019	2012-2019_kjøpepress_141		- Vi trenger en dag uten mas, arbeid og kjøpepress.	40:50	0:51	14838	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_14		Her har de i noen utstrekning blitt utsatt for pågående selgere og kommet ut for et visst kjøpepress.	90:100	0:101	14829	nor_dia_change_subset2	no	andrey
kjøpepress	NN	2012	2012-2019	2012-2019_kjøpepress_161		De mener kort oppsummert at «argumentene for at storsamfunnet skal beskytte oss alle mot kjøpepress og «feil» tidsbruk på søndag er ikke så sterke at de veier tyngre enn valgfriheten som ligger i en viss liberalisering av søndagshandelen».	89:99	0:239	14819	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_4		Utenriksregnskapet hadde både i 1951 og 1952 vist overskudd. Pris- og kostnadsutviklingen syntes igjen å vaere brakt under kontroll og kjøpepresset hadde avtatt. Mengdereguleringene var under rask avvikling.	134:146	0:206	14830	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_0		Disse medlemmene viser også til at kringkastingsreklamen vil kunne øke kjøpepresset i samfunnet og føre til økt konsentrasjon i naerings og forretningslivet.	71:83	0:156	14835	nor_dia_change_subset2	no	andrey
kjøpepress	NN	2012	2012-2019	2012-2019_kjøpepress_94		Debatten om kjøpepress blant ungdom har rast den siste tida.	12:22	0:60	14823	nor_dia_change_subset2	no	andrey
kjøpepress	NN	1980	1980-1990	1980-1990_kjøpepress_7		Hovedspørsmålet var hvordeles dette kunne gjøres uten at kjøpepresset og underskuddet i utenriksøkonomien ble for stort. Penge- og finansrådet som ble opprettet i 1945, var regjeringens sentrale rådgivende organ i disse spørsmål.	57:69	0:229	14834	nor_dia_change_subset2	no	andrey
