lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
overflate	NN	1980	1980-1990	1980-1990_overflate_99		Disse tilførslene skyldes hovedsakelig utslipp fra tettbebyggelser, og skulle kunne la seg redusere betraktelig. Beregningene av vertikal transporten til overflaten som følge av ferskvannstilførslene er beheftet med stor usikkerhet.	154:164	0:232	15197	nor_dia_change_subset2	no	andrey
overflate	NN	2012	2012-2019	2012-2019_overflate_80		Den er et «fremtidslaboratorium», for å bruke Enzensbergers begrep, men også og i like stor grad et fortidslaboratorium, som utfolder seg i de mange lagene, jordlagene, tidslagene, betydningslagene som kommer for dagen så snart en løfter på en brostein eller river et hus. En måte å forstå Berlin på - men også Oslo - , er som en slags «palimpsest», en overflate der historien, begivenheter og mennesker har risset inn sine spor og tegn, og der det stadig risses inn nye oppå og over de gamle.	353:362	0:493	15190	nor_dia_change_subset2	no	andrey
overflate	NN	2012	2012-2019	2012-2019_overflate_2134		Isplaneten Jorden har gjennom sin levetid på 4,6 milliarder år trolig vaert gjennom perioder som snøball, det vil si dekket av is, samt flere perioder der større deler av overflaten har hatt voksende og avtagende iskapper. Norge og Skandinavia har opplevd mange istider.	170:180	0:269	15208	nor_dia_change_subset2	no	andrey
overflate	NN	1980	1980-1990	1980-1990_overflate_109		I og lIA, - 0,06 mJ for utstyr i gruppe 118, - 0,02 mJ for utstyr i gruppe lIC. Utstyr som kan åpnes hurtigere enn den nødvendige forsinkelsestiden for avkjøling av indre overflater og utladning av alle involverte kapasiteter, skal vaere spesielt merket med den nødvendige forsinkelsestiden. Unntak fra disse bestemmelsene kan gjøres når det følges en spesiell instruks godkjent av Elektrisitetstilsynet, Saerlig tilsyn eller Det stedlige eltilsyn.	171:181	0:446	15189	nor_dia_change_subset2	no	andrey
overflate	NN	1980	1980-1990	1980-1990_overflate_190		Bestemmelsen omfatter massetak med sikte på salg eller industriell eller naeringsmessig utnytting m.v. dersom det til sammen kan tas ut minst 1 000 000 m 3 masse og dessuten minst 100 dekker overflate blir direkte berørt.	190:199	0:220	15191	nor_dia_change_subset2	no	andrey
overflate	NN	1980	1980-1990	1980-1990_overflate_86		Det var størst gradient i overflaten (0 meters dyp).	26:36	0:52	15204	nor_dia_change_subset2	no	andrey
overflate	NN	2012	2012-2019	2012-2019_overflate_2440		På vindutsatte steder kan dette gamle snødekket synes i overflaten som et moderat hardt skarelag.	56:66	0:97	15202	nor_dia_change_subset2	no	andrey
overflate	NN	2012	2012-2019	2012-2019_overflate_3066		Som progmusikkens foregangsartister vet hun å sveve på effekten av gode og seige og dronende gitarbruer, men at hun også lager musikk som er nesten dansbar blir klart på slutten når hun drar i gang den lange, hoggende «Hermitage», en av de beste låtene på albumet som ikke minst er modig lang, men som blir det perfekte og mest seiglivede livenummer når ekkoet fra Velvet Underground og Lou Reed stiger til overflaten i så vel refreng som komp.	407:417	0:444	15194	nor_dia_change_subset2	no	andrey
overflate	NN	2012	2012-2019	2012-2019_overflate_2549		Slik greide de å samles naer den ene overflaten – akkurat det vi ønsket. Ved tusenårsskiftet kunne vi derfor lansere de første lineskivene av aluminium.	36:46	0:151	15210	nor_dia_change_subset2	no	andrey
overflate	NN	1980	1980-1990	1980-1990_overflate_117		200 gram diatomittpulver har en overflate på ca. 4 da. Dette gjør at diatomitt har meget stor absorbsjonsevne og meget lav egenvekt, og det er saerlig disse egenskaper som utnyttes.	32:41	0:180	15196	nor_dia_change_subset2	no	andrey
