lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
storby	NN	1980	1980-1990	1980-1990_storby_207		Tilsvarende fant Cullberg og Stephanssonienundersøkelse fra Stockholm at tendensen til å søke psykiatrisk hjelp var klart størst i nye lavstatus områder i periferien av storbyen (Cullberg &amp; Stephansson,l9Bl).	169:177	0:212	15466	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_2765		Men det er også slik at når vi naermer oss storbyene med omland, så er veinettet generelt bedre, sier Haaland.	42:51	0:109	15454	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_226		Når det gjelder størrelsen på de statlige overførincene, kan man finne nok av beviser på at storbyene på sikt har kommet dårligere ut enn mindre kommuner (1 : ) .	92:101	0:162	15472	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_221		I tettsteder er tal let 15 prosent, og i spredtbygd strøk var det bare 8 prosent av dem som reiste på sommerferie som brukte fly. Forklaringen må vaere at en forholdsvis stor andel av dem som var bosatt i storbyene og delvis i tettsteder i naerheten av disse valgte reisemål så langt unna at bil var et uaktuelt transportmiddel. 18 prosent av de ferierende fra storbyene reiste til Sør-Europa og andre fjerntliggende reisemål, mens bare 5 prosent av reiselivsdeltakerne fra spredtbygde strøk av landet valgte slike fjerne reisemål.	169:173	0:529	15456	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_414		Denne kontoen tilhørte en mann ved navn Alpha Kallon, og til tross for at norske myndigheter har sendt rettsanmodning til Liberia om å finne ut mer om denne mannen, samt hatt kontakt med liberisk politi, har de ikke funnet ham. Sent i går kveld norsk tid møtte VG den liberiske mannen (41) i Brooklyn Park like utenfor storbyen Minneapolis i delstaten Minnesota.	319:327	0:362	15453	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_1882		Et liv uten stresset og maset i storbyen gir rett og slett mer overskudd og produktivitet.	32:40	0:90	15457	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_1409		Å ringe til, eller oppsøke politistasjonen, gjør man bare når det virkelig spisser seg til. La ikke morgendagens politi bli som i storbyene i USA.	130:139	0:146	15460	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_4643		Hun føler seg ensom og fortapt; men finner gradvis fotfestet og selvsikkerhet i storbyenes storby.	80:86	0:98	15465	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_1423		Man må definitivt gjøre noe med utslippene fra luftfarten, og det vil bli svaert upopulaert dersom det vil koste mye mer å dra på langhelg til storbyer eller på ferie til Thailand, sier han. Men både Kalbekken og Tveitdal peker på positive punkter i samarbeidserklaeringen, som utbygging av fornybar energi, økning i avkastning fra miljøteknologifondet og løftet om ikke å åpne for petroleumsvirksomhet utenfor Lofoten, Vesterålen og Senja i stortingsperioden.	141:149	0:457	15462	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_775		I storbyer som Oslo, London og Berlin er Mikkel Rev stadig oftere å se. FOTO: JOERG CARSTENSEN/DPA I fjor oppdaget håndverkerne som jobbet på Storbritannias høyeste bygning, The Shard Building rett ved London Bridge, at en rev allerede hadde flyttet inn i skyskraperen.	2:10	0:269	15468	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_219		Man snakker om et regionalt nullsum-spill med hensyn på befolkningstilveksten på regionalt nivå. For flyttinger kan utviklingen kort uttrykkes ved at tilbøyeligheten til å flytte ut fra storbyene er avtakende og tilbøyeligheten til å flytte inn til disse er raskt økende.	186:195	0:271	15452	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_2556		- Den islamske staten i Irak og Levanten - har på kort tid inntatt og tatt kontroll over store områder i Irak, nå sist storbyen Mosul. Gruppen sier nå de skal marsjere mot Bagdad, som ledd i sitt mål om en islamsk stat, et sunnimuslimsk kalifat, på tvers av dagens etablerte landegrenser.	89:94	0:288	15455	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_6094		I den amerikanske storbyen på vestkysten, ble gjengene som nå heter MS-13 og Barrio 18, opprettet.	18:26	0:98	15464	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_61		Storbyene (sentraliseringsregionene) gir bedre rom for samfunnsmessig mistilpassete grupper.	0:9	0:92	15451	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_157		"I løpet av 1970-tallet skiftet dette bildet, og storbyene kunne mer enn kompensere for et svekket fødselsoverskudd ""på bekostning av"" alle andre regiontyper."	48:57	0:157	15461	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_1740		Når 11 millioner mennesker sprengfyrer med kull hjemme, på jobb og offentlige bygninger seks måneder i året - år etter år - kan det gå som i den kinesiske storbyen Harbin de første dagene denne uka. Skoler og barnehager har vaert stengt på grunn av tett og helsefarlig røyktåke med svevestøv, som måler opptil 400 ganger høyere konsentrasjoner enn det Verdens Helseorganisasjon (WHO) anbefaler som forsvarlig nivå. WHOs krisealarm for live og helse går på en tredel av målingene som er gjort i Harbin sist uke. Tirsdag ble flyplassen i Kinas 7. største by helt stengt fordi sikten var mindre enn 10 meter. Harbin ligger helt nordøst i Kina, i Heilongjiang, fire timers flytur fra hovedstaden Beijing (22 millioner innbyggere).	155:163	0:725	15467	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_4		Forbedringene kom ikke tilfeldig, men skyldtes at avissalget i storbyene i Europa og De Forente Stater hadde økt, bl.a. ved en mer utbredt leseferdighet og ved større lønninger for folk flest.	63:72	0:192	15459	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_131		Stadig flere bosetter seg i storbyenes forsteder (suburbs) - noe som bidrar til lavere botetthet og desentralisering av arbeidsplasser, service og aktivitetstilbud 21) .	28:38	0:169	15458	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_72		Kartleggingen avbarnevernsbarnas sosiale bakgrunn i storbyene viser at det i hovedsak er de samme ytre kjennetegn ved barnevernsfamiliene i 1985 som 10 år tidligere:	52:61	0:165	15470	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_135		I storbyene åpner bilen for et aktivitetsmønster som privatiserer og individualiserer folks dagligliv (eks week-end-kjøring til hytta).	2:11	0:135	15463	nor_dia_change_subset2	no	andrey
storby	NN	1980	1980-1990	1980-1990_storby_122		Dette viser at tidsbesparelsen ved de forbedrede transportmulighetene har blitt oppveiet av at arbeidsreisene er blitt lengre. Geografiske variasjoner Forstadskommunene rundt storbyene er den kommunetype som har den høyeste biltettheten.	175:184	0:237	15469	nor_dia_change_subset2	no	andrey
storby	NN	2012	2012-2019	2012-2019_storby_7147		Arbeiderpartiet er derimot i en viss fremgang, selv om Gunnar Wilhelmsen-effekten så langt ser ut til å la vente på seg. Partiet har imidlertid tatt et stort byks fremover fra krisemålingen for ett år siden, med 16,9 prosent. Tromsø preges ellers av det samme fenomenet som i øvrige storbyer med en ung og høyt utdannet befolkning.	152:157	0:331	15471	nor_dia_change_subset2	no	andrey
