lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
strøm	NN	2012	2012-2019	2012-2019_strøm_5988		Senest i desember rullet den første ladbare hybriden fra Cadillac inn i showrommene i USA. Cadillac på strøm var for få år siden like utenkelig som dieselmotor i Rolls-Royce er i dag. Selv Mercedes-sjef Dieter Zetsche skrøt i Detroit av at den nye C-klassen vil komme som hybrid.	103:108	0:279	14791	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_473		Utvalget vil presisere at utvalgets forslag om å oppheve formelt alle uaktuelle lover ikke behøver å medføre en strøm av «unyttige* opphevelses vedtak gjennom Stortinget. Det er flere tiltak som kan tenkes gjennomført, og som vil kunne bidra til å redusere de praktiske følgene av å måtte oppheve alle gjenstandsløse lover.	112:117	0:323	14786	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_20436		Tilbake får Norge superbillig strøm når landene på kontinentet har overkapasitet.	30:35	0:81	14788	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_1835		Men jeg er ikke sur på TV3. Jobben i fare Strøm, som har posert for Vi Menn og FHM, kunne risikert å måtte si farvel til glamourmodellyrket dersom forfrysningen hadde kostet henne taerne.	42:47	0:186	14793	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_277		Figuren viser at strømmen i snittet mellom Torbjørnskjaer og Faerder var rettet nordøstover, med hastigheter mindre enn 20 cm/s.	17:25	0:126	14778	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_170		Beskyttelse ved begrensning av elektrisk utladning og strøm	54:59	0:59	14782	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_10560		Rykte blant asylsøkerne: Fly til Nord-Norge er den sikreste og billigste ruten til Europa. – Hvor lenge er asylsøkerne hos dere? – Nå kommer det asylsøkere hele dagen, fra vi åpner grensen klokken syv til vi stenger den klokken 21. Det er en jevn strøm nå, og såpass mange at vi ikke blir ferdig med å registrere alle før langt på natt.	247:252	0:336	14781	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_15696		På den måten kan profesjonskampen ha tilskyndet prosessene med en strøm av incestanklager og overgrep i denne perioden. En Bjugn-sak eller to kunne vaere det beinet man behøvde i legitimeringsprosessen. Justismord i fleng «At 28 mennesker er blitt kjent skyldig i incest og siden er frifunnet, utgjør det mørkeste kapittel i vår rettshistorie siden hekseprosessene på 1600-tallet.	66:71	0:379	14779	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_492		I dette avsnitt vil vi søke å presisere noen forskningsområder hvor fjernmåling antas å bli saerlig nyttig. 3.6.1 Oseanografi Data om overflatetemperaturer fra meteorologiske satellitter gir betydelig økt kunnskap om havstrømmer. Figur 3.8 viser slike strømmer rundt Norskekysten.	219:227	0:279	14795	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_17341		Vi er også forberedt på at strømmen kan gå, sier Frøya-ordfører Berit Flåmo. Det hun ikke er bekymret for, er båtene som ligger ut mot kysten.	27:35	0:142	14776	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_129		Det er denne beholdningsulikevekten som fører til transitoriske opp- eller nedjusteringer i strømmen av nye konsumvarer som blir etterspurt.	36:39	0:140	14792	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_218		Bajonettholdere hvor strømovergang til lampens kontakter skjer over løse spiralfjaerer, tillates ikke. Deler i glødelampeholdere som baerer strømførende deler skal vaere av ikke brennbart materiale. Veiledning: Betegnelsene i pkt. 1 er i henhold til lEC-Publication 238, og betegnelsene i pkt. 2 og 3 er i henhold til lEC-Publication 61-2. Merkeverdier for strøm og spenning i pkt. 1 er i samsvar med lEC-Publication 238, bortsett fra E l 4. Merkespenninger i pkt. 3 er i henhold til lEC-Publication 61-2. Signallamper, skalabelysning 0.1. For signallamper, skalabelysning 0.1. gjelder også pkt.	21:26	0:592	14794	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_1459		Men kroppen skiller seg fra mobiltelefonen når det gjelder batterikapasiteten, og måten den fungerer på. Når mobiltelefonen din er utladet, er den ikke-fungerende til du har matet den med en smule strøm igjen. Kroppen derimot, har oppsparte midler på energikontoen, og bruker denne energien når du kjører kroppen din (ditt operativsystem) for hardt. Mennesket kan altså klare en periode med for mye aktivitet og uten tilstrekkelig hvile - men på lang sikt må man betale for det med nedsatt helse. Å kjøre kroppen for hardt er som å handle på kreditt, smellen kommer før eller siden, slik for eksempel forsker og professor i biologi og nevrologi Robert M. Sapolsky viser i «Why Zebras Don´t Get Ulcers».	197:202	0:702	14783	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_4108		Når det kun er dieselmotoren som driver bilen, er den forhjulsdreven, og har fremdeles et nøkternt forbruk på 0,49 liter på milen. Bilen kan drives på strøm fra lithium-ion batteriet på 9,8 kWt i inntil 33 kilometer, med en toppfart på 120 km/t.	151:156	0:245	14787	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_8465		- Er man bortreist på sommeren har det lite for seg å ha elektriske varmekabler på, men når man kommer tilbake bør man heve temperaturen forsiktig, sier Nesje. Generelt har folk det litt for varmt på badet, mener han. Man kan spare strøm ved å senke temperaturen en grad eller to hele året. Dette bruker vi mest penger på - Den største delen av strømregningen, 60 prosent, er oppvarming.	232:237	0:387	14796	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_391		Beløpet må ses på som en illustrasjon av et element i sentraliseringens pris, og om de andre strømmene bidrar til å senke eller øke dette tallet er vanskelig å anslå uten å foreta en mer omfattende analyse.	18:21	0:206	14777	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_9010		Ifølge NVE vil enkelte kunder måtte belage seg på å vaere uten strøm også utover dagen. – Årsakene til feilene er i hovedsak ising og salt på linjene.	62:67	0:149	14780	nor_dia_change_subset2	no	andrey
strøm	NN	2012	2012-2019	2012-2019_strøm_124		Spaken er umulig ikke å få øye på. Førermiljøet er oversiktlig og greit, og minner en god del om Toyotas flerbruksbil Verso - siden speedometeret er plassert til høyre i dashbordet. Bilen lades opp på halvannen time via en vanlig 16A-kurs, og kan da kjøres i rundt to mil kun på strøm - i lave hastigheter.	279:284	0:306	14784	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_85		For å komme med i nye nettverk og sikre utbytterike strømmer gjennom dem, kreves en heving av evnen til å frembringe forskningsresultater som markerer Norge som en interessant partner for andre nasjoner - et land der de stadig på nytt vil søke kontakter fordi det er gagnlig i deres eget virke. Vår evne til samarbeid med andre land avhenger av den kunnskap vi kan gå inn med. Dette er et viktig argument for nasjonal satsing i både grunnforskning og anvendt forskning. Norge må kunne yte originale bidrag også på fronter som ikke gir umiddelbar økonomisk avkastning for å ha byttemidler i den internasjonale kunnskapsutvekslingen.	52:60	0:631	14775	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_586		Bak disse behovene ligger en langvarig historisk utvikling bestående av industrialisering, urbanisering og et stadig klarere skille mellom arbeid og fritid. I hvilken grad denne utviklingen fortsatt pågår for fullt er vanskelig å si. Blant annet ser det ut til at flyttestrømmen har snudd noe, slik at strømmen ikke lenger ensidig går mot de større byene.	83:86	0:355	14785	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_25		Det ble også forsøkt å få folk opp fra sjøen med en arbeidskurv i vestre kran, men det lyktes ikke. Ingen klarte å svømme så langt på tvers av vind, strøm og sjø.	149:154	0:162	14789	nor_dia_change_subset2	no	andrey
strøm	NN	1980	1980-1990	1980-1990_strøm_92		Arbeidersamvirke tillegges stor betydning når det gjelder å sysselsette ledig arbeidskraft. Kooperativt organiserte koloniseringstiltak etableres for å fange opp strømmen av folk fra landsbygda mot byene.	27:31	0:204	14790	nor_dia_change_subset2	no	andrey
