lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tape	NN	1980	1980-1990	1980-1990_tape_260		Fullverdif orsikring for bygninger ble lansert i krigsårene og er etter hvert blitt et viktig middel til å motvirke underforsikring av verdier. Hadde forsikringstakeren en for lav forsikringssum, ble erstatningen redusert i samme grad som forsikringssummen var lavere enn den virkelige verdi. Produktene i skadeforsikring tar sikte på situasjoner som omfattes av «klassiske» forsikringsbegreper - som at skaden eUer tapet skal skje uventet og tilfeldig og ved en uforutsett begivenhet.	416:421	0:485	15042	nor_dia_change_subset2	no	andrey
tape	NN	2012	2012-2019	2012-2019_tape_5554		Ifølge Oljefondets direktør Yngve Slyngstads resultatpresentasjon falt verdien av fondets BP-aksjer med 8,3 milliarder i andre kvartal i 2010 - det største tapet på en enkeltinvestering i det kvartalet.	156:161	0:202	15044	nor_dia_change_subset2	no	andrey
tape	NN	1980	1980-1990	1980-1990_tape_528		Overfor disse må ansvarsgrunnlaget etter alminnelige rettsgrunnsetninger enten vaere garanti eller rettsbrudd. Erstatningsregelen i fjerde punktum gir bare adgang til å kreve erstatning så langt tapet skriver seg fra at den som står for salget har utvist skyld eller det foreligger annet grunnlag. Erstatningen er imidlertid ikke nødvendigvis betinget av at det foreligger mangler.	194:199	0:380	15052	nor_dia_change_subset2	no	andrey
tape	NN	2012	2012-2019	2012-2019_tape_14425		Overraskende stort underskudd for Tesla FOTO: David Zalubowski, TT Nyhetsbyrån. Teslas inntekter økte, men langt fra så mye som markedet hadde forventet. I årets første kvartal tapte elbilprodusenten over 700 millioner dollar. Tesla hadde på forhånd varslet et underskudd etter at det for første gang i sin 15 år lange historie avsluttet 2018 med overskudd i to kvartaler på rad. Tapet i første kvartal på 702 millioner dollar (rundt 6 milliarder kroner), kommer til tross for at omsetningen økte med nesten 40 prosent til 3,5 milliarder dollar. Dette er likevel langt mindre enn markedets forventninger på 5,42 milliarder dollar i omsetning.	177:182	0:642	15040	nor_dia_change_subset2	no	andrey
tape	NN	1980	1980-1990	1980-1990_tape_144		Tallene kan tyde på noe lavere sykmeldingsfrekvens blant prosjektpasienter enn blant ordinaere pasienter, men forskjellen er ikke stor. Tabell 25. Andel med selvrapportert sykmelding på henvisningstidspunktet blant pasienter behandlet henholdsvis ordinaert og i prosjekt ved Moss sykehus okt. 87 - mai 89. Ved Sarpsborg sykehus er det vanskelig å anslå omfanget av sykefråvaer blant prosjektpasientene på grunn av det store tapet av data fra databasen for behandlede pasienter (jfr. avsnitt 1.5).	421:426	0:493	15036	nor_dia_change_subset2	no	andrey
tape	NN	1980	1980-1990	1980-1990_tape_165		Erstatningen for fremtidig tap skal dermed i prinsippet utgjøre det fulle fremtidige tapet slik dette fortoner seg på tidpunktet for oppgjøret.	27:30	0:143	15053	nor_dia_change_subset2	no	andrey
tape	NN	1980	1980-1990	1980-1990_tape_588		Erstatningsordningene gjelder dessuten bare ulykker som et anlegg i en konvensjonsstat er ansvarlig for. b. Dersom tapet overstiger det begrensningsbeløpet som anleggsinnehaveren er ansvarlig for, bestemmer tilleggskonvensjonen at den stat hvor anlegget hører hjemme, skal vaere ansvarlig for det overskytende opp til 120 millioner SDR, ca 1,1 milliarder kroner, jfr. atomenergiloven § 40 jfr. § 41. (Ansvaret skal neves til 300 millioner SDR, ca 2,7 milliarder kroner.) Anleggsstaten skal dessuten vaere subsidiaert ansvarlig for at anleggsinnehaverens ansvar blir oppfylt, jfr. atomenergiloven § 39. Etter tilleggskonvensjonen skal det land som utbetaler erstatningsbeløp over 70 millioner SDR (som skal heves til 120 millioner SDR), kunne kreve regress av de andre konvensjonsstatene etter en bestemt fordelingsnøkkel.	115:120	0:818	15050	nor_dia_change_subset2	no	andrey
tape	NN	2012	2012-2019	2012-2019_tape_7222		Tapet for laererne var forskjellen i ny og gammel lønn fra 1. mai til 1. september.	0:5	0:82	15037	nor_dia_change_subset2	no	andrey
tape	NN	2012	2012-2019	2012-2019_tape_3950		Hun var kritisk og kunnskapsrik nok. I dette sportsstudioet var det ingen kamp om den rette forståelsen av sykkelteknikk eller dopingmetoder der en av tidenes mest profesjonelle utøvere pr. definisjon ikke kunne tape.	212:216	0:217	15043	nor_dia_change_subset2	no	andrey
tape	NN	1980	1980-1990	1980-1990_tape_224		Forsikringsordningen er bygget opp slik at tapet regnes opp til en fastsatt maksimums årslønn som pr. 1.4.1986 utgjorde kr. 219 500.	43:48	0:132	15049	nor_dia_change_subset2	no	andrey
