lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tendens	NN	2012	2012-2019	2012-2019_tendens_556		Hun understreker at voldsretorikk ikke nødvendigvis fører til vold, men beskriver likevel tendensen på de norske nettstedene som farlig. Perona-Fjeldstad minner om at romfolk er blitt diskriminert opp gjennom historien og at de er en sårbar gruppe som naermest lever uten rettigheter i mange land. (ANB-NTB)	90:99	0:306	15158	nor_dia_change_subset2	no	andrey
tendens	NN	2012	2012-2019	2012-2019_tendens_10259		Politimannen Robertsen trener i Sarpsborg Chi og MMA og delvis i Frontline Academy og har i likhet med Jacobsen hatt en tendens til å gå kamper som avsluttes raskt. Robertsen har avsluttet fire av fem profesjonelle kamper i første runde, med en overvekt av knockouts. Robertsen skiller seg fra Jacobsen og Foss ved at han har en lang amatør-karriere i MMA bak seg før inngangen i profesjonell konkurranse.	120:127	0:405	15150	nor_dia_change_subset2	no	andrey
tendens	NN	1980	1980-1990	1980-1990_tendens_1744		Det synes å vaere en tendens at de store gruppene i kommunestyrene vil tape et mandat eller to, til mindre grupper.	20:27	0:114	15156	nor_dia_change_subset2	no	andrey
tendens	NN	2012	2012-2019	2012-2019_tendens_7435		Når actionstjerner prøver seg på komedier har vi en lei tendens til å ende opp med The Rock som tannfeen, Arnold Schwarzenegger som høygravid eller eventuelt Vin Diesel som barnevakt med egen and. Statham er imidlertid et komisk naturtalent, som gjør en så solid jobb både med slapstick og surrealistiske replikker at han kunne ha tatt over rollen som inspektør Clouseau i en oppdatert utgave av «The Pink Panther»-serien. La gå at Statham har tidligere erfaring med humor i de frenetiske «Crank»-filmene, samt Guy Ritchies «Snatch» og «Lock, Stock and Two Smoking Barrels».	56:63	0:574	15163	nor_dia_change_subset2	no	andrey
tendens	NN	2012	2012-2019	2012-2019_tendens_6909		Byrået har sett en økt tendens til at saerlig voksne på tur benytter seg av den muligheten.	23:30	0:90	15155	nor_dia_change_subset2	no	andrey
tendens	NN	2012	2012-2019	2012-2019_tendens_7063		De bør bli enda mer synlige i mediebildet, sier IMDi-direktør Geir Barvik. Når personer med innvandrerbakgrunn intervjues, opplyses det om denne bakgrunnen i én av fire artikler. Sammenlignet med funn fra 2009 og 2011 er det en økende tendens til at de uttaler seg uten at det blir gitt opplysninger om personens bakgrunn.	235:242	0:322	15160	nor_dia_change_subset2	no	andrey
tendens	NN	1980	1980-1990	1980-1990_tendens_1208		Også den offentlige sektoren sysselsetter relativt flest i de sentrale kommunene, selv om denne tendensen er noe mindre utpreget enn innen privat tjenesteyting. Ulikheten her gjelder i første rekke helse- og sosialsektoren.	96:105	0:223	15147	nor_dia_change_subset2	no	andrey
tendens	NN	1980	1980-1990	1980-1990_tendens_1621		Videre bør man kunne undersøke fysisk form relatert til andre funksjoner (enn hjerte-kar), så som muskelkoordinasjon, reaksjonshastighet, styrke, bevegelighet (dagliglivets funksjoner), med tilhørende tjenester for å avhjelpe mangler. Spesielt for middelaldrende og eldre bør det legges betydelig vekt på å oppdage og motvirke tendens til passivisering og reduksjon av funksjoner som tjener til å bevare folks uavhengighet av tyngre omsorg, pleie og behandling.	327:334	0:461	15149	nor_dia_change_subset2	no	andrey
tendens	NN	2012	2012-2019	2012-2019_tendens_449		Negativ tendens	8:15	0:15	15153	nor_dia_change_subset2	no	andrey
tendens	NN	1980	1980-1990	1980-1990_tendens_2130		Når det gjelder helserådets gjøremål i forbindelse med smittsomme sykdommer og de rent teknisk-hygieniske oppgåver, mener Komiteen det bør overveies om ikke disse i hovedsak kan legges direkte til den lokale helseadministrasjon med vedkommende offentlige lege som den naermeste ansvarlige. Foruten å vaere faglig og administrativ rasjonell, er en slik løsning også i godt samsvar med den tendens en kan spore i lovgivningen på dette området etter sunnhetslovgivningen.	386:393	0:466	15154	nor_dia_change_subset2	no	andrey
tendens	NN	1980	1980-1990	1980-1990_tendens_1358		□ store utviklingsmuligheter i de eksisterende bedrifter, sterk tendens til ekspansjon	64:71	0:86	15157	nor_dia_change_subset2	no	andrey
