lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
terror	NN	1980	1980-1990	1980-1990_terror_15		Skal man helt unngå smitte, eller inntrykk av smitte, må løsningen bli at politiet fritas for å ha en spesialstyrke mot terror. En mer moderat løsning er å forsøke, så langt råd er, å hindre at beredskapsstyrken skiller seg ut fra vanlig politi i den daglige tjeneste. Et ledd i dette er å unngå at patruljeenheten fra beredskapstroppen tilkalles spesielt for å løse oppdrag der det kan bli snakk om bruk av fysisk makt. Hvis så skjer, har vi i realiteten fått et uro-politi.	120:126	0:475	15258	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_1095		Det mener Eivind Rindal, som selv ble skutt etter på Utøya, som mener Breivik hadde samme innstilling som naziforbrytere når han begikk terroren 22. juli i fjor. Rindal overlevde ved å flykte i båten «Reiulf». 23-åringen følger rettssaken mot mannen som prøvde å drepe ham, via TV-overføringen til tinghuset i Trondheim.	136:144	0:320	15268	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_2997		Slik er det ingen tvil om at både frykten og handlingen kvalifiserer til definisjonen av terror. I sin tale til folket i går kveld brukte president Barack Obama likevel ikke begrepet.	89:95	0:183	15270	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_14388		Bakgrunnen er at PST nå vurderer at trusselnivået er høyere, og at det «sannsynlig» at noen vil forsøke å gjennomføre terror i Norge. I dag kom meldinga om at byrådsleder Raymond Johansen varsler at det vil bli ekstra sikkerhetstiltak under årets 17. mai-feiring i Oslo, ifølge Aftenposten. PST-sjef Benedicte Bjørnland slo på en pressekonferanse søndag ettermiddag fast at det er sannsynlig at Norge kan bli rammet av et terrorangrep i 2017.	118:124	0:442	15275	nor_dia_change_subset2	no	andrey
terror	NN	1980	1980-1990	1980-1990_terror_31		I saker som gjelder ulovlig etterretning eller terror er det viktig å kunne benytte telefonavlytting på et tidlig tidspunkt i etterforskingen.	47:53	0:142	15257	nor_dia_change_subset2	no	andrey
terror	NN	1980	1980-1990	1980-1990_terror_10		Et sentralt spørsmål er om spesialavdelinger til bekjempelse av terror bør organiseres innenfor politiet eller Forsvaret.	64:70	0:121	15266	nor_dia_change_subset2	no	andrey
terror	NN	1980	1980-1990	1980-1990_terror_4		Vi skal derimot drøfte spørsmålet om spesialavdelinger til bekjempelse av terror bør organiseres innenfor politiet eller forsvaret.	74:80	0:131	15273	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_6800		Hun ble sjokkert da hun oppdaget følgene av å jobbe i droneprogrammet. - Fyll og stoffmisbruk er overalt blant dem som flyr dronene, sier hun. - Disse menneskene blir ødelagt. Schei er også overbevist om at droneprogrammet har sin del av skylden for noe av terroren Vesten nå opplever.	257:265	0:285	15265	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_4205		Tidligere i år ble en norsk-pakistaner (22) siktet for terror i Syria, etter at han kom tilbake til Norge med skuddskader i beinet.	55:61	0:131	15271	nor_dia_change_subset2	no	andrey
terror	NN	2012	2012-2019	2012-2019_terror_3031		Foto: Ørjan Ellingvåg/Dagbladet BOSTON (Dagbladet): Ingulf Nordahl (43), Janicke Ekelberg (40) og Christopher Aalholm (43) hadde alle kommet i mål allerede da de to bombene eksploderte i Boston Marathon i går. Dermed unnslapp de terroren med knapp margin.	229:237	0:255	15276	nor_dia_change_subset2	no	andrey
