lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
tjener	NN	2012	2012-2019	2012-2019_tjener_404		Totalt vil Det europeiske fotballforbundet (UEFA) straffe ni klubber for brudd på de nye reglene som skal sørge for at klubber ikke bruker betydelig mer penger enn de tjener. UEFA har også muligheten til å utestenge lag, men det vil forbundet trolig ikke gjøre denne gangen. - Aksepter reglene Wenger mener de godt kan gjøre det. - Du skulle tro at alle ville forstå det hvis det var slik at hvis du aksepterer reglene, er du med i turneringen. Gjør du det ikke, er du ute.	167:173	0:473	14768	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_185		Mer enn seks av ti som får startlån tjener over 400 000 kroner i året, det vil si mer enn en gjennomsnittlig industriarbeiderlønn.	36:42	0:130	14771	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_27		I dette lå det som var av velstand. Det skulle dekke skatter og avgifter og fordeles mellom bøndene, husmennene, tjenerne og de fattige.	113:121	0:136	14773	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_87		Blant dem er historien om Diana og Aktaion. Maleriet skildrer en scene der jegeren Aktaion uforvarende kommer over jaktens gudinne, jomfruen Diana, mens hun blir vasket var sine tjenere i skogen.	178:185	0:195	14754	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_29		Vi vet ikke hvor mange fridager tjenerne fikk i løpet av året, men vi vet hvorledes bøndene i Våle kommunestyre så på dette forholdet så seint som i 1901.	32:40	0:154	14753	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_38		Som regel fungerer imidlertid FK-eres forhold til tjenere uten problemer av noen art. SOSIALT LIV 'vem er FK-erne sammen med i fritiden?	50:57	0:136	14769	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_581		Utgangspunktet for beregningene er hvor store utslipp av CO2 det enkelte selskap har for hver million dollar det tjener.	113:119	0:120	14765	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_612		Hun sier at TBU-tallene viser årslønnsvekst for hele tariffområder og store lønnsmasser fra år til år, og ikke hva den enkelte arbeidstaker faktisk tjener.	148:154	0:155	14758	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_883		På spørsmål om kontroll med plomberinger, svarer Forsvaret at politiet beslutter hvem og hva slags saksforhold som skal etterforskes. – Av hensyn til den enkeltes rettssikkerhet, samt å sikre en objektiv og uavhengig etterforskning, vil det vaere galt av Forsvaret på dette tidspunkt å uttale seg naermere om dette, skriver major Hagen. Sjefen for Forsvarsstaben, viseadmiral Elisabeth Natvig svarer på generelt grunnlag om politiets funn i operasjon Bonanza: – Handler disse funnene om enkeltpersoner som har begått lovbrudd eller et system som ikke har hatt kontroll? – Jeg oppfatter at det er en kombinasjon av utro tjenere og for dårlige rutiner.	617:624	0:648	14757	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_17		I vid forstand vitner gode tjenester derfor om dannelse eller om respekt overfor de brukere det er det offentliges oppgave å betjene. Jeg tror at det vi i dag opplever, er en overgang fra staten som herre til staten som tjener.	220:226	0:227	14772	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_46		På høsttinget det året var Oblo Flekstad anklaga for å ha stjålet et sildegarn på fjorden av husmann Oluf Andersen på Fanes og måtte svare erstatning for det. På det neste tinget, i januar 1691, var Guttorm Rekkebo (Rekbu) innstevna for ulovlig vedhogst i skogen til enka på Feset; på neste vinterting ble f.eks. drengen Anders Johansen dømt for overfall, tjeneren Johan dømt til to uker vatn og brød på «mørkestuen» i en leiermålsak, Jon Valberg og Jon Galtvik var uenige om et naust osv.	356:364	0:489	14766	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_14		Informasjonsutvalget sier bl. a. følgende om forholdet mellom de offentlige myndigheter og den enkelte samfunnsborger: «Det offentlige er såvel myndighet for den enkelte samfunnsborger som hans tjener.	194:200	0:201	14755	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_0		De som fra nå av har skatteland i Sverige, skal vaere svenske undersåtter med hele sin familie, tjenere og husmenn.	95:102	0:114	14761	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_30		Da fikk kommunestyret anledning til å uttale seg om et forslag til ny «Tyendelovgivning», og dette angikk i høy grad tjenestefolkenes fritid. I Våle kommunestyre var det full enighet om at man ville gå imot lovbefalt fritid. Når det gjaldt arbeidsdagens lengde, heter det i vedtaket fra Våle: «Man vil anbefale at arbeidet som regel bør slutte klokken 9 aften, dog bør tjeneren ikke efter denne tid forlate huset uten husbondens tilladelse &gt;. Og når det gjaldt ferier, ble det fattet følgende vedtak: «Ferien bør ikke settes lenger enn til 7 dager årlig.»	369:377	0:558	14764	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_43		En annen ting er at budsjettandelen til elektrisitet stadig er så lav at husholdningene bruker den elektrisiteten de trenger uavhengig av hvor mye de tjener.	150:156	0:157	14756	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_181		Dyp rød sofa og persisk teppe på gulvet i biblioteket på Downton Abbey. Lady Rose (Lily James) later til å kjede seg, bøkene til tross. Foto: ITV Både herskap og tjenere engasjerer seg i hverandres liv på Downton Abbey. Foto: ITV	162:169	0:229	14774	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_28		Uten arbeidsomhet og nøysomhet ville det neppe blitt noen velstand. Bøndenes velstand ville nok også blitt betydelig redusert om deres arbeidshjelp - husmennene og tjenerne - skulle hatt den samme årsinntekt som dem. Husmennene kom imidlertid aldri til å utgjøre noen stor flokk i Våle.	164:172	0:286	14760	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_126		En ny sesong med Downton Abbey er endelig i gang. Hvordan takler Mary sitt nye liv som nybakt mor og ung enke? Og hvordan går det med livene til herskap og tjenere på godset?	156:163	0:174	14762	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_889		- Ved første øyekast så det ut som at skatteøkningen ble høyere jo mer du tjener.	74:80	0:81	14767	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_236		Selv om roboter blir mer og mer utbredt, er de på langt naer å fungere som tjenere i hjemmene våre - foreløpig.	74:81	0:110	14759	nor_dia_change_subset2	no	andrey
tjener	NN	1980	1980-1990	1980-1990_tjener_10		Her bør også menigheten kjenne et ansvar overfor sine tjenere og vise dem omsorg i forbønn og samtale, likesom biskopen ut fra sitt tilsynsansvar bør ha en løpende kontakt med kirkens ansatte for å veilede og rettlede dem i spørsmål om tro og liv.	54:61	0:247	14763	nor_dia_change_subset2	no	andrey
tjener	NN	2012	2012-2019	2012-2019_tjener_371		Verre for jenter 40 prosent av verdens 250.000 barnesoldater er jenter. Slik er det også i Den demokratiske republikken Kongo. Kidnappet og brukt som sexslaver og tjenere av militsgrupper, blir de ofte avvist av familien hvis de klarer å rømme.	163:170	0:244	14770	nor_dia_change_subset2	no	andrey
