lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
utakt	NN	1980	1980-1990	1980-1990_utakt_44		Et helt annet eksempel, hentet f ra investeringsanalyse, er å spre sine investeringer på objekter med avkastning som varierer i utakt.	128:133	0:134	14979	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_266		Det eneste vi finner er at de som har lang humanistisk og samfunnsvitenskapelig utdannelse, er litt i utakt med folk flest.	102:107	0:123	14980	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_6		Det er sannsynlig, men ikke sikkert, at våre domstoler vil gi de folkerettslige regler på dette området fortrinnet i en eventuell konflikt med norske rettsregler. Norge har tidligere, saerlig i mellomkrigstiden, vaert i sterk utakt med en internasjonal rettsutvikling til vern om minoritetskulturer.	224:229	0:297	14977	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_230		Man kan si at luftforurensingen i nord gjorde at den nordlige og sørlige halvkule kom i utakt klimamessig på 1960- og 1970-tallet.	88:93	0:130	14982	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_543		– Men når Ap og LO står på sitt mens motstanden øker, er dere i utakt med folk? – Nå er LO og Ap folkelige bevegelser som tar beslutninger basert på demokratiske prosesser.	64:69	0:172	14987	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_36		Det ljomer under hvelvingene når barn fra Gyldenpris barnehage trår til med pepperkakebakesangen sammen med ordfører Trude Drevland. Bak en søyle durer akkompagnementet fra en cd-spiller, og de er litt i utakt.	204:209	0:210	14984	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_43		En del av de mindre lokal- avisene kunne også tenke seg å bruke hjemvendte FK-ere til å kommentere aktuelle hendelser i landene de har arbeidet i. En del journalister og redaksjonssjefer er oppmerksomme på at deres medier er i utakt med publikums interesser for u-landsstoff.	227:232	0:275	14992	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_28		En vet også at det å arbeide i utakt med de fleste andre gjør det vanskelig å delta i organiserte fritidsaktiviteter og å ha vanlig sosial omgang (NOU 1979:56).	31:36	0:160	14994	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_31		Det har medført at praksis har vaert i utakt med regler for innrømmelse av folketrygdrettigheter og sjømannsskatt for de samme norske ansatte.	38:43	0:141	14985	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_197		Benedikt har ledet moderkirken i utakt med moderne vestlige verdier - og delvis i strid med seg selv. Opposisjonen har markert seg, blant annet i en krets rundt den østerrikske presten Helmut Schüller, som sammen med 400 kolleger har tatt til orde for ordinering av kvinnelige prester, opphevelse av sølibatet og åpning for at skilte skal kunne motta nadverd.	33:38	0:359	14989	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_312		I prioriteringen av likestilling er politikerne nå i utakt med velgerne. Hvis ikke noen griper sjansen, gjør kanskje noen andre som i Sverige.	53:58	0:142	14988	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_20		Medisinsk og sosialvitenskapelig forskning har vist at arbeidstider som bryter med biologiske rytmer, ofte medfører helseproblemer. Dessuten veit vi at det å arbeide i utakt med de fleste andre, gjør det vanskelig å delta i organisasjonsliv, organiserte fritidsaktiviteter og å ha vanlig sosial omgang. Saerlig sårbart er familielivet.	168:173	0:334	14981	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_224		- Hvem av dere er mest i utakt med hva velgerne på hjemstedet deres mener?	25:30	0:74	14990	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_41		Behandling av slike detaljsaker er imidlertid i utakt med retningslinjene som er trukket opp for modernisering av statsforvaltningen.	48:53	0:133	14976	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_757		I utakt med tiden Kjøreegenskapene med de ekstra hestekreftene skal sikres ved stivere stag i motorrommet, samt omprogrammert servostyring og differensial. Enda større bremser kan leveres som ekstrautstyr.	2:7	0:205	14978	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_254		- For meg er dette et eksempel på hvor vanlig det er i moderne fotball at styret er i utakt med fansen, og heller er opptatt av andre ting enn supporterne.	86:91	0:155	14986	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_25		Å arbeide i utakt med de fleste andre gjør det vanskelig å delta i organisasjonsliv, fritidsaktiviteter og sosialt liv. Det er imidlertid ikke bare de mest awikende arbeidstidsordningene som kan føre til problemer for arbeidstakeren.	12:17	0:233	14983	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_11		Lovene er nå tilnaermet identiske i oppbygging og innhold, og bygger i hovedtrekk på en organisasjonsstruktur som har ligget fast siden 1921. Kommuneloven og Fylkeskommuneloven er etter hvert kommet i utakt med samfunnsutviklingen.	200:205	0:230	14973	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_120		- Det å ha en utvikling hvor man er i utakt med omgivelsene over en lang periode er en fare, sier Juel. To forhold Ifølge Juel er det idag saerlig to forhold som truer det positive bildet som tegnes av utviklingen i norsk økonomi fremover. Både en forverret situasjon i eurosonen og andre faktorer som kan presse oljeprisen nedover, vil kunne få dramatiske følger i Norge. - Får du en fullstendig kollaps i eurosonen, vil det ramme etterspørselen fra våre handelspartnere hardt, påpeker han. Juel holder muligheten for sammenbrudd i eurosonen åpen, men tror dette vil unngås med tiltak som krisehjelp, gjennomføring av reformer og mer samarbeid om økonomisk politikk sentralt sett i eurosonen.	38:43	0:692	14974	nor_dia_change_subset2	no	andrey
utakt	NN	2012	2012-2019	2012-2019_utakt_581		– Men det mest ekstreme eksempelet på å vaere i utakt med sine velgere, er det Høyre som står for. Vår gjennomgang viser at det bare er Elin R. Agdestein i Høyres stortingsgruppe som er mot EU-medlemskap. 45 er mot og to har svart at de ikke vet eller vet ikke. – Når 60 prosent av Høyre-velgerne er mot EU-medlemskap, er det et parti som så til de grader er i utakt med sine velgere, at både velgerne og partiet er tjent med at det kommer inn flere i Høyres stortingsgruppe som er enig med velgerne sine i EU-spørsmålet.	47:52	0:520	14993	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_40		Ungdom med tilhørighet i hippie-kulturen og i utakt med sitt bakgrunnsmiljø og dets forventninger utgjorde et sterkt innslag i misbrukergruppen i 1968-1970.1 denne gruppen var det en overvekt av menn. Stoffene ble introdusert gjennom geografiske og befolkningsmessige sentra og deretter gradvis spredt til småbyer og bygdesamfunn.	46:51	0:330	14991	nor_dia_change_subset2	no	andrey
utakt	NN	1980	1980-1990	1980-1990_utakt_18		Langtidsprogrammet gir uttrykk for at mye taler for at arbeidstidene bør bli mer varierte og åpningstidene mer fleksible, og at de som i dag har avvikende arbeidstider, på den måten vil kunne komme mindre i utakt med tidsmønstrene i samfunnet for øvrig. Det nevnes imidlertid at en slik utvikling også vil kunne innebaere ulemper for en del arbeidstakergrupper.	207:212	0:360	14975	nor_dia_change_subset2	no	andrey
