data	avg_judgment_no	kri_full	kri_annotator2,mean_others	kri_annotator1,mean_others	kri_annotator1,annotator2	kri_annotator0,mean_others	kri_annotator0,annotator2	kri_annotator0,annotator1	kri2_full	kri2_annotator1,annotator2	kri2_annotator0,annotator2	kri2_annotator0,annotator1	spr_mean_weighted	spr_mean	spr_annotator2,mean_others	spr_annotator1,mean_others	spr_annotator1,annotator2	spr_annotator0,mean_others	spr_annotator0,annotator2	spr_annotator0,annotator1	overlap_annotator1,annotator2	overlap_annotator0,annotator2	overlap_annotator0,annotator1	judgments_annotator0	judgments_annotator1	judgments_annotator2	judgments_total	judgment_1.0	judgment_2.0	judgment_3.0	judgment_4.0	judgment_0.0
full	1.806428313470567	0.667459839823936	0.657584463742001	0.6368264985178205	0.5637365267476505	0.7587532810422201	0.7220297149000211	0.7439749082842425	0.6684570090925384	0.5311441548598935	0.7033587386328137	0.7869272029993665	0.7107145265171293	0.7126025546996858	0.7076273406927157	0.6677397211155612	0.6206757679481488	0.7724431013870727	0.7667700762640878	0.7503618198868209	2570	2299	2586	4787	5432	4787	15006	1539	1060	1388	9916	1103
bank	1.733009708737864	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	64	54	67	120	125	112	357	0	0	0	356	1
bystyrerepresentant	1.982532751091703	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	105	53	116	120	224	110	454	0	0	0	452	2
driftsregnskap	1.6699029126213591	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	1.0	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	51	53	50	115	115	114	344	0	0	0	340	4
fane	2.607843137254902	0.769598814454027	0.7106386882191915	0.7985585504843817	0.7842976955465861	0.6956758815121069	0.6706313843793406	0.7813902185574152	0.7106734986997704	0.6750634178363388	0.6053841009453339	0.7937220500565911	0.8902426443193596	0.8935145529113758	0.8924145265198906	0.8286379725445846	0.8669154357902067	0.8856591490540889	0.9685797877612821	0.8450484351826386	128	101	109	115	144	140	399	116	111	78	90	4
fjær	1.7451923076923077	0.15303141305695878	-0.02993697478991586	0.16778952886038478	-0.0023098498597591277	0.1664169116360803	-0.008906633906633932	0.5234673886308229	0.2948841764831267	-0.00021433915726931652	-0.021120185208306275	0.7931237892338391	0.4762431223466391	0.46658738585346193	0.4399413450640599	0.3155225625598815	0.4358898943540674	0.2744477254846851	0.44128997507904383	0.5225822881272745	38	37	61	121	130	112	363	27	35	1	243	57
innstilling	1.875	0.7436958552499907	0.8262064536735048	0.7275587978018994	0.8891153162048684	0.6503673818601712	0.7325376507422879	0.5468139012474591	0.5666723591357515	0.7814766625323353	0.6066300115590881	0.2832486531672693	0.8367181602093235	0.8352959897484084	0.8722630833778553	0.8012347141559248	0.8882658572904782	0.8077967267633843	0.8531856525879048	0.7644364593668421	83	65	74	122	147	121	390	119	58	3	208	2
kanal	1.703883495145631	0.9203238940612402	0.9024017293265787	0.9271969409082272	0.8960394527827054	0.9460467970795693	0.923863265639018	0.9723850840985033	0.8372849560471559	0.7833890059282208	0.8383311959120359	0.9467269035130539	0.934559069491989	0.9376587225761953	0.9116689132331338	0.9282189800750887	0.9035121816825052	0.9504449025781312	0.9356392870229827	0.973824699023098	59	60	45	116	117	118	351	159	34	7	138	13
kjøpepress	1.936936936936937	0.10978938528575344	0.3673976003309888	-0.2756840896693471	-0.2709677419354839	0.6517257154639936	0.815495096799705	-0.2448979591836733	0.1375715374711478	-0.37776379987481823	0.7853623398126737	0.2433111645466114	0.9140560472319057	0.9140560472319057	0.5720666804125193	nan	nan	0.658020061007581	0.9140560472319057	nan	99	73	92	130	162	138	430	61	0	52	316	1
kode	1.755	0.3547905710606144	0.2843105079336071	0.5088199089935855	0.38537388292110497	0.3331003644442069	0.13561963301761226	0.5386717627022095	0.21708036983274248	0.3872009370845697	-0.02774793515524654	0.4203641060315685	0.339466419472802	0.35154186985766606	0.2914713958107404	0.5019948174520642	0.37311770275473927	0.33593208281005915	0.1451147387049076	0.5363931681133515	48	61	52	119	112	120	351	84	112	44	84	27
