lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_graded	k1	n1	k2	n2	note
bank	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
bystyrerepresentant	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
driftsregnskap	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
fane	1980-1990_2012-2019	18	7	11	[11, 5, 2]	[5, 0, 2]	[6, 5, 0]	[0.611, 0.278, 0.111]	[0.714, 0.0, 0.286]	[0.545, 0.455, 0.0]	1	0.6150734847260693	1	3	1	3	
fjær	1980-1990_2012-2019	21	10	11	[20, 1]	[9, 1]	[11, 0]	[0.952, 0.048]	[0.9, 0.1]	[1.0, 0.0]	0	0.22781387210026416	1	3	1	3	
innstilling	1980-1990_2012-2019	22	11	11	[15, 4, 2, 1]	[11, 0, 0, 0]	[4, 4, 2, 1]	[0.682, 0.182, 0.091, 0.045]	[1.0, 0.0, 0.0, 0.0]	[0.364, 0.364, 0.182, 0.091]	1	0.6554106579043849	1	3	1	3	
kanal	1980-1990_2012-2019	22	11	11	[13, 4, 2, 1, 1, 1]	[3, 4, 2, 1, 0, 1]	[10, 0, 0, 0, 1, 0]	[0.591, 0.182, 0.091, 0.045, 0.045, 0.045]	[0.273, 0.364, 0.182, 0.091, 0.0, 0.091]	[0.909, 0.0, 0.0, 0.0, 0.091, 0.0]	1	0.7344896841655342	1	3	1	3	
kjøpepress	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
kode	1980-1990_2012-2019	22	11	11	[11, 6, 4, 1]	[7, 0, 4, 0]	[4, 6, 0, 1]	[0.5, 0.273, 0.182, 0.045]	[0.636, 0.0, 0.364, 0.0]	[0.364, 0.545, 0.0, 0.091]	1	0.7260646305251895	1	3	1	3	
kohort	1980-1990_2012-2019	22	11	11	[21, 1]	[11, 0]	[10, 1]	[0.955, 0.045]	[1.0, 0.0]	[0.909, 0.091]	0	0.2168328719135303	1	3	1	3	
kreft	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
mappe	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
melding	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
melk	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
moment	1980-1990_2012-2019	22	11	11	[20, 1, 1]	[11, 0, 0]	[9, 1, 1]	[0.909, 0.045, 0.045]	[1.0, 0.0, 0.0]	[0.818, 0.091, 0.091]	0	0.3122142999639709	1	3	1	3	
mus	1980-1990_2012-2019	21	10	11	[18, 3]	[7, 3]	[11, 0]	[0.857, 0.143]	[0.7, 0.3]	[1.0, 0.0]	1	0.4113330221378465	1	3	1	3	???
nett	1980-1990_2012-2019	20	9	11	[17, 2, 1]	[7, 2, 0]	[10, 0, 1]	[0.85, 0.1, 0.05]	[0.778, 0.222, 0.0]	[0.909, 0.0, 0.091]	0	0.40032010840323384	1	3	1	3	
oppvarming	1980-1990_2012-2019	22	11	11	[14, 5, 3]	[11, 0, 0]	[3, 5, 3]	[0.636, 0.227, 0.136]	[1.0, 0.0, 0.0]	[0.273, 0.455, 0.273]	1	0.723176905251697	1	3	1	3	
overflate	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
papir	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
rådgiver	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
særforbund	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
side	1980-1990_2012-2019	22	11	11	[16, 3, 2, 1]	[8, 2, 1, 0]	[8, 1, 1, 1]	[0.727, 0.136, 0.091, 0.045]	[0.727, 0.182, 0.091, 0.0]	[0.727, 0.091, 0.091, 0.091]	0	0.23789918585176636	1	3	1	3	
sky	1980-1990_2012-2019	20	10	10	[18, 1, 1]	[8, 1, 1]	[10, 0, 0]	[0.9, 0.05, 0.05]	[0.8, 0.1, 0.1]	[1.0, 0.0, 0.0]	0	0.3286815269308577	1	3	1	3	
spill	1980-1990_2012-2019	20	11	9	[16, 2, 1, 1]	[8, 1, 1, 1]	[8, 1, 0, 0]	[0.8, 0.1, 0.05, 0.05]	[0.727, 0.091, 0.091, 0.091]	[0.889, 0.111, 0.0, 0.0]	0	0.3122142999639709	1	3	1	3	
storby	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
strøm	1980-1990_2012-2019	22	11	11	[10, 8, 3, 1]	[2, 6, 3, 0]	[8, 2, 0, 1]	[0.455, 0.364, 0.136, 0.045]	[0.182, 0.545, 0.273, 0.0]	[0.727, 0.182, 0.0, 0.091]	1	0.6138734713963794	1	3	1	3	
stryk	1980-1990_2012-2019	21	11	10	[11, 9, 1]	[11, 0, 0]	[0, 9, 1]	[0.524, 0.429, 0.048]	[1.0, 0.0, 0.0]	[0.0, 0.9, 0.1]	1	1.0	1	3	1	3	
syden	1980-1990_2012-2019	20	9	11	[20]	[9]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
tape	1980-1990_2012-2019	8	4	4	[8]	[4]	[4]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	???
tavle	1980-1990_2012-2019	22	11	11	[15, 7]	[4, 7]	[11, 0]	[0.682, 0.318]	[0.364, 0.636]	[1.0, 0.0]	1	0.6554106579043849	1	3	1	3	
tendens	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
terror	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
tester	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
tjener	1980-1990_2012-2019	16	10	6	[16]	[10]	[6]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
utakt	1980-1990_2012-2019	22	11	11	[22]	[11]	[11]	[1.0]	[1.0]	[1.0]	0	0.0	1	3	1	3	
