identifier	cluster
1929-1965_bølge_116	3
1929-1965_bølge_140	0
1929-1965_bølge_625	4
1929-1965_bølge_203	1
1929-1965_bølge_626	5
1929-1965_bølge_11	6
1929-1965_bølge_31	0
1929-1965_bølge_431	0
1929-1965_bølge_678	0
1929-1965_bølge_229	0
1929-1965_bølge_536	0
1970-2015_bølge_239	0
1970-2015_bølge_703	0
1970-2015_bølge_303	0
1970-2015_bølge_514	1
1970-2015_bølge_319	0
1970-2015_bølge_486	2
1970-2015_bølge_133	0
1970-2015_bølge_771	1
1970-2015_bølge_149	2
1970-2015_bølge_308	1
1970-2015_bølge_590	2
