identifier	cluster
1929-1965_formiddagen_71	0
1929-1965_formiddagen_191	0
1929-1965_formiddagen_98	0
1929-1965_formiddagen_81	0
1929-1965_formiddagen_161	0
1929-1965_formiddagen_185	0
1929-1965_formiddagen_25	0
1929-1965_formiddagen_187	0
1929-1965_formiddagen_180	0
1929-1965_formiddagen_176	0
1929-1965_formiddagen_0	0
1970-2015_formiddagen_39	0
1970-2015_formiddagen_45	0
1970-2015_formiddagen_27	0
1970-2015_formiddagen_70	0
1970-2015_formiddagen_31	0
1970-2015_formiddagen_24	0
1970-2015_formiddagen_43	0
1970-2015_formiddagen_16	0
1970-2015_formiddagen_46	0
1970-2015_formiddagen_56	0
1970-2015_formiddagen_64	0
