identifier	cluster
1929-1965_kloakk_131	0
1929-1965_kloakk_40	0
1929-1965_kloakk_45	0
1929-1965_kloakk_73	0
1929-1965_kloakk_79	0
1929-1965_kloakk_47	0
1929-1965_kloakk_16	0
1929-1965_kloakk_77	0
1929-1965_kloakk_80	0
1929-1965_kloakk_108	0
1929-1965_kloakk_35	0
1970-2015_kloakk_334	0
1970-2015_kloakk_789	0
1970-2015_kloakk_185	0
1970-2015_kloakk_686	0
1970-2015_kloakk_956	0
1970-2015_kloakk_333	0
1970-2015_kloakk_985	0
1970-2015_kloakk_681	0
1970-2015_kloakk_77	0
1970-2015_kloakk_381	0
1970-2015_kloakk_978	0
