identifier	cluster
1929-1965_leder_1282	0
1929-1965_leder_1398	0
1929-1965_leder_588	0
1929-1965_leder_1347	0
1929-1965_leder_1179	-1
1929-1965_leder_963	0
1929-1965_leder_986	0
1929-1965_leder_660	0
1929-1965_leder_555	0
1929-1965_leder_1481	0
1929-1965_leder_456	0
1970-2015_leder_7744	0
1970-2015_leder_1712	0
1970-2015_leder_16005	0
1970-2015_leder_144	0
1970-2015_leder_4033	0
1970-2015_leder_16437	0
1970-2015_leder_1250	0
1970-2015_leder_12301	0
1970-2015_leder_1127	0
1970-2015_leder_16986	0
1970-2015_leder_16326	0
