identifier	cluster
1929-1965_varsel_85	0
1929-1965_varsel_253	0
1929-1965_varsel_52	0
1929-1965_varsel_180	0
1929-1965_varsel_361	0
1929-1965_varsel_285	0
1929-1965_varsel_238	0
1929-1965_varsel_153	0
1929-1965_varsel_224	0
1929-1965_varsel_192	0
1929-1965_varsel_431	0
1970-2015_varsel_1890	0
1970-2015_varsel_3084	0
1970-2015_varsel_484	0
1970-2015_varsel_152	0
1970-2015_varsel_2051	0
1970-2015_varsel_2272	0
1970-2015_varsel_1619	0
1970-2015_varsel_980	0
1970-2015_varsel_3156	0
1970-2015_varsel_2770	0
1970-2015_varsel_2167	0
