identifier	cluster
1929-1965_ørret_33	0
1929-1965_ørret_24	0
1929-1965_ørret_34	0
1929-1965_ørret_31	0
1929-1965_ørret_84	0
1929-1965_ørret_26	0
1929-1965_ørret_85	0
1929-1965_ørret_93	0
1929-1965_ørret_35	0
1929-1965_ørret_56	0
1929-1965_ørret_1	0
1970-2015_ørret_156	0
1970-2015_ørret_180	0
1970-2015_ørret_218	0
1970-2015_ørret_125	0
1970-2015_ørret_111	0
1970-2015_ørret_115	0
1970-2015_ørret_294	0
1970-2015_ørret_21	0
1970-2015_ørret_129	0
1970-2015_ørret_120	0
1970-2015_ørret_275	0
