lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
bit	NN	1929	1929-1965	1929-1965_bit_370		De eller de andre, som snakker aeren av henne, det bitterste annet om saken enn hva I sådan har fått laget til» sa Salve bistert og foraktelig. Han hadde en trang til å forsvare Elisabeth ennu for de andre, skjønt han dessverre alt hadde felt henne i sitt hjerte og følte seg syk, nesten svimlende innvendig. «Jeg har tilfeldigvis en kunnskap om hvordan det henger sammen,» løy han, idet han koldt og skarpt så henne inn i ansiktet, «og,» her fløy han opp og slo voldsomt i bordet «jeg spiser ikke en bit ien slik klaffertunges hus! forstår De, madam!» med et: «Vaer så god å gjøre	50:53	0:579	13727	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_301		Men jeg ønsket meg likevel ut på landet, for der å forsøke å virkeliggjøre noen av de tanker og ideer som for lenge siden hadde invadert, hjemsøkt min sjel: drømmen om å leve og virke i pakt med naturen, foredle jorden og arbeide i frisk luft hele året. Betingelsene for å leve dette liv ligger godt til rette for meg her i California, men ikke på denne farmen. Når jeg attpåtil bor i hus med et rovdyr som glupskt og hensynsløst fortaerer mine livskrefter, bit for bit, er det ikke rart at jeg kommer til kort.	457:460	0:510	13737	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_306		Løsningene blir valgt etter en bit for bit diskusjon ut fra hva som fortoner seg billigst på kort sikt. Dette gjelder f.eks. landbruksareal, som blir betraktet som et reelt alternativ så lenge det vil koste mer å bygge på uproduktive arealer.	31:34	0:242	13746	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_38		Dem venlig tillate at oldemor flyttet ur på landet til Ågot — eller at Ågot flyttet bit in, ganske	84:87	0:98	13733	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_363		For filer som lagres i 24 bit RGB, bør alle justeringer av farge(tone) og kontrast alltid utføres i skanningen, eller før RAW-filen konverteres til TIFF. Det optimale er å beholde alle filer i RGB. Kapasitet og lagringsplass gjør imidlertid at enkelte institusjoner velger å digitalisere/konvertere svart-hvittmateriale til gråskala.	26:29	0:333	13741	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_79		Noen var kommet bit ned like efter nyttår 1937; en del var gått om natten over Pyreneerne ned til Figueras efter at franske-grensen var sperret; en hadde vaert ombord på «Ciudad de Barcelona», da den blev torpedert pa forsommeren utenkor spanskekysten, underveis fra Marseille.	16:19	0:276	13739	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_47		En kunne ikke lenger bygge ut en bit her og der etter som grunneierne trengte penger og ville selge noen tomter. Grunneierne kunne til tider vaere noe überegnelige.	33:36	0:163	13742	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_153		Lite dei håar og haattar, med alt sitt Braak og sitt Rop. Dei er nokre Faamings Fjottar: dei karm ikkje halde ihop!» Ku-Lokk. Aa Kyri mi vene, aa Kyri mi! Her sviv me no glade i Sumars Tid; i Fjelle finn me dei finaste Stråa; i Dalen strøymer den stride Aa. Og Vinden stryker so ljuv og linn som signande Sus fraa den klaare Tind Aa Kyri mi gode, aa Kyri mi! Her skal du vel trivast i grøne Lid; her sildrar Kjelda med Surl og Skval, og Grase er mjukt og Skuggen sval. Ja Nordanaas-Lidi, der er det godt; der gjaeter Huldri kvar einaste Nott. Aa Kyri mi snilde, aa Kyri mi, aa hav det no godt denne vesle Rid! Eg Ormen skal jaga som bit din Legg, og Flugu og My og stingande Klegg. Og Dagen skal gaa som den lette Vals; og vil du kvile, eg klåar din Hals. So lyder dei etter ditt Klokkespel, nåar heim me stundar ved Solegladsbil; daa kjem du so god med ditt fulle Jur og slikkar ditt Salt framved Kjøken-Mur. So vert du mjølka og gjeng i Kve og jortar og drøymer og søv i Fred. Aa Kyri mi vene, aa Kyri mi! Drøym godt um meg og den grøne Lid! Der sullar me saele den Sumar lang; til Hausten skal me paa Heimevang.	632:635	0:1112	13730	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_318		Imidlertid forhastet vi oss ikke, men satte oss til å spise igjen, da det efter Ivers mening var uvisst når vi senere kunde få leilighet til å ta oss en bit mat. Jeg har også senere ofte sett gamle reinjegere gjøre det samme. Straks de på lengere hold har opdaget rein, er det første de gjør å ta til nisteskreppen og få sig mat. Men min egen erfaring har derimot laert mig at man alltid gjør rettest i straks å gå på, dels fordi der kan komme folk gående og skremme eller «vinde» dyrene, dels fordi andre jegere kan vaere i farvannet, dels fordi dyrene kanskje nettop kan stå på et guns* tig lende når man opdager dem, men ved å gå snart kommer over på ugunstig terreng. Ligger dyrene, kan man like så godt eller helst holde måltid så naer dem som mulig enn langt fra dem. Men Harald rettet sig efter Iver, og jeg som den yngste måtte naturligvis rette mig efter Harald. Vi fortsatte altså vel til mote vårt måltid, tendte så snaddene våre og lunket så av sted i nordøstlig retning for å komme under vinden. Midt gjen&lt;= nem dalen rinner en temmelig stor bekk.	153:156	0:1060	13743	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_131		Det eldste bergverk av betydning i Nord-Norge er vistnoll bitens Kobberverk i Kåfjord ved bunnen av Altafjorden.	58:64	0:112	13738	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_362		En god regel er å unngå farge-, tone- og kontrastjustering på alle masterfiler, med mindre de er lagret i 48 bit (RGB).	109:112	0:119	13740	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_208		Uveiret ryker dem rakt imot. Driver av fyksne synker de i, kjaemper sig fri, sliter sig frem over avblåst ur, stanser et tak mot en is-svulls mur. Traerne pisker som kov forbi, skriker i nod, biter som orm.	190:195	0:204	13725	real_norwegian_semantic_change	no	andrey
bit	NN	1929	1929-1965	1929-1965_bit_334		Den som kjem fyrst til mylla, faer fyrst mala. I myrkna er alle kattar grå. 38 89 Det legst alltid visa til for den som kveda vil. 90 91 Mannen visste ikkje at kjerringa var galen fyrr ho song når ho åt. 92 Han svelt ikkje som tjukt bit.	232:235	0:236	13731	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_365		Skanning/ avfotografering direkte i gråskala anbefales kun for institusjoner som har en god kvalitetssikring av sin produksjon. Justeringer på filer lagret i 8 eller 16 bit vil medføre tap av viktig eksponeringsinformasjon. 21 Veiledningens forslag til en minimumsstandard er: 24 bit RGB for farge, 16 bit for gråskala (for mer info se 3.6. Anbefalte Standarder).	169:172	0:363	13735	real_norwegian_semantic_change	no	andrey
bit	NN	1970	1970-2015	1970-2015_bit_41		I Sør-Trøndelag har de derfor hatt det som kan kalles en sekvensiell omorganisering av tjenestene. Omorganiseringen har skjedd stykkvis eller bit for bit over tid.	142:145	0:163	13736	real_norwegian_semantic_change	no	andrey
