identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_bølge_536	1970-2015_bølge_149	HelleBol	2		bølge
1929-1965_bølge_31	1970-2015_bølge_486	HelleBol	2		bølge
1929-1965_bølge_116	1929-1965_bølge_203	HelleBol	4		bølge
1929-1965_bølge_116	1970-2015_bølge_239	HelleBol	2		bølge
1929-1965_bølge_11	1970-2015_bølge_239	HelleBol	2		bølge
1970-2015_bølge_239	1970-2015_bølge_319	HelleBol	4		bølge
1970-2015_bølge_239	1970-2015_bølge_303	HelleBol	4		bølge
1929-1965_bølge_11	1970-2015_bølge_133	HelleBol	2		bølge
1929-1965_bølge_431	1970-2015_bølge_239	HelleBol	4		bølge
1929-1965_bølge_11	1970-2015_bølge_771	HelleBol	2		bølge
1929-1965_bølge_431	1970-2015_bølge_308	HelleBol	2		bølge
1929-1965_bølge_431	1970-2015_bølge_590	HelleBol	2		bølge
1929-1965_bølge_31	1970-2015_bølge_239	HelleBol	4		bølge
1929-1965_bølge_431	1929-1965_bølge_678	HelleBol	4		bølge
1929-1965_bølge_229	1970-2015_bølge_486	HelleBol	2		bølge
1929-1965_bølge_116	1929-1965_bølge_431	HelleBol	2		bølge
1970-2015_bølge_133	1970-2015_bølge_239	HelleBol	4		bølge
1929-1965_bølge_203	1929-1965_bølge_431	HelleBol	2		bølge
1970-2015_bølge_303	1970-2015_bølge_486	HelleBol	2		bølge
1929-1965_bølge_626	1970-2015_bølge_486	HelleBol	2		bølge
1970-2015_bølge_149	1970-2015_bølge_486	HelleBol	4		bølge
1929-1965_bølge_11	1970-2015_bølge_703	HelleBol	2		bølge
1970-2015_bølge_319	1970-2015_bølge_514	HelleBol	2		bølge
1970-2015_bølge_486	1970-2015_bølge_703	HelleBol	2		bølge
1970-2015_bølge_149	1970-2015_bølge_319	HelleBol	2		bølge
1929-1965_bølge_203	1970-2015_bølge_319	HelleBol	2		bølge
1970-2015_bølge_303	1970-2015_bølge_319	HelleBol	4		bølge
1929-1965_bølge_140	1970-2015_bølge_319	HelleBol	4		bølge
1929-1965_bølge_11	1970-2015_bølge_486	HelleBol	2		bølge
1929-1965_bølge_116	1929-1965_bølge_140	HelleBol	2		bølge
1970-2015_bølge_514	1970-2015_bølge_771	HelleBol	4		bølge
1970-2015_bølge_149	1970-2015_bølge_239	HelleBol	2		bølge
1929-1965_bølge_536	1929-1965_bølge_625	HelleBol	0		bølge
1929-1965_bølge_431	1929-1965_bølge_625	HelleBol	0		bølge
1929-1965_bølge_625	1970-2015_bølge_703	HelleBol	0		bølge
1929-1965_bølge_31	1929-1965_bølge_625	HelleBol	0		bølge
1929-1965_bølge_31	1970-2015_bølge_771	HelleBol	2		bølge
1929-1965_bølge_203	1929-1965_bølge_31	HelleBol	2		bølge
1929-1965_bølge_625	1970-2015_bølge_308	HelleBol	0		bølge
1929-1965_bølge_203	1929-1965_bølge_536	HelleBol	2		bølge
