lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
bølge	NN	1970	1970-2015	1970-2015_bølge_303		Dette gjelder bunnen og de fysiske kreftene med strøm og bølger som hele tiden påvirker bunnen, samt plante- og dyrelivet som lever på og i bunnen.	57:63	0:147	13824	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_31		De hadde tatt plass på vindsiden, og av og til drev en lett regn fra kammen av en bølge som knustes mot dambåtsiden, hen på dem. «Skulle vi ikke prøve a komme inn i røkelugaren?» mente Cecilie; hun syntes den andre satt vel tynnkledd. «Å nei, her er så friskt her ute!» Cecilie la en del av sitt sjal over henne: «Har De langt igjen a reise?»	82:87	0:342	13828	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_116		Men den vilde bli lenger og på grunn av de vanskeligere stigninger kostbarere både med hensyn til bygging og drift —og stridens bølger gikk høit — .	128:134	0:148	13820	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_149		En elektromagnetisk bølge er videre karakterisert ved at det foregår en utsendelse av energi fra en kilde, og at energien generelt ikke vender tilbake til kilden: det «utstråles» energi.	20:25	0:186	13829	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_140		Nn 0F tvve ar B»tts lian ut pa Bin lsrBte Btore reiBe: Farvel, farvel! nu svinner bort mitt land bak bølgens blå! Det bryter hvitt, det kuler sort, snart faller natten på! Med kurs langs solens aftenvei er alle seil blitt satt.	101:108	0:227	13817	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_771		Problemet var nå at det kunne bli fare for forkiling ved avfyring av våpnene, dersom ikke hvert skudd var plassert helt nøyaktig og på rett linje, så arbeidet tok lang tid. Synet av sporlyskuler som strømmet opp fra luftvernet på basen, virket avskrekkende på den nye bølgen av tyske fly som ankom.	268:274	0:298	13831	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_625		«Jeg har gått iet syn* dens hus og født barna til en dranker, men det skal vaere sagt nå for Gud og menigheta, at ikke har jeg undfanget non av dom i syndig kjødslystl O herre Jesus, er det rum i himlen for mig?» Og i samme øieblikk bølget sangen om henne: «Ja, der er rum, ja, der er rum, rum hos Guds engle i himlens land! Ja, der er rum, ja, der er rum, rum hos de frelste på Jordans strandi» Og konen la sig ned og gråt takk* og gledes* tårer.	232:238	0:446	13830	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_203		Jeg synes det må vaere umulig for noen mann og kvinne som baerer norsk navn og taler norsk sprog å verge sig mot en bølge av takknemlighet fordi det en gang skikket sig så i historien at mennesker fantes i dette landet som med like stor inderlighet som klokskap bygget var nasjonale frihet op på menneskeverdets og borgerrettens grunn. Jeg synes tiden selv med all sin tyngsel må gi oss evne til å tenke over hvad den tradisjon betyr som har skapt det nye Norge. Og i samme grad vi forstår hvad vi uten vår fortjeneste har fått både som menneske og borger i våre fedres land, synes jeg vår vilje til å gi denne forståelsen følger også ut over festdagen må vokse sig sterkere.	114:119	0:673	13832	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_626		Han hadde vakre, brune øine og brunt tykt hår som lå i myke bølger om en høi, klar panne. At han alltid så sint ut, liksom med sammenbitte tenner bestandig, syntes hun nu bare var morsomt, og hun lo av det og spurte om han visste at han så ut som han tygget gråsten. Da lo han og sa, at han syntes studentene fikk gråstein å tygge på hver dag. Og hans drøm var å bli dikter, og hans bøker skulde ikke bli fulle av løgn som de andres.	60:66	0:433	13815	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_514		Her etterfulgte de nyinnflyttede gjerne den forrige bølge av immigranter, som ofte tilhørte en helt annen rase, men som nå var såpass etablert i byen at de var i stand til å flytte til et noe bedre boligområde.	52:57	0:210	13834	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_133		Derpå går det videre slag i slag på denne måte. Den ene hendelse fletter sig inn i den annen, den ene fornaermelse avføder den annen, og bølgen reiser sig høiere og høiere for hver gang den bryter; det er som så man en mektig hand ut fra himmelrummet piske menneskene mot en uavvendelig avgjørelse, som er altfor stor og altfor meget mot deres egen vilje til at den kan ha bare med dem å gjøre. Det må vaere større ting det her dreier sig om! Men sagamannen sier ikke stort om det, han bare lystrer vinket og griper hver gang ned i bunken av hendelser efter de rette trekk. Gunnar og Njål kjemper begge imot, hver på sin vis, den ene med sin manndom, den annen med sin visdom; men intet kan stanse skjebnens løp, den bruker til slutt både mannevidd og åndskraft, både helter og illgjerningsmenn, både lavt og høit til å fullføre sitt verk: å bringe en tid i graven og føde en ny.	136:142	0:877	13816	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_431		Og uten grenser er det, sjelens riker sig vider ut i evighet og lys, der solen blodrød med et vellystgys, en gylden boble lik, av bølgen stiger. April i Vestre Aker In memoriam: Henrik Wergeland	130:136	0:194	13821	real_norwegian_semantic_change	no	andrey
bølge	NN	1929	1929-1965	1929-1965_bølge_11		Høhø, Wibom husket ham, Satan partere ham, en godslig brumbasse nådde det vaert. Skybanken hadde skygget for solen. Et kjølig vindkast rusket hardt i granholtet og jog ilende bølger opp igjennom rugåkeren.	174:180	0:204	13818	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_319		Den raske økningen i bølgehøyde tyder på at et område med høye bølger har flyttet seg med omtrent samme farten som området med sterk vind i forbindelse med det polare lavtrykket.»	63:69	0:179	13814	real_norwegian_semantic_change	no	andrey
bølge	NN	1970	1970-2015	1970-2015_bølge_486		Grunnen til at disse materialer er interessante er at en ultrasonisk bølge som forplanter seg i et slikt materiale vil kunne ha sterk vekselvirkning med de elektroner som beveger seg i samme retning.	69:74	0:199	13826	real_norwegian_semantic_change	no	andrey
