identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_data_236	1970-2015_data_16627	HelleBol	4		data
1929-1965_data_234	1970-2015_data_3083	HelleBol	4		data
1929-1965_data_235	1970-2015_data_4853	HelleBol	4		data
1929-1965_data_235	1970-2015_data_15113	HelleBol	4		data
1929-1965_data_144	1970-2015_data_4853	HelleBol	4		data
1970-2015_data_16627	1970-2015_data_876	HelleBol	4		data
1929-1965_data_234	1970-2015_data_25972	HelleBol	4		data
1929-1965_data_81	1970-2015_data_3083	HelleBol	4		data
1929-1965_data_234	1929-1965_data_255	HelleBol	4		data
1929-1965_data_96	1970-2015_data_11676	HelleBol	4		data
1929-1965_data_256	1970-2015_data_3083	HelleBol	4		data
1929-1965_data_144	1929-1965_data_256	HelleBol	4		data
1929-1965_data_96	1970-2015_data_15113	HelleBol	4		data
1929-1965_data_144	1929-1965_data_81	HelleBol	4		data
1929-1965_data_96	1970-2015_data_876	HelleBol	4		data
1929-1965_data_236	1970-2015_data_5705	HelleBol	4		data
1970-2015_data_4853	1970-2015_data_5705	HelleBol	4		data
1929-1965_data_144	1970-2015_data_15113	HelleBol	4		data
1970-2015_data_3083	1970-2015_data_5705	HelleBol	4		data
1970-2015_data_1865	1970-2015_data_5705	HelleBol	4		data
1929-1965_data_227	1929-1965_data_255	HelleBol	4		data
1929-1965_data_227	1929-1965_data_88	HelleBol	4		data
1929-1965_data_144	1970-2015_data_11676	HelleBol	4		data
1929-1965_data_227	1970-2015_data_4853	HelleBol	4		data
1929-1965_data_227	1970-2015_data_16627	HelleBol	4		data
1929-1965_data_227	1970-2015_data_5705	HelleBol	4		data
1929-1965_data_227	1929-1965_data_96	HelleBol	4		data
1970-2015_data_15113	1970-2015_data_1865	HelleBol	4		data
1929-1965_data_96	1970-2015_data_4853	HelleBol	4		data
1970-2015_data_1253	1970-2015_data_3083	HelleBol	4		data
1929-1965_data_153	1970-2015_data_15113	HelleBol	4		data
1970-2015_data_1253	1970-2015_data_16627	HelleBol	4		data
1970-2015_data_15113	1970-2015_data_25522	HelleBol	4		data
1929-1965_data_88	1970-2015_data_16627	HelleBol	4		data
1970-2015_data_15113	1970-2015_data_4853	HelleBol	4		data
1970-2015_data_16627	1970-2015_data_5705	HelleBol	4		data
1929-1965_data_236	1970-2015_data_1253	HelleBol	4		data
1970-2015_data_1253	1970-2015_data_4853	HelleBol	4		data
1970-2015_data_25972	1970-2015_data_4853	HelleBol	4		data
1929-1965_data_256	1970-2015_data_4853	HelleBol	4		data
1929-1965_data_96	1970-2015_data_16627	HelleBol	4		data
1970-2015_data_25522	1970-2015_data_4853	HelleBol	4		data
1929-1965_data_235	1970-2015_data_1865	HelleBol	4		data
1970-2015_data_4853	1970-2015_data_876	HelleBol	4		data
1929-1965_data_227	1970-2015_data_25522	HelleBol	4		data
1970-2015_data_11676	1970-2015_data_15113	HelleBol	4		data
1929-1965_data_255	1970-2015_data_11676	HelleBol	4		data
1970-2015_data_11676	1970-2015_data_16627	HelleBol	4		data
1929-1965_data_144	1970-2015_data_16627	HelleBol	4		data
1929-1965_data_144	1929-1965_data_234	HelleBol	4		data
1929-1965_data_227	1970-2015_data_15113	HelleBol	4		data
1929-1965_data_144	1929-1965_data_153	HelleBol	4		data
1929-1965_data_234	1929-1965_data_256	HelleBol	4		data
1929-1965_data_234	1970-2015_data_25522	HelleBol	4		data
1929-1965_data_227	1929-1965_data_234	HelleBol	4		data
1929-1965_data_236	1929-1965_data_256	HelleBol	4		data
1929-1965_data_96	1970-2015_data_25522	HelleBol	4		data
1929-1965_data_153	1970-2015_data_3083	HelleBol	4		data
1929-1965_data_227	1970-2015_data_25972	HelleBol	4		data
1970-2015_data_1865	1970-2015_data_25522	HelleBol	4		data
1929-1965_data_255	1970-2015_data_16627	HelleBol	4		data
