identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_etterforskning_13	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1970-2015_etterforskning_202	HelleBol	4		etterforskning
1929-1965_etterforskning_52	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1929-1965_etterforskning_47	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1929-1965_etterforskning_62	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1970-2015_etterforskning_2135	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1970-2015_etterforskning_318	HelleBol	4		etterforskning
1929-1965_etterforskning_34	1929-1965_etterforskning_47	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1929-1965_etterforskning_52	HelleBol	4		etterforskning
1970-2015_etterforskning_193	1970-2015_etterforskning_318	HelleBol	4		etterforskning
1970-2015_etterforskning_1723	1970-2015_etterforskning_2135	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1929-1965_etterforskning_54	HelleBol	4		etterforskning
1929-1965_etterforskning_54	1929-1965_etterforskning_62	HelleBol	4		etterforskning
1929-1965_etterforskning_54	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_52	1929-1965_etterforskning_54	HelleBol	4		etterforskning
1929-1965_etterforskning_27	1929-1965_etterforskning_41	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1929-1965_etterforskning_62	HelleBol	4		etterforskning
1929-1965_etterforskning_54	1970-2015_etterforskning_998	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1970-2015_etterforskning_1824	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1929-1965_etterforskning_13	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1929-1965_etterforskning_52	HelleBol	4		etterforskning
1929-1965_etterforskning_34	1970-2015_etterforskning_2135	HelleBol	4		etterforskning
1929-1965_etterforskning_34	1970-2015_etterforskning_998	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1970-2015_etterforskning_77	HelleBol	4		etterforskning
1970-2015_etterforskning_1723	1970-2015_etterforskning_77	HelleBol	4		etterforskning
1929-1965_etterforskning_47	1970-2015_etterforskning_998	HelleBol	4		etterforskning
1929-1965_etterforskning_13	1970-2015_etterforskning_1723	HelleBol	4		etterforskning
1929-1965_etterforskning_9	1970-2015_etterforskning_1723	HelleBol	4		etterforskning
1970-2015_etterforskning_1723	1970-2015_etterforskning_328	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1970-2015_etterforskning_77	HelleBol	4		etterforskning
1929-1965_etterforskning_13	1970-2015_etterforskning_77	HelleBol	4		etterforskning
1929-1965_etterforskning_34	1970-2015_etterforskning_77	HelleBol	4		etterforskning
1929-1965_etterforskning_9	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1970-2015_etterforskning_193	HelleBol	4		etterforskning
1929-1965_etterforskning_11	1929-1965_etterforskning_54	HelleBol	4		etterforskning
1970-2015_etterforskning_1723	1970-2015_etterforskning_202	HelleBol	4		etterforskning
1929-1965_etterforskning_41	1970-2015_etterforskning_1723	HelleBol	4		etterforskning
1929-1965_etterforskning_34	1929-1965_etterforskning_41	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1970-2015_etterforskning_2135	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1929-1965_etterforskning_41	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1929-1965_etterforskning_9	HelleBol	4		etterforskning
1929-1965_etterforskning_31	1970-2015_etterforskning_1032	HelleBol	4		etterforskning
1929-1965_etterforskning_62	1970-2015_etterforskning_2135	HelleBol	4		etterforskning
1929-1965_etterforskning_52	1929-1965_etterforskning_9	HelleBol	4		etterforskning
