lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_41		Utkastet har heller ikke fulgt straffeprosesslovens ordning i § 89.2 og pålagt riksadvokaten å avgjore til* talen i bestemte forbrytelsessaker, men har i stedet valgt den ordning at riksadvokaten selv skal reise til* tale når påtalemyndigheten vil påstå hoyere straff enn frihetsstraff i 10 år. Regelmessig vil saken under etterforskningen vaere så vidt klarlagt at påtalemyn* digheten vil vaere på det rene med hvor stor straff det vil bli påstått, og er den i tvil, bor tiltalen for sikker* hets skyld bli utferdiget av riksadvokaten.	323:339	0:534	13982	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_52		Resultatet av drøftelsene på Stortinget i 1948 ble at man fant at myndighetenes vidtgående rett til å kreve opplysninger og foreta granskninger m. v. måtte beholdes, men det ble trukket et skille mellom kontroll og etterforskning.	215:229	0:230	13985	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_557		Alene den lange tid - 25 år - som har gått siden de straffbare handlinger skjedde, innebaerer at bevissituasjonen idag vil vaere vesentlig dårligere enn i 1969— 70. En supplerende etterforskning med tanke på en naermere avklaring av drapstidspunktet, vil ha små eller ingen forutsetninger for å lykkes.	178:192	0:299	13979	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_2135		Jeg fant denne beslutning merkelig, og ringte Statsadvokaten, som kort bekreftet sin beslutning om at kommisjonen ikke kunne få innsyn i politiets avhør så lenge etterforskningen pågikk.	162:178	0:186	13974	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_1824		Finner retten på noe tidspunkt at etterforskningen ikke fremmes med tilstrekkelig hurtighet og at fortsatt varetektsfengsling ikke er rimelig, skal den løslate siktede. Forslaget er basert på følgende hensyn:	34:50	0:208	13975	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_31		"Til det kommer det veldige antall saker som vil fore med seg at behandlingen delvis vil kunne bli forholdsvis summarisk. Under disse forhold vil det vaere påkrevd at de overordnede myndigheter ikke bare gir generelle instrukser om etterforskning og saksbehandling, men også så langt råd er forer tilsyn med at instruksjonene blir fulgt og etterprover de avgjorelser som blir truffet."" I november 1944 er det blitt opplyst at Hjemme* fronten etter ny overveielse av saken har tatt tilbake forslaget om opprettelse av en saerskilt politi* og på* talemyndighet for landssvik."	230:244	0:570	13984	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_9		av forordningen, kan gi hjelp til at det blir innhentet forklaringer eller foretatt annen etterforskning som kan bli nødvendig for at en tiltalebeslutning kan utferdiges i kenhold til norsk lov som er anvendelig overfor flygevåpnene. 5. 8a otte	90:104	0:244	13988	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_998		Det følgende vil redegjøre for enkelte øvrige spe- kulasjoner knyttet til norsk medvirkning før, under og etter drapsaksjonen på Lillehammer i juli 1973. Påstander knyttet til Arbeiderpartiet og «den fjerde tjeneste», Trond Johansen som Mossad-agent med kodenavnet Oscar, samt tips og vitneobservasjoner som fremkom i forbindelse med etterforskningen i 1973 og 1996 blir behandlet. ne) GP, 1973, 2091/73, dok. VII/2. 11 7 ) GP, 1996, 2091/73, dok. VII, s. 7. Kapittel 6 Lillehammer-saken 6.6.1 Grupperinger innen Arbeiderpartiet og påstander om en «fjerde tjeneste» Lund-kommisjonen undersøkte på et mer generelt grunnlag problemstillinger knyttet til Arbeiderpartiet og den såkalte «fjerde tjeneste».	334:350	0:701	13968	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_318		Målet må vaere å øke ressursene ved å foreta en riktigere fordeling mellom ren etterforskning og kontorarbeid enn man har i dag. Det er verken nødvendig eller mulig å løse kapasitetsproblemet i etterforskningstj enesten ved å tilføre et større antall politifolk.	78:92	0:261	13973	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_13		Påtaleretten overfor andre enn militaerpersoner tilligger den militaere påtalemyndighets tjenestemenn ved den avdeling som har besatt vedkommende strekning eller som har personene i sitt følge eller sin bevoktning. 4. Befalingsmann som kommer til kunnskap om at en straffbar handling som hører under militaer BtrattomvndiZl?.ot, er forøvet av en person som står under hans befaling, skal uten opphold foreta eller beordre foretatt etterforskning i saken. Enhver befalingsmann som har påtalemyndighet, kan selv foreta eller beordre foretatt ransakning, beslag og pågripelse (arrestasjon).	428:442	0:584	13976	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_62		Anm.: 1 anledning spørsmålet om etterforskning i rusgiftsak uttalte Sosialdepartementet i skriv av 15. juni 1951 til politiet:	32:46	0:126	13969	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_328		Justisdepartementet har til en viss grad forsøkt å styre politiets etterforskning ved opprettelse av øremerkete stillinger på to områder: Narkotikakriminalitet og økonomisk kriminalitet.	67:81	0:186	13987	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1929	1929-1965	1929-1965_etterforskning_11		Bin stilling sitter inne med 1 og Boin er av betydning for saker etter denne forordning. Direktoratet kor arbeidsformidling og arbeidsløshetstrygd 2 kan til bruk for saker etter denne forordning kreve forklaringer opptatt ved utenrettslig eller rettslig etterforskning. 1 Se sportellov § 160. — 2 Se z 25. — ' Se strprl. kap. 21. § 44. 1 Premieuker som en trygdepliktig har opptjent sttsr lov av 24 juni 1938 om trygd mot arbeidsløshet, skal regnes som opptjente premieuker i forhold til denne forordning.	254:268	0:505	13981	real_norwegian_semantic_change	no	andrey
etterforskning	NN	1970	1970-2015	1970-2015_etterforskning_193		Etterforskning av sakene ville bli foretatt Thorgeir Thorgeirson var en islandsk forfatter bosatt i Reykjavik. lårene 1979-1983 hadde det fremkommet en del anklager om politivold mot politiet i Reykjavik. Dette hadde resultert i ti anmeldelser.	21:23	0:244	13972	real_norwegian_semantic_change	no	andrey
