lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
fag	NN	1970	1970-2015	1970-2015_fag_13012		Det sier seg seiv at en bør vaere meget forsiktig med å utarbeide spesielle tilbud som reduserer elevenes obligatoriske fag i de 24 uketimene.	119:122	0:141	13636	real_norwegian_semantic_change	no	andrey
fag	NN	1970	1970-2015	1970-2015_fag_10329		I 3. avdeling bør studentene spesialisere seg enten i fiskeribiologiske, fiskeriteknologiske eller fiskeriøkonomiske fag og arbeide med en hovedoppgave. Fig. 1, 2 og 3 illustrerer eksempler på strukturen av studiene slik som utvalget kan tenke seg oppbyggingen.	117:120	0:261	13628	real_norwegian_semantic_change	no	andrey
fag	NN	1970	1970-2015	1970-2015_fag_4887		Departementet har utarbeidet: utkast til nye laereplaner for alle fag i grunnskolen nye laereplaner for videregående opplaering ny forskrift for eksamen i fag-/svenneprøve, vurdering, dokumentasjon, klage over karakterer og prøvebedømmelse i videregående opplaering ny rammeplan for førskolelaererutdanning	65:68	0:301	13630	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_1031		En bør dessuten med fordel kunne redusere antallet av eksamener ved å holde felles eksamen for fag som er naer beslektet, f, eks. norsk og uten- landsk bibliografi og katalogisering og klassifikasjon.	95:98	0:199	13633	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_214		En bør i undervisningen holde fagets ymse deler sammen slik at elevene får et samlet og levende bilde av Jesus, hans liv og gjerning. 2. Laereren må vaere merksam på at de ulike heimer som elevene kommer fra, representerer forskjellig oppfatning i de spørsmål som blir behandlet i undervisningen i kristendomskunnskap.	71:74	0:316	13627	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_825		Ved siden av fransk er historie det fag som har interessert H. mest.	36:39	0:68	13619	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_1455		Om innholdet av de leste (klassiske) forfattere var det ikke tale; hele denne undervisning var formell og skulde tjene hovedfaget, teologien. Denne videnskap, den lutherske dogmatikken, blev innprentet gjennem den stadige kirkegang og—ved de større skoler — ved forelesninger av en høiere geistlig. Hvor det gaves undervisning i sådanne almendannende fag som historie og geografi, skjedde det efter en meget beskjeden målestokk og på latin.	124:127	0:440	13621	real_norwegian_semantic_change	no	andrey
fag	NN	1970	1970-2015	1970-2015_fag_12912		Voksne kan få vekslet arbeidserfaringer inn i formell kompetanse, ved å få godkjent og dokumentert realkompetansen i ett eller flere fag innenfor et utdanningsprogram.	133:136	0:167	13629	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_565		Heimstadlaeren som det sentrale fag gir stoff til samtale og skriftlig arbeid. Tegning, klipping og forming m. m. gir den nødvendige manuelle arbeidsøving.	31:34	0:154	13618	real_norwegian_semantic_change	no	andrey
fag	NN	1929	1929-1965	1929-1965_fag_938		Som nevnt ovenfor under kapitel 11, oppnevnte Kirke- og undervisningsdepartementet, som etter loven av 1907 førte tilsyn med disse skolene, den 2. juli 1914 en komité som fikk som oppgave å utrede spørsmålet om offentlig kontroll med undervisningen i de fag som loven av 1907 krevde opplaering i. Komitéens innstilling ble avgitt 20. september 1915.	254:257	0:348	13634	real_norwegian_semantic_change	no	andrey
