identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_fil_61	1929-1965_fil_71	HelleBol	0		fil
1929-1965_fil_39	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_240	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_171	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_214	HelleBol	0		fil
1970-2015_fil_165	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_63	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_31	1970-2015_fil_90	HelleBol	0		fil
1970-2015_fil_242	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_39	1970-2015_fil_262	HelleBol	0		fil
1929-1965_fil_17	1970-2015_fil_171	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_165	HelleBol	0		fil
1929-1965_fil_44	1929-1965_fil_71	HelleBol	0		fil
1929-1965_fil_28	1929-1965_fil_39	HelleBol	0		fil
1929-1965_fil_44	1970-2015_fil_262	HelleBol	0		fil
1970-2015_fil_240	1970-2015_fil_262	HelleBol	0		fil
1970-2015_fil_21	1970-2015_fil_214	HelleBol	4		fil
1970-2015_fil_171	1970-2015_fil_21	HelleBol	4		fil
1970-2015_fil_21	1970-2015_fil_262	HelleBol	0		fil
1929-1965_fil_63	1970-2015_fil_81	HelleBol	0		fil
1970-2015_fil_262	1970-2015_fil_90	HelleBol	0		fil
1970-2015_fil_240	1970-2015_fil_81	HelleBol	4		fil
1970-2015_fil_23	1970-2015_fil_81	HelleBol	0		fil
1929-1965_fil_17	1929-1965_fil_61	HelleBol	0		fil
1929-1965_fil_61	1970-2015_fil_23	HelleBol	0		fil
1970-2015_fil_171	1970-2015_fil_23	HelleBol	0		fil
1929-1965_fil_17	1929-1965_fil_63	HelleBol	0		fil
1929-1965_fil_28	1970-2015_fil_240	HelleBol	1		fil
1929-1965_fil_61	1970-2015_fil_214	HelleBol	0		fil
1970-2015_fil_240	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_32	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_47	1970-2015_fil_171	HelleBol	0		fil
1970-2015_fil_23	1970-2015_fil_90	HelleBol	0		fil
1970-2015_fil_272	1970-2015_fil_90	HelleBol	0		fil
1970-2015_fil_23	1970-2015_fil_240	HelleBol	0		fil
1929-1965_fil_44	1929-1965_fil_61	HelleBol	0		fil
1970-2015_fil_214	1970-2015_fil_242	HelleBol	1		fil
1929-1965_fil_39	1970-2015_fil_214	HelleBol	0		fil
1929-1965_fil_32	1970-2015_fil_81	HelleBol	1		fil
1929-1965_fil_32	1929-1965_fil_39	HelleBol	0		fil
1970-2015_fil_240	1970-2015_fil_242	HelleBol	1		fil
1929-1965_fil_44	1929-1965_fil_47	HelleBol	0		fil
1970-2015_fil_81	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_17	1929-1965_fil_44	HelleBol	0		fil
1929-1965_fil_17	1970-2015_fil_90	HelleBol	0		fil
1970-2015_fil_21	1970-2015_fil_90	HelleBol	0		fil
1929-1965_fil_31	1929-1965_fil_61	HelleBol	4		fil
1929-1965_fil_39	1970-2015_fil_240	HelleBol	0		fil
1929-1965_fil_53	1970-2015_fil_21	HelleBol	0		fil
1929-1965_fil_61	1970-2015_fil_21	HelleBol	0		fil
1929-1965_fil_71	1970-2015_fil_262	HelleBol	0		fil
1929-1965_fil_32	1929-1965_fil_63	HelleBol	0		fil
1970-2015_fil_262	1970-2015_fil_272	HelleBol	0		fil
1929-1965_fil_31	1970-2015_fil_262	HelleBol	0		fil
1929-1965_fil_28	1929-1965_fil_63	HelleBol	0		fil
1929-1965_fil_31	1929-1965_fil_63	HelleBol	0		fil
1970-2015_fil_23	1970-2015_fil_262	HelleBol	0		fil
1970-2015_fil_262	1970-2015_fil_81	HelleBol	0		fil
1929-1965_fil_61	1970-2015_fil_262	HelleBol	0		fil
1929-1965_fil_32	1929-1965_fil_44	HelleBol	0		fil
