lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
fil	NN	1970	1970-2015	1970-2015_fil_240		Hele settet skrives ut &gt;p Bare bibliotek a's beholdning skrives ut: &gt;p a Gitte referanser i settet kan skrives ut: &gt; p 1-10,15, 17-22 (Skriv bare tall, komma og bindestrek!) Normalt blir referansene skrevet ut på terminalen. Vha defin-kommandoen (se ?d) kan dette endres slik at referansene bare sendes til ei fil uten å skrives på terminalen. Slike 'print' filer som blir laget i løpet av en søking kan etterpå behandles videre (sendes til skriver, kopieres til brukerens egne filer) vha programmet (PE.U (dette er et sj ølforklarende program, og må kalles FØR @FIN !!!) MERK: ønskes utskrift fra et tidligere sett må dette gjøres til siste sett ved å skrive (f.eks.) &gt;$4 før bruk av p-kommandoen! Kommando TRACE TRACE-kommando (forkortet t) gir systematisk tracing, dvs all klassifikasjon og alle emneord tilknyttet alle eksemplarer av siste referanse skrevet ut vha bdata-kommandoen. Skriv -&gt;t etter bdata! Kommando NABO NABO-kommandoen (forkortet n) gir ei liste over 'nabo- termer' til et søkeord. &gt;n &lt;ord&gt; gir ei liste over 4 indeksord før og 15 indeksord etter &lt;ord&gt; i sortert rekkefølge.	319:322	0:1125	13995	real_norwegian_semantic_change	no	andrey
fil	NN	1970	1970-2015	1970-2015_fil_21		"1987. ] I.ICI. [Tilføy i listen over termer, under gruppen gjenstander leke [Tilføy under gruppen grafisk materiale:] kunstreproduks jon [""maskinlesbar datafil"" endres til:] maskinlesbar fil 1.1C2. [Første eksempel skal vaere:]"	156:159	0:226	14002	real_norwegian_semantic_change	no	andrey
fil	NN	1929	1929-1965	1929-1965_fil_71		Om H. H.s kongsgaarde. i Maal og Minne 1913 s. 66—72, jfr. ellers om HaraldskvaeSi samme forf. i Arkiv for nord. fil. XXXI 381—82 og S. Bugge i Hist. Tidsskr.	112:115	0:157	13990	real_norwegian_semantic_change	no	andrey
fil	NN	1970	1970-2015	1970-2015_fil_165		Filen med totalpopulasjonen er for stor til at det er praktisk mulig å bruke den direkte i mikrosimuleringsmodellen. Vi tar derfor et 4 prosent tilfeldig utvalg av totalpopulasjonen som er forhåndsstratifisert etter kjønn og ekteskapelig status.	31:34	0:245	13989	real_norwegian_semantic_change	no	andrey
fil	NN	1929	1929-1965	1929-1965_fil_17		e fjes, et fjesing|en (fisk) fjeske fallert; fallitt fallrep [reip] falsett, en feid (skinn-), en fele, fela fiksjon fikte, å famil|ie; -iaer fanatjiker, -isme fanden felg (hjul-), en felle, felte, felt felle (muse-) [a] felle (reise-) en felles |bo, -skap felling (sammen-) felt, et, -er feltjen; -skjaer feltspat|en felaeger fil [-a]; file, -te Filefjell filetjen filial, filigran Filip; filipens	324:327	0:395	14009	real_norwegian_semantic_change	no	andrey
fil	NN	1970	1970-2015	1970-2015_fil_272		Tanken er at man slår sammen samlinger på nasjo- B J 2 fil Uk nal nivå i en Europeana Local portal, som i seg seiv leverer resultatene videre til Europeanas fellesportal.	55:58	0:170	13996	real_norwegian_semantic_change	no	andrey
fil	NN	1929	1929-1965	1929-1965_fil_61		Riktig fil for for- skjellige arbeid.	7:10	0:37	14008	real_norwegian_semantic_change	no	andrey
fil	NN	1970	1970-2015	1970-2015_fil_90		Representantskapet i forretningsbanker og finansieringsforetak velger flertallet av styrets medlemmer, jf. fbl. § 9 og fil. § 3-9. Tilsvarende gjelder for forsikringsselskaper med mindre selskapet har faerre enn 50 ansatte, jf. forsvl. § 5-4. Etter fbl. § 1 1 siste ledd fastsetter representantskapet retningslinjer for bankens virksomhet i form av generelle instrukser for bankens styre og administrasjon.	119:122	0:405	13993	real_norwegian_semantic_change	no	andrey
fil	NN	1929	1929-1965	1929-1965_fil_32		Saerlig i disse rike smedfunn er det ikke sjelden 2 eller av og til også 3 redskaper, saerlig av hammerne, tengene eller filene. Mens det i de 27 funn, hvor hammer og tang forekommer sammen, bare er 2 ganger at det er 2 hammere i ett funn, er det i disse siste 10 funn med 5, 6 eller 7 redskaper, 5 ganger at det er 2 eller 3 hammere, likesom det i de samme funn forekommer 6 ganger at det e'r 2 tenger. Også i gruppen med 3 redskaper med kombinasjonen hammer, tang og fil er det i de 13 funn 4 ganger at det er 2 hammere.	119:122	0:520	13992	real_norwegian_semantic_change	no	andrey
fil	NN	1970	1970-2015	1970-2015_fil_262		Ja fil NeiH 2 Vet ikke D	3:6	0:24	13991	real_norwegian_semantic_change	no	andrey
