identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_formiddagen_25	1970-2015_formiddagen_39	HelleBol	4		formiddagen
1970-2015_formiddagen_45	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1929-1965_formiddagen_180	HelleBol	4		formiddagen
1970-2015_formiddagen_43	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1929-1965_formiddagen_176	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1929-1965_formiddagen_81	HelleBol	4		formiddagen
1970-2015_formiddagen_64	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_27	HelleBol	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1929-1965_formiddagen_191	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_39	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_16	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_31	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1929-1965_formiddagen_187	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_81	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_39	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_81	1970-2015_formiddagen_31	HelleBol	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_187	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1929-1965_formiddagen_71	HelleBol	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_39	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_71	HelleBol	4		formiddagen
1970-2015_formiddagen_45	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1970-2015_formiddagen_56	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_27	HelleBol	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_39	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_185	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_180	HelleBol	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1929-1965_formiddagen_71	HelleBol	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1929-1965_formiddagen_98	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_16	HelleBol	4		formiddagen
1970-2015_formiddagen_43	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_31	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1929-1965_formiddagen_185	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1929-1965_formiddagen_25	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1929-1965_formiddagen_25	HelleBol	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1929-1965_formiddagen_71	1929-1965_formiddagen_98	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_25	1929-1965_formiddagen_98	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1929-1965_formiddagen_98	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_31	HelleBol	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1970-2015_formiddagen_46	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_70	HelleBol	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_27	HelleBol	4		formiddagen
1970-2015_formiddagen_31	1970-2015_formiddagen_46	HelleBol	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_24	HelleBol	4		formiddagen
1929-1965_formiddagen_81	1929-1965_formiddagen_98	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1970-2015_formiddagen_46	1970-2015_formiddagen_64	HelleBol	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_45	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_43	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_16	HelleBol	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_16	HelleBol	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_56	HelleBol	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_27	HelleBol	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_27	HelleBol	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_31	HelleBol	4		formiddagen
1929-1965_formiddagen_0	1929-1965_formiddagen_176	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_39	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_187	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_180	alexandra_w	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1929-1965_formiddagen_187	1929-1965_formiddagen_71	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_46	alexandra_w	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_16	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_31	alexandra_w	4		formiddagen
1970-2015_formiddagen_31	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_43	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1929-1965_formiddagen_161	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1929-1965_formiddagen_180	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_16	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_43	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1929-1965_formiddagen_98	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1929-1965_formiddagen_81	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_46	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_25	alexandra_w	4		formiddagen
1929-1965_formiddagen_25	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_46	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_39	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1929-1965_formiddagen_98	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_24	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_31	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_45	alexandra_w	0		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1929-1965_formiddagen_187	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_45	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_46	alexandra_w	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_43	alexandra_w	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_39	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1929-1965_formiddagen_81	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1929-1965_formiddagen_191	alexandra_w	4		formiddagen
1929-1965_formiddagen_180	1970-2015_formiddagen_31	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1929-1965_formiddagen_71	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_45	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_39	alexandra_w	4		formiddagen
1929-1965_formiddagen_98	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_161	1970-2015_formiddagen_31	alexandra_w	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1970-2015_formiddagen_27	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1929-1965_formiddagen_185	1929-1965_formiddagen_71	alexandra_w	4		formiddagen
1929-1965_formiddagen_185	1929-1965_formiddagen_187	alexandra_w	4		formiddagen
1970-2015_formiddagen_46	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1970-2015_formiddagen_31	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1970-2015_formiddagen_39	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1929-1965_formiddagen_71	1970-2015_formiddagen_64	alexandra_w	4		formiddagen
1929-1965_formiddagen_0	1970-2015_formiddagen_16	alexandra_w	4		formiddagen
1970-2015_formiddagen_31	1970-2015_formiddagen_56	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_24	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_70	alexandra_w	4		formiddagen
1929-1965_formiddagen_185	1970-2015_formiddagen_31	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_27	alexandra_w	4		formiddagen
1970-2015_formiddagen_16	1970-2015_formiddagen_31	alexandra_w	4		formiddagen
1970-2015_formiddagen_24	1970-2015_formiddagen_39	alexandra_w	4		formiddagen
1929-1965_formiddagen_191	1970-2015_formiddagen_46	alexandra_w	4		formiddagen
1929-1965_formiddagen_176	1929-1965_formiddagen_71	alexandra_w	4		formiddagen
