lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_31		I mellomtiden fortsatte Fremad med artilleriavdelingen ombord til Trones og kom frem klokken 10.40 om formiddagen.	102:113	0:114	13954	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_71		Det var ved bordet om formiddagen hu hadde sett at det var noe omframt med 'n Konrad.	22:33	0:85	13962	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_70		Om formiddagen var det klart at forholdene var kritiske, og militaere mannskaper ble satt inn. Om kvelden gikk strømmen stri ved gården og gjennom gardstunet.	3:14	0:157	13947	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_98		Resten av formiddagen tilbringer de med å rote omkring i alle de søppelhauger som finnes; de gnager og slikker på alle de tomme blikkboksene som de har undersøkt hundre ganger før. Kommer så en ny en dansende ned på isen fra kokken, blir det straks slagsmål om eiendomsretten.	10:21	0:276	13953	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_81		Ut på formiddagen var det ikke mere fremkomst, og vi gjorde fast til en stor grunn-is. Dette koss var temmelig høyt, mer enn 20 fot, omtrent jevnhøyt med baugen på «Correct», og det hadde mest loddrette sider, så ved å legge en leider over fra bakken kunne vi krabbe like i land på kosset.	6:17	0:289	13966	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_46		Seiv om ingen store vedtak med vidtrekkende betydning ble fattet i denne perioden, hadde kommunestyret mange og lange møter som begynte kl. 9 på formiddagen.	145:156	0:157	13961	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_16		En av distributørene var frøken Pettersen, innehaveren av Volvat Delikatesse, Sørkedalsveien 5 som hver dag distribuerte 10 til 1 5 eksemplarer til sine kunder. Torlalf Gregersen beretter: «Opplaget var etter at avisen ble stensilert 1 .000 eksemplarer, men ble mot slutten av krigen begrenset til 700 for åfå avisen hurtigere ut om formiddagen.	333:344	0:345	13965	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_43		Han kom tilbake til Trondheim med en hestetransport til Leangen om formiddagen.	67:78	0:79	13949	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_185		Men over korset var skrevet: Jesus av Nasaret, j øde ne s konge. Klokken var da 9 om formiddagen. Jesus bad: Fader, forlat dem, for de vet ikke hvad de gjør.	85:96	0:157	13950	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_191		Og alt nu på formiddagen begynte naeringsvettet å røre seg. En påtrengende positiv- eller lirendreier ble kort og barskt avvist fra de bedre plasser	13:24	0:147	13964	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_24		Om morgenen den 17. februar hadde vinden løyet, og fiskerne bestemte seg for å gå ut på feltet og snu garnene, selv om vaermeldingen varslet nordlig full storm fra kvelden. «Utvik Senior» forlot Steinfjord på formiddagen.	208:219	0:220	13958	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_161		Hele formiddagen lå de der og stekte sig i den varme bløte sanden bare avbrudt av en dukkert av og til når det blev altfor varmt. «Ja nå er dere vel sultne tenker jeg,» sa fru Gram da det led mot middag. «Ja, det skal vaere sikkert, jeg kunde gjerne spise gråsten,» sa Vesla. «Å nå, du vil kanskje heller ha det enn biff da, for det har jeg med mig.» «Å Brita, du er en knupp, biff som er det beste vi vet,» kom det i kor. Brita smilte.	5:16	0:435	13952	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1970	1970-2015	1970-2015_formiddagen_64		På formiddagen vil det vaere behov for flere enn resten av døgnet. Grov norm: 10 pasienter pr. stilling Merknad: Gruppe 5 kjøper kjøkkentjenester fra sykehuset.	3:14	0:159	13945	real_norwegian_semantic_change	no	andrey
formiddagen	NN	1929	1929-1965	1929-1965_formiddagen_180		For tredje gang' den formiddagen rettet fru Kristoffersen på maleriet av sin salig av- døde mann, skibskaptein Halvor Kristoffersen, for å få det til å henge rett på veggen. For henne så det ut som om han slettes ikke likte sig der han hang, og vilde vise at han var enig med henne i at både hun og datteren var havnet på en gal kant av byen.	21:32	0:342	13948	real_norwegian_semantic_change	no	andrey
