identifier1	identifier2	annotator	judgment	comment	lemma
14061	14065	titare	4	comment	frakk
14061	14058	HelleBol	4	comment	frakk
14061	14059	alexandra_w	4	comment	frakk
14061	14075	titare	4	comment	frakk
14061	14067	titare	4	comment	frakk
14061	14073	titare	4	comment	frakk
14061	14071	HelleBol	4	comment	frakk
14061	14055	titare	4	comment	frakk
14061	14076	titare	4	comment	frakk
14061	14066	titare	4	comment	frakk
14061	14076	alexandra_w	4	comment	frakk
14061	14065	HelleBol	4	comment	frakk
14061	14056	titare	0	comment	frakk
14061	14062	titare	4	comment	frakk
14061	14074	HelleBol	4	comment	frakk
14061	14060	HelleBol	4	comment	frakk
14061	14072	titare	4	comment	frakk
14061	14057	alexandra_w	4	comment	frakk
14061	14064	titare	4	comment	frakk
14061	14069	alexandra_w	4	comment	frakk
14061	14058	titare	4	comment	frakk
14061	14063	HelleBol	4	comment	frakk
14061	14057	titare	4	comment	frakk
14061	14073	HelleBol	4	comment	frakk
14061	14071	alexandra_w	4	comment	frakk
14061	14057	HelleBol	4	comment	frakk
14061	14065	alexandra_w	4	comment	frakk
14062	14063	alexandra_w	4	comment	frakk
14062	14055	titare	0	comment	frakk
14062	14065	titare	4	comment	frakk
14062	14055	HelleBol	4	comment	frakk
14062	14059	alexandra_w	4	comment	frakk
14062	14066	HelleBol	4	comment	frakk
14062	14069	alexandra_w	4	comment	frakk
14062	14068	titare	4	comment	frakk
14062	14067	titare	4	comment	frakk
14062	14076	titare	4	comment	frakk
14062	14061	HelleBol	4	comment	frakk
14062	14070	titare	4	comment	frakk
14062	14066	alexandra_w	4	comment	frakk
14062	14057	HelleBol	4	comment	frakk
14062	14066	titare	4	comment	frakk
14062	14063	HelleBol	4	comment	frakk
14062	14074	titare	0	comment	frakk
14062	14069	titare	4	comment	frakk
14067	14056	alexandra_w	4	comment	frakk
14067	14066	titare	4	comment	frakk
14067	14070	titare	4	comment	frakk
14067	14068	titare	4	comment	frakk
14067	14066	alexandra_w	4	comment	frakk
14067	14066	HelleBol	4	comment	frakk
14067	14075	titare	0	comment	frakk
14067	14055	titare	4	comment	frakk
14067	14056	titare	4	comment	frakk
14067	14069	titare	4	comment	frakk
14067	14074	alexandra_w	4	comment	frakk
14067	14065	titare	4	comment	frakk
14067	14059	alexandra_w	4	comment	frakk
14067	14055	alexandra_w	4	comment	frakk
14067	14064	titare	0	comment	frakk
14060	14072	titare	4	comment	frakk
14060	14064	alexandra_w	4	comment	frakk
14060	14064	titare	4	comment	frakk
14060	14073	alexandra_w	4	comment	frakk
14060	14055	titare	4	comment	frakk
14060	14067	alexandra_w	4	comment	frakk
14060	14064	HelleBol	4	comment	frakk
14060	14062	titare	4	comment	frakk
14060	14061	titare	4	comment	frakk
14060	14062	HelleBol	4	comment	frakk
14060	14073	titare	4	comment	frakk
14060	14068	titare	4	comment	frakk
14060	14066	titare	4	comment	frakk
14060	14075	titare	0	comment	frakk
14060	14071	HelleBol	4	comment	frakk
14060	14071	titare	4	comment	frakk
14060	14055	HelleBol	4	comment	frakk
14060	14061	alexandra_w	4	comment	frakk
14060	14069	HelleBol	4	comment	frakk
14060	14069	titare	4	comment	frakk
14060	14065	alexandra_w	4	comment	frakk
14060	14067	titare	4	comment	frakk
14060	14057	titare	4	comment	frakk
14057	14072	titare	4	comment	frakk
14057	14056	alexandra_w	4	comment	frakk
14057	14073	alexandra_w	4	comment	frakk
14057	14056	HelleBol	4	comment	frakk
14057	14063	alexandra_w	4	comment	frakk
14057	14063	HelleBol	4	comment	frakk
14057	14071	alexandra_w	4	comment	frakk
14057	14062	titare	4	comment	frakk
14057	14068	HelleBol	4	comment	frakk
14057	14056	titare	4	comment	frakk
14057	14068	titare	4	comment	frakk
14057	14064	titare	0	comment	frakk
14057	14076	titare	4	comment	frakk
14057	14066	titare	4	comment	frakk
14057	14076	alexandra_w	4	comment	frakk
14057	14055	alexandra_w	4	comment	frakk
14057	14067	titare	4	comment	frakk
14057	14055	titare	0	comment	frakk
14057	14069	alexandra_w	4	comment	frakk
14057	14069	HelleBol	4	comment	frakk
14071	14059	alexandra_w	4	comment	frakk
14071	14057	titare	4	comment	frakk
14071	14063	titare	4	comment	frakk
14071	14075	titare	4	comment	frakk
14071	14066	alexandra_w	4	comment	frakk
14071	14072	titare	4	comment	frakk
14071	14065	titare	4	comment	frakk
14071	14074	HelleBol	4	comment	frakk
14071	14076	titare	4	comment	frakk
14071	14058	titare	4	comment	frakk
14071	14059	titare	4	comment	frakk
14071	14064	HelleBol	4	comment	frakk
14071	14075	alexandra_w	4	comment	frakk
14071	14062	titare	4	comment	frakk
14071	14061	titare	4	comment	frakk
14071	14067	titare	0	comment	frakk
14071	14055	HelleBol	4	comment	frakk
14071	14064	titare	4	comment	frakk
14071	14074	titare	4	comment	frakk
14064	14057	alexandra_w	4	comment	frakk
14064	14058	HelleBol	4	comment	frakk
14064	14061	HelleBol	4	comment	frakk
14064	14065	titare	0	comment	frakk
14064	14076	HelleBol	4	comment	frakk
14064	14075	titare	4	comment	frakk
14064	14075	alexandra_w	4	comment	frakk
14064	14067	HelleBol	4	comment	frakk
14064	14068	titare	4	comment	frakk
14064	14059	alexandra_w	4	comment	frakk
14064	14074	titare	4	comment	frakk
14064	14070	alexandra_w	4	comment	frakk
14064	14076	alexandra_w	4	comment	frakk
14064	14058	titare	0	comment	frakk
14064	14076	titare	4	comment	frakk
14064	14074	HelleBol	4	comment	frakk
14064	14056	alexandra_w	4	comment	frakk
14064	14062	titare	4	comment	frakk
14064	14073	titare	0	comment	frakk
14064	14057	HelleBol	4	comment	frakk
14064	14066	titare	0	comment	frakk
14064	14069	titare	4	comment	frakk
14064	14073	HelleBol	4	comment	frakk
14064	14069	alexandra_w	4	comment	frakk
14056	14065	HelleBol	4	comment	frakk
14056	14059	titare	4	comment	frakk
14056	14069	titare	4	comment	frakk
14056	14058	titare	0	comment	frakk
14056	14062	alexandra_w	4	comment	frakk
14056	14068	HelleBol	4	comment	frakk
14056	14061	HelleBol	4	comment	frakk
14056	14063	HelleBol	4	comment	frakk
14056	14063	titare	4	comment	frakk
14056	14074	titare	0	comment	frakk
14056	14069	alexandra_w	4	comment	frakk
14056	14073	alexandra_w	4	comment	frakk
14056	14064	titare	4	comment	frakk
14056	14055	titare	0	comment	frakk
14056	14060	titare	4	comment	frakk
14056	14062	HelleBol	4	comment	frakk
14056	14068	titare	4	comment	frakk
14056	14072	titare	4	comment	frakk
14056	14065	alexandra_w	4	comment	frakk
14056	14071	titare	4	comment	frakk
14056	14062	titare	4	comment	frakk
14056	14060	HelleBol	4	comment	frakk
14072	14055	titare	4	comment	frakk
14072	14071	HelleBol	4	comment	frakk
14072	14056	alexandra_w	4	comment	frakk
14072	14062	titare	4	comment	frakk
14072	14071	alexandra_w	4	comment	frakk
14072	14075	titare	4	comment	frakk
14072	14065	alexandra_w	4	comment	frakk
14072	14057	alexandra_w	4	comment	frakk
14072	14065	titare	4	comment	frakk
14072	14055	HelleBol	4	comment	frakk
14072	14060	HelleBol	4	comment	frakk
14072	14074	alexandra_w	4	comment	frakk
14072	14068	titare	4	comment	frakk
14072	14067	HelleBol	4	comment	frakk
14072	14074	HelleBol	4	comment	frakk
14072	14068	alexandra_w	0	comment	frakk
14072	14055	alexandra_w	4	comment	frakk
14072	14064	HelleBol	4	comment	frakk
14072	14066	titare	4	comment	frakk
14072	14076	titare	4	comment	frakk
14072	14056	HelleBol	4	comment	frakk
14072	14059	alexandra_w	4	comment	frakk
14072	14061	alexandra_w	4	comment	frakk
14072	14057	HelleBol	4	comment	frakk
14068	14071	HelleBol	4	comment	frakk
14068	14066	titare	4	comment	frakk
14068	14059	titare	4	comment	frakk
14068	14055	alexandra_w	4	comment	frakk
14068	14071	alexandra_w	4	comment	frakk
14068	14065	HelleBol	4	comment	frakk
14068	14070	alexandra_w	4	comment	frakk
14068	14055	titare	0	comment	frakk
14068	14061	titare	0	comment	frakk
14068	14061	alexandra_w	4	comment	frakk
14068	14076	titare	4	comment	frakk
14068	14063	titare	4	comment	frakk
14068	14063	alexandra_w	4	comment	frakk
14068	14071	titare	4	comment	frakk
14068	14070	titare	4	comment	frakk
14059	14072	titare	4	comment	frakk
14059	14061	titare	4	comment	frakk
14059	14055	titare	0	comment	frakk
14059	14064	titare	4	comment	frakk
14059	14073	HelleBol	4	comment	frakk
14059	14063	alexandra_w	4	comment	frakk
14059	14065	HelleBol	4	comment	frakk
14059	14068	HelleBol	4	comment	frakk
14059	14071	HelleBol	4	comment	frakk
14059	14068	alexandra_w	4	comment	frakk
14059	14069	alexandra_w	4	comment	frakk
14059	14076	alexandra_w	4	comment	frakk
14059	14067	titare	4	comment	frakk
14059	14070	titare	4	comment	frakk
14059	14062	titare	4	comment	frakk
14059	14072	HelleBol	4	comment	frakk
14059	14060	titare	4	comment	frakk
14059	14058	titare	4	comment	frakk
14059	14074	alexandra_w	4	comment	frakk
14059	14065	titare	4	comment	frakk
14059	14057	titare	4	comment	frakk
14063	14064	HelleBol	4	comment	frakk
14063	14061	alexandra_w	0	comment	frakk
14063	14058	alexandra_w	4	comment	frakk
14063	14070	titare	4	comment	frakk
14063	14075	alexandra_w	4	comment	frakk
14063	14064	titare	4	comment	frakk
14063	14075	HelleBol	4	comment	frakk
14063	14059	titare	4	comment	frakk
14063	14061	titare	4	comment	frakk
14063	14076	HelleBol	4	comment	frakk
14063	14060	titare	4	comment	frakk
14063	14065	titare	4	comment	frakk
14063	14076	alexandra_w	4	comment	frakk
14063	14066	alexandra_w	4	comment	frakk
14063	14060	alexandra_w	4	comment	frakk
14063	14070	HelleBol	4	comment	frakk
14063	14058	HelleBol	4	comment	frakk
14063	14062	titare	4	comment	frakk
14063	14072	titare	4	comment	frakk
14063	14071	HelleBol	4	comment	frakk
14063	14057	titare	4	comment	frakk
14065	14059	alexandra_w	4	comment	frakk
14065	14056	titare	0	comment	frakk
14065	14068	titare	4	comment	frakk
14065	14076	titare	4	comment	frakk
14065	14058	titare	4	comment	frakk
14065	14062	HelleBol	4	comment	frakk
14065	14057	HelleBol	4	comment	frakk
14065	14071	HelleBol	4	comment	frakk
14065	14067	HelleBol	4	comment	frakk
14065	14055	alexandra_w	4	comment	frakk
14065	14062	alexandra_w	4	comment	frakk
14065	14075	HelleBol	4	comment	frakk
14065	14068	alexandra_w	4	comment	frakk
14065	14075	alexandra_w	4	comment	frakk
14065	14055	titare	4	comment	frakk
14065	14069	alexandra_w	4	comment	frakk
14065	14055	HelleBol	4	comment	frakk
14065	14064	alexandra_w	4	comment	frakk
14065	14071	alexandra_w	4	comment	frakk
14065	14057	titare	4	comment	frakk
14074	14059	titare	0	comment	frakk
14074	14073	titare	0	comment	frakk
14074	14060	titare	4	comment	frakk
14074	14061	titare	0	comment	frakk
14074	14062	alexandra_w	4	comment	frakk
14074	14076	alexandra_w	4	comment	frakk
14074	14072	titare	4	comment	frakk
14074	14069	alexandra_w	4	comment	frakk
14074	14061	alexandra_w	4	comment	frakk
14074	14057	alexandra_w	4	comment	frakk
14074	14067	HelleBol	4	comment	frakk
14074	14071	alexandra_w	4	comment	frakk
14074	14067	titare	4	comment	frakk
14074	14068	titare	4	comment	frakk
14074	14057	titare	4	comment	frakk
14074	14063	alexandra_w	4	comment	frakk
14074	14063	titare	4	comment	frakk
14074	14070	alexandra_w	4	comment	frakk
14074	14068	HelleBol	4	comment	frakk
14074	14073	alexandra_w	4	comment	frakk
14074	14065	titare	4	comment	frakk
14075	14055	titare	0	comment	frakk
14075	14066	HelleBol	4	comment	frakk
14075	14074	HelleBol	4	comment	frakk
14075	14065	titare	4	comment	frakk
14075	14067	alexandra_w	4	comment	frakk
14075	14074	alexandra_w	4	comment	frakk
14075	14074	titare	4	comment	frakk
14075	14062	titare	4	comment	frakk
14075	14076	titare	4	comment	frakk
14075	14056	titare	0	comment	frakk
14075	14057	titare	4	comment	frakk
14075	14057	alexandra_w	4	comment	frakk
14075	14076	HelleBol	4	comment	frakk
14075	14073	titare	0	comment	frakk
14075	14060	HelleBol	4	comment	frakk
14075	14070	HelleBol	4	comment	frakk
14075	14059	titare	4	comment	frakk
14075	14070	alexandra_w	4	comment	frakk
14075	14056	alexandra_w	4	comment	frakk
14075	14067	HelleBol	4	comment	frakk
14075	14063	titare	4	comment	frakk
14075	14068	titare	4	comment	frakk
14075	14056	HelleBol	4	comment	frakk
14076	14060	HelleBol	4	comment	frakk
14076	14056	alexandra_w	4	comment	frakk
14076	14069	HelleBol	4	comment	frakk
14076	14060	alexandra_w	4	comment	frakk
14076	14074	HelleBol	4	comment	frakk
14076	14055	alexandra_w	4	comment	frakk
14076	14060	titare	0	comment	frakk
14076	14066	HelleBol	4	comment	frakk
14076	14068	HelleBol	4	comment	frakk
14076	14067	titare	4	comment	frakk
14076	14057	HelleBol	4	comment	frakk
14076	14069	titare	0	comment	frakk
14076	14074	titare	4	comment	frakk
14076	14066	alexandra_w	4	comment	frakk
14076	14059	titare	4	comment	frakk
14076	14068	alexandra_w	4	comment	frakk
14076	14069	alexandra_w	4	comment	frakk
14076	14067	HelleBol	4	comment	frakk
14076	14065	HelleBol	4	comment	frakk
14076	14058	alexandra_w	4	comment	frakk
14076	14055	titare	4	comment	frakk
14058	14064	alexandra_w	4	comment	frakk
14058	14068	titare	4	comment	frakk
14058	14074	HelleBol	4	comment	frakk
14058	14071	HelleBol	4	comment	frakk
14058	14063	titare	4	comment	frakk
14058	14055	titare	0	comment	frakk
14058	14067	HelleBol	4	comment	frakk
14058	14073	titare	4	comment	frakk
14058	14065	alexandra_w	4	comment	frakk
14058	14067	titare	0	comment	frakk
14058	14069	titare	4	comment	frakk
14058	14062	titare	4	comment	frakk
14058	14074	titare	4	comment	frakk
14058	14060	titare	4	comment	frakk
14058	14076	titare	4	comment	frakk
14058	14057	titare	0	comment	frakk
14058	14059	alexandra_w	4	comment	frakk
14058	14071	alexandra_w	4	comment	frakk
14058	14070	titare	4	comment	frakk
14058	14075	titare	4	comment	frakk
14058	14065	HelleBol	4	comment	frakk
14058	14074	alexandra_w	4	comment	frakk
14058	14072	HelleBol	4	comment	frakk
14058	14062	HelleBol	4	comment	frakk
14058	14059	HelleBol	4	comment	frakk
14058	14066	HelleBol	4	comment	frakk
14058	14070	HelleBol	4	comment	frakk
14058	14068	HelleBol	4	comment	frakk
14058	14075	alexandra_w	4	comment	frakk
14058	14072	titare	4	comment	frakk
14070	14064	HelleBol	4	comment	frakk
14070	14074	titare	4	comment	frakk
14070	14072	titare	4	comment	frakk
14070	14060	alexandra_w	4	comment	frakk
14070	14075	titare	4	comment	frakk
14070	14071	titare	4	comment	frakk
14070	14064	titare	0	comment	frakk
14070	14076	titare	4	comment	frakk
14070	14060	titare	4	comment	frakk
14070	14057	titare	4	comment	frakk
14070	14057	alexandra_w	4	comment	frakk
14070	14062	alexandra_w	4	comment	frakk
14070	14065	alexandra_w	4	comment	frakk
14070	14068	HelleBol	4	comment	frakk
14070	14069	alexandra_w	4	comment	frakk
14070	14066	titare	4	comment	frakk
