identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_gress_128	1929-1965_gress_378	HelleBol	4		gress
1970-2015_gress_171	1970-2015_gress_222	HelleBol	4		gress
1970-2015_gress_19	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_225	1970-2015_gress_172	HelleBol	4		gress
1929-1965_gress_378	1929-1965_gress_399	HelleBol	4		gress
1970-2015_gress_171	1970-2015_gress_182	HelleBol	4		gress
1929-1965_gress_225	1929-1965_gress_243	HelleBol	4		gress
1929-1965_gress_342	1929-1965_gress_399	HelleBol	4		gress
1929-1965_gress_225	1970-2015_gress_19	HelleBol	4		gress
1929-1965_gress_388	1970-2015_gress_164	HelleBol	4		gress
1970-2015_gress_164	1970-2015_gress_171	HelleBol	4		gress
1970-2015_gress_172	1970-2015_gress_182	HelleBol	4		gress
1970-2015_gress_164	1970-2015_gress_182	HelleBol	4		gress
1929-1965_gress_51	1970-2015_gress_182	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_342	HelleBol	4		gress
1929-1965_gress_438	1970-2015_gress_164	HelleBol	4		gress
1929-1965_gress_225	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_378	1970-2015_gress_172	HelleBol	4		gress
1929-1965_gress_415	1970-2015_gress_164	HelleBol	4		gress
1929-1965_gress_141	1970-2015_gress_182	HelleBol	4		gress
1929-1965_gress_378	1970-2015_gress_164	HelleBol	4		gress
1970-2015_gress_222	1970-2015_gress_8	HelleBol	4		gress
1970-2015_gress_20	1970-2015_gress_222	HelleBol	4		gress
1970-2015_gress_164	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_399	HelleBol	4		gress
1970-2015_gress_172	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_388	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_438	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_438	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_438	1970-2015_gress_172	HelleBol	4		gress
1929-1965_gress_128	1929-1965_gress_51	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_243	HelleBol	4		gress
1929-1965_gress_51	1970-2015_gress_8	HelleBol	4		gress
1929-1965_gress_342	1929-1965_gress_51	HelleBol	4		gress
1929-1965_gress_399	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_225	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_388	1929-1965_gress_51	HelleBol	4		gress
1929-1965_gress_399	1929-1965_gress_51	HelleBol	4		gress
1970-2015_gress_29	1970-2015_gress_8	HelleBol	4		gress
1970-2015_gress_222	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_378	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_128	1970-2015_gress_29	HelleBol	4		gress
1970-2015_gress_29	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_243	1970-2015_gress_98	HelleBol	4		gress
1929-1965_gress_399	1970-2015_gress_8	HelleBol	4		gress
1929-1965_gress_342	1970-2015_gress_8	HelleBol	4		gress
1929-1965_gress_399	1970-2015_gress_20	HelleBol	4		gress
1970-2015_gress_19	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_243	1970-2015_gress_8	HelleBol	4		gress
1929-1965_gress_243	1929-1965_gress_378	HelleBol	4		gress
1970-2015_gress_182	1970-2015_gress_222	HelleBol	4		gress
1929-1965_gress_438	1929-1965_gress_51	HelleBol	4		gress
1929-1965_gress_342	1929-1965_gress_438	HelleBol	4		gress
1929-1965_gress_438	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_342	1970-2015_gress_2	HelleBol	4		gress
1929-1965_gress_128	1929-1965_gress_342	HelleBol	4		gress
1929-1965_gress_243	1929-1965_gress_388	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_415	HelleBol	4		gress
1970-2015_gress_20	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_378	1929-1965_gress_438	HelleBol	4		gress
1970-2015_gress_164	1970-2015_gress_2	HelleBol	4		gress
1970-2015_gress_2	1970-2015_gress_20	HelleBol	4		gress
1970-2015_gress_164	1970-2015_gress_19	HelleBol	4		gress
1929-1965_gress_342	1970-2015_gress_20	HelleBol	4		gress
1970-2015_gress_171	1970-2015_gress_29	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_438	HelleBol	4		gress
1929-1965_gress_128	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_141	1929-1965_gress_388	HelleBol	4		gress
1929-1965_gress_128	1970-2015_gress_182	HelleBol	4		gress
1929-1965_gress_342	1970-2015_gress_19	HelleBol	4		gress
1929-1965_gress_128	1970-2015_gress_171	HelleBol	4		gress
1929-1965_gress_128	1929-1965_gress_399	HelleBol	4		gress
1929-1965_gress_128	1929-1965_gress_415	HelleBol	4		gress
1929-1965_gress_128	1970-2015_gress_2	HelleBol	4		gress
1929-1965_gress_141	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_399	1970-2015_gress_19	HelleBol	4		gress
1970-2015_gress_172	1970-2015_gress_19	HelleBol	4		gress
1929-1965_gress_243	1929-1965_gress_415	HelleBol	4		gress
1970-2015_gress_2	1970-2015_gress_222	HelleBol	4		gress
1929-1965_gress_415	1970-2015_gress_2	HelleBol	4		gress
1929-1965_gress_399	1970-2015_gress_222	HelleBol	4		gress
1929-1965_gress_51	1970-2015_gress_20	HelleBol	4		gress
1929-1965_gress_243	1970-2015_gress_2	HelleBol	4		gress
