identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_horisont_32	1970-2015_horisont_74	HelleBol	0		horisont
1929-1965_horisont_137	1970-2015_horisont_120	HelleBol	2		horisont
1929-1965_horisont_215	1929-1965_horisont_299	HelleBol	4		horisont
1929-1965_horisont_199	1929-1965_horisont_88	HelleBol	4		horisont
1970-2015_horisont_168	1970-2015_horisont_44	HelleBol	3		horisont
1970-2015_horisont_14	1970-2015_horisont_44	HelleBol	3		horisont
1929-1965_horisont_177	1970-2015_horisont_44	HelleBol	3		horisont
1929-1965_horisont_9	1970-2015_horisont_44	HelleBol	4		horisont
1970-2015_horisont_210	1970-2015_horisont_44	HelleBol	4		horisont
1970-2015_horisont_205	1970-2015_horisont_44	HelleBol	3		horisont
1929-1965_horisont_137	1929-1965_horisont_9	HelleBol	2		horisont
1929-1965_horisont_231	1970-2015_horisont_205	HelleBol	4		horisont
1929-1965_horisont_231	1970-2015_horisont_44	HelleBol	3		horisont
1929-1965_horisont_231	1970-2015_horisont_74	HelleBol	3		horisont
1929-1965_horisont_215	1929-1965_horisont_231	HelleBol	4		horisont
1929-1965_horisont_137	1970-2015_horisont_210	HelleBol	2		horisont
1929-1965_horisont_299	1970-2015_horisont_120	HelleBol	3		horisont
1929-1965_horisont_137	1970-2015_horisont_14	HelleBol	2		horisont
1929-1965_horisont_215	1970-2015_horisont_120	HelleBol	3		horisont
1929-1965_horisont_215	1970-2015_horisont_205	HelleBol	4		horisont
1929-1965_horisont_177	1929-1965_horisont_32	HelleBol	0		horisont
1929-1965_horisont_215	1929-1965_horisont_32	HelleBol	0		horisont
1929-1965_horisont_32	1970-2015_horisont_44	HelleBol	0		horisont
1970-2015_horisont_168	1970-2015_horisont_74	HelleBol	3		horisont
1970-2015_horisont_28	1970-2015_horisont_74	HelleBol	4		horisont
1970-2015_horisont_210	1970-2015_horisont_3	HelleBol	3		horisont
1929-1965_horisont_32	1970-2015_horisont_210	HelleBol	3		horisont
1970-2015_horisont_14	1970-2015_horisont_210	HelleBol	3		horisont
1929-1965_horisont_88	1970-2015_horisont_210	HelleBol	3		horisont
1970-2015_horisont_210	1970-2015_horisont_28	HelleBol	4		horisont
1929-1965_horisont_199	1929-1965_horisont_215	HelleBol	4		horisont
1929-1965_horisont_215	1929-1965_horisont_88	HelleBol	4		horisont
