identifier1	identifier2	annotator	judgment	comment	lemma
1970-2015_husrom_262	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_258	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_22	HelleBol	4		husrom
1929-1965_husrom_53	1970-2015_husrom_129	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_53	HelleBol	4		husrom
1929-1965_husrom_53	1929-1965_husrom_83	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_35	1929-1965_husrom_80	HelleBol	4		husrom
1929-1965_husrom_80	1970-2015_husrom_361	HelleBol	4		husrom
1970-2015_husrom_381	1970-2015_husrom_67	HelleBol	4		husrom
1970-2015_husrom_361	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_80	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_23	1929-1965_husrom_80	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_90	HelleBol	4		husrom
1970-2015_husrom_129	1970-2015_husrom_258	HelleBol	4		husrom
1970-2015_husrom_258	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_258	HelleBol	4		husrom
1929-1965_husrom_82	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_18	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_22	1929-1965_husrom_35	HelleBol	4		husrom
1929-1965_husrom_82	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_90	HelleBol	4		husrom
1970-2015_husrom_505	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_129	HelleBol	4		husrom
1929-1965_husrom_39	1929-1965_husrom_53	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_29	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_82	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_22	1929-1965_husrom_82	HelleBol	4		husrom
1970-2015_husrom_361	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_53	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_262	HelleBol	4		husrom
1970-2015_husrom_262	1970-2015_husrom_381	HelleBol	4		husrom
1929-1965_husrom_80	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_80	1970-2015_husrom_262	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_258	HelleBol	4		husrom
1929-1965_husrom_53	1929-1965_husrom_82	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_262	HelleBol	4		husrom
1929-1965_husrom_53	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_35	1929-1965_husrom_82	HelleBol	4		husrom
1970-2015_husrom_258	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_39	1929-1965_husrom_80	HelleBol	4		husrom
1970-2015_husrom_262	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_35	HelleBol	4		husrom
1929-1965_husrom_23	1929-1965_husrom_39	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_39	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_83	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_258	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_387	HelleBol	4		husrom
1970-2015_husrom_409	1970-2015_husrom_67	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_505	HelleBol	4		husrom
1970-2015_husrom_361	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_82	1970-2015_husrom_258	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_129	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_381	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_381	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_22	HelleBol	4		husrom
1929-1965_husrom_22	1970-2015_husrom_258	HelleBol	4		husrom
1970-2015_husrom_361	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_381	HelleBol	4		husrom
1970-2015_husrom_387	1970-2015_husrom_90	HelleBol	4		husrom
1970-2015_husrom_129	1970-2015_husrom_381	HelleBol	4		husrom
1929-1965_husrom_29	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_381	HelleBol	4		husrom
1970-2015_husrom_409	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_23	1929-1965_husrom_35	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_35	HelleBol	4		husrom
1970-2015_husrom_611	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_53	1970-2015_husrom_611	HelleBol	4		husrom
1970-2015_husrom_387	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_121	1970-2015_husrom_129	HelleBol	4		husrom
1929-1965_husrom_29	1929-1965_husrom_35	HelleBol	4		husrom
1970-2015_husrom_129	1970-2015_husrom_361	HelleBol	4		husrom
1970-2015_husrom_129	1970-2015_husrom_409	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_129	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_23	1970-2015_husrom_129	HelleBol	4		husrom
1970-2015_husrom_381	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_22	1929-1965_husrom_83	HelleBol	4		husrom
1929-1965_husrom_82	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_18	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_18	1970-2015_husrom_262	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_82	HelleBol	4		husrom
1970-2015_husrom_505	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_53	HelleBol	4		husrom
1929-1965_husrom_18	1970-2015_husrom_381	HelleBol	4		husrom
1929-1965_husrom_39	1970-2015_husrom_387	HelleBol	4		husrom
1970-2015_husrom_361	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_83	1970-2015_husrom_387	HelleBol	4		husrom
1970-2015_husrom_381	1970-2015_husrom_387	HelleBol	4		husrom
1970-2015_husrom_262	1970-2015_husrom_361	HelleBol	4		husrom
1970-2015_husrom_258	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_23	HelleBol	4		husrom
1970-2015_husrom_387	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_23	1929-1965_husrom_53	HelleBol	4		husrom
1970-2015_husrom_409	1970-2015_husrom_505	HelleBol	4		husrom
1929-1965_husrom_18	1929-1965_husrom_80	HelleBol	4		husrom
1929-1965_husrom_22	1929-1965_husrom_23	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_387	HelleBol	4		husrom
1929-1965_husrom_35	1970-2015_husrom_361	HelleBol	4		husrom
1929-1965_husrom_18	1970-2015_husrom_611	HelleBol	4		husrom
1929-1965_husrom_23	1929-1965_husrom_29	HelleBol	4		husrom
1970-2015_husrom_262	1970-2015_husrom_90	HelleBol	4		husrom
1929-1965_husrom_121	1929-1965_husrom_18	HelleBol	4		husrom
1929-1965_husrom_80	1929-1965_husrom_82	alexandra_w	4		husrom
1970-2015_husrom_258	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_611	alexandra_w	4		husrom
1929-1965_husrom_82	1970-2015_husrom_381	alexandra_w	4		husrom
1929-1965_husrom_82	1970-2015_husrom_129	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_90	alexandra_w	4		husrom
1970-2015_husrom_611	1970-2015_husrom_67	alexandra_w	4		husrom
1970-2015_husrom_409	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_82	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_121	1929-1965_husrom_22	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_611	alexandra_w	4		husrom
1970-2015_husrom_262	1970-2015_husrom_611	alexandra_w	4		husrom
1929-1965_husrom_35	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_82	1970-2015_husrom_258	alexandra_w	3		husrom
1929-1965_husrom_18	1970-2015_husrom_258	alexandra_w	4		husrom
1970-2015_husrom_258	1970-2015_husrom_90	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_18	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_18	1929-1965_husrom_35	alexandra_w	4		husrom
1929-1965_husrom_18	1970-2015_husrom_409	alexandra_w	4		husrom
1929-1965_husrom_18	1970-2015_husrom_129	alexandra_w	4		husrom
1970-2015_husrom_129	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_18	1970-2015_husrom_90	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_129	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_129	alexandra_w	4		husrom
1929-1965_husrom_22	1929-1965_husrom_53	alexandra_w	4		husrom
1970-2015_husrom_129	1970-2015_husrom_90	alexandra_w	4		husrom
1970-2015_husrom_67	1970-2015_husrom_90	alexandra_w	4		husrom
1970-2015_husrom_129	1970-2015_husrom_387	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_90	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_90	alexandra_w	4		husrom
1970-2015_husrom_129	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_23	1929-1965_husrom_82	alexandra_w	3		husrom
1970-2015_husrom_409	1970-2015_husrom_90	alexandra_w	4		husrom
1929-1965_husrom_80	1970-2015_husrom_387	alexandra_w	3		husrom
1929-1965_husrom_83	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_18	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_80	1970-2015_husrom_262	alexandra_w	3		husrom
1970-2015_husrom_262	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_53	1929-1965_husrom_80	alexandra_w	4		husrom
1929-1965_husrom_18	1929-1965_husrom_53	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_361	alexandra_w	4		husrom
1970-2015_husrom_381	1970-2015_husrom_90	alexandra_w	0		husrom
1929-1965_husrom_121	1929-1965_husrom_35	alexandra_w	4		husrom
1929-1965_husrom_121	1929-1965_husrom_29	alexandra_w	4		husrom
1929-1965_husrom_121	1929-1965_husrom_82	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_361	alexandra_w	4		husrom
1970-2015_husrom_129	1970-2015_husrom_611	alexandra_w	4		husrom
1929-1965_husrom_80	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_80	1970-2015_husrom_129	alexandra_w	3		husrom
1929-1965_husrom_80	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_18	1929-1965_husrom_23	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_90	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_611	alexandra_w	4		husrom
1970-2015_husrom_387	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_83	1970-2015_husrom_258	alexandra_w	4		husrom
1970-2015_husrom_258	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_29	1970-2015_husrom_258	alexandra_w	4		husrom
1970-2015_husrom_258	1970-2015_husrom_387	alexandra_w	4		husrom
1929-1965_husrom_39	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_80	1970-2015_husrom_258	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_35	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_39	1929-1965_husrom_53	alexandra_w	4		husrom
1929-1965_husrom_18	1929-1965_husrom_39	alexandra_w	4		husrom
1929-1965_husrom_39	1970-2015_husrom_262	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_387	alexandra_w	4		husrom
1929-1965_husrom_29	1929-1965_husrom_82	alexandra_w	4		husrom
1970-2015_husrom_409	1970-2015_husrom_611	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_409	alexandra_w	4		husrom
1929-1965_husrom_29	1970-2015_husrom_409	alexandra_w	4		husrom
1929-1965_husrom_53	1970-2015_husrom_409	alexandra_w	4		husrom
1970-2015_husrom_387	1970-2015_husrom_611	alexandra_w	4		husrom
1929-1965_husrom_39	1929-1965_husrom_83	alexandra_w	4		husrom
1929-1965_husrom_29	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_121	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_35	1970-2015_husrom_387	alexandra_w	4		husrom
1929-1965_husrom_35	1929-1965_husrom_80	alexandra_w	4		husrom
1929-1965_husrom_29	1929-1965_husrom_35	alexandra_w	4		husrom
1929-1965_husrom_35	1970-2015_husrom_129	alexandra_w	4		husrom
1929-1965_husrom_35	1929-1965_husrom_83	alexandra_w	4		husrom
1970-2015_husrom_381	1970-2015_husrom_505	alexandra_w	4		husrom
1929-1965_husrom_29	1970-2015_husrom_381	alexandra_w	4		husrom
1970-2015_husrom_381	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_35	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_23	1929-1965_husrom_39	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_381	alexandra_w	4		husrom
1929-1965_husrom_22	1929-1965_husrom_39	alexandra_w	4		husrom
1929-1965_husrom_22	1929-1965_husrom_23	alexandra_w	4		husrom
1929-1965_husrom_23	1929-1965_husrom_80	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_67	alexandra_w	4		husrom
1929-1965_husrom_23	1970-2015_husrom_129	alexandra_w	4		husrom
1929-1965_husrom_22	1970-2015_husrom_505	alexandra_w	4		husrom
