identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_idiot_10	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_30	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_48	1970-2015_idiot_7	HelleBol	2		idiot
1970-2015_idiot_2	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_48	1970-2015_idiot_8	HelleBol	4		idiot
1970-2015_idiot_1	1970-2015_idiot_8	HelleBol	4		idiot
1929-1965_idiot_24	1929-1965_idiot_41	HelleBol	2		idiot
1970-2015_idiot_1	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_24	1970-2015_idiot_3	HelleBol	4		idiot
1929-1965_idiot_30	1970-2015_idiot_1	HelleBol	4		idiot
1970-2015_idiot_1	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_7	1970-2015_idiot_1	HelleBol	2		idiot
1929-1965_idiot_41	1970-2015_idiot_1	HelleBol	2		idiot
1970-2015_idiot_1	1970-2015_idiot_4	HelleBol	4		idiot
1970-2015_idiot_1	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_24	1929-1965_idiot_7	HelleBol	2		idiot
1929-1965_idiot_10	1970-2015_idiot_7	HelleBol	2		idiot
1970-2015_idiot_5	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_24	1929-1965_idiot_48	HelleBol	4		idiot
1929-1965_idiot_40	1970-2015_idiot_4	HelleBol	4		idiot
1929-1965_idiot_40	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_40	1970-2015_idiot_3	HelleBol	4		idiot
1929-1965_idiot_40	1929-1965_idiot_9	HelleBol	2		idiot
1929-1965_idiot_40	1970-2015_idiot_1	HelleBol	4		idiot
1929-1965_idiot_37	1970-2015_idiot_8	HelleBol	2		idiot
1970-2015_idiot_2	1970-2015_idiot_3	HelleBol	4		idiot
1929-1965_idiot_10	1970-2015_idiot_0	HelleBol	4		idiot
1970-2015_idiot_0	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_10	1970-2015_idiot_1	HelleBol	4		idiot
1929-1965_idiot_37	1970-2015_idiot_3	HelleBol	2		idiot
1970-2015_idiot_3	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_53	1970-2015_idiot_3	HelleBol	4		idiot
1929-1965_idiot_41	1970-2015_idiot_3	HelleBol	2		idiot
1929-1965_idiot_37	1970-2015_idiot_2	HelleBol	2		idiot
1929-1965_idiot_10	1929-1965_idiot_48	HelleBol	4		idiot
1929-1965_idiot_30	1970-2015_idiot_2	HelleBol	4		idiot
1929-1965_idiot_30	1929-1965_idiot_37	HelleBol	2		idiot
1929-1965_idiot_30	1970-2015_idiot_6	HelleBol	4		idiot
1970-2015_idiot_0	1970-2015_idiot_5	HelleBol	4		idiot
1970-2015_idiot_0	1970-2015_idiot_4	HelleBol	4		idiot
1929-1965_idiot_48	1929-1965_idiot_53	HelleBol	4		idiot
1970-2015_idiot_0	1970-2015_idiot_1	HelleBol	4		idiot
1929-1965_idiot_53	1929-1965_idiot_7	HelleBol	2		idiot
1929-1965_idiot_53	1970-2015_idiot_0	HelleBol	4		idiot
1929-1965_idiot_10	1929-1965_idiot_53	HelleBol	4		idiot
1929-1965_idiot_53	1970-2015_idiot_2	HelleBol	4		idiot
1970-2015_idiot_4	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_59	1970-2015_idiot_4	HelleBol	4		idiot
1929-1965_idiot_53	1970-2015_idiot_4	HelleBol	4		idiot
1929-1965_idiot_30	1970-2015_idiot_4	HelleBol	4		idiot
1929-1965_idiot_40	1970-2015_idiot_2	HelleBol	4		idiot
1970-2015_idiot_2	1970-2015_idiot_8	HelleBol	4		idiot
1970-2015_idiot_2	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_41	1970-2015_idiot_0	HelleBol	2		idiot
1929-1965_idiot_10	1929-1965_idiot_40	HelleBol	4		idiot
1970-2015_idiot_0	1970-2015_idiot_3	HelleBol	4		idiot
1929-1965_idiot_24	1929-1965_idiot_53	HelleBol	4		idiot
1929-1965_idiot_30	1929-1965_idiot_48	HelleBol	4		idiot
1929-1965_idiot_30	1929-1965_idiot_59	HelleBol	4		idiot
1929-1965_idiot_37	1929-1965_idiot_41	HelleBol	4		idiot
1929-1965_idiot_24	1929-1965_idiot_37	HelleBol	2		idiot
1929-1965_idiot_37	1970-2015_idiot_7	HelleBol	4		idiot
1929-1965_idiot_37	1929-1965_idiot_40	HelleBol	0		idiot
1929-1965_idiot_10	1929-1965_idiot_37	HelleBol	2		idiot
1929-1965_idiot_53	1970-2015_idiot_8	HelleBol	4		idiot
1929-1965_idiot_41	1970-2015_idiot_8	HelleBol	2		idiot
1929-1965_idiot_7	1970-2015_idiot_8	HelleBol	2		idiot
1929-1965_idiot_40	1970-2015_idiot_8	HelleBol	4		idiot
1929-1965_idiot_30	1929-1965_idiot_41	HelleBol	2		idiot
1929-1965_idiot_41	1970-2015_idiot_2	HelleBol	2		idiot
1970-2015_idiot_4	1970-2015_idiot_8	HelleBol	4		idiot
1929-1965_idiot_53	1970-2015_idiot_7	HelleBol	2		idiot
1929-1965_idiot_53	1970-2015_idiot_5	HelleBol	4		idiot
1929-1965_idiot_10	1929-1965_idiot_9	HelleBol	2		idiot
1929-1965_idiot_24	1929-1965_idiot_30	HelleBol	4		idiot
1929-1965_idiot_7	1970-2015_idiot_7	HelleBol	4		idiot
1929-1965_idiot_10	1929-1965_idiot_59	HelleBol	4		idiot
1929-1965_idiot_24	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_10	1970-2015_idiot_2	HelleBol	4		idiot
1929-1965_idiot_59	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_59	1970-2015_idiot_2	HelleBol	4		idiot
1929-1965_idiot_7	1970-2015_idiot_3	HelleBol	2		idiot
1929-1965_idiot_10	1929-1965_idiot_24	HelleBol	4		idiot
1929-1965_idiot_37	1929-1965_idiot_59	HelleBol	2		idiot
1929-1965_idiot_7	1970-2015_idiot_2	HelleBol	2		idiot
1929-1965_idiot_37	1929-1965_idiot_7	HelleBol	4		idiot
1970-2015_idiot_3	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_41	1970-2015_idiot_6	HelleBol	2		idiot
1929-1965_idiot_10	1929-1965_idiot_7	HelleBol	2		idiot
1929-1965_idiot_9	1970-2015_idiot_7	HelleBol	4		idiot
1929-1965_idiot_59	1929-1965_idiot_7	HelleBol	2		idiot
1929-1965_idiot_48	1929-1965_idiot_59	HelleBol	4		idiot
1929-1965_idiot_9	1970-2015_idiot_3	HelleBol	2		idiot
1929-1965_idiot_53	1929-1965_idiot_9	HelleBol	2		idiot
1970-2015_idiot_0	1970-2015_idiot_6	HelleBol	4		idiot
1929-1965_idiot_53	1929-1965_idiot_59	HelleBol	4		idiot
1929-1965_idiot_7	1970-2015_idiot_5	HelleBol	2		idiot
1929-1965_idiot_7	1970-2015_idiot_6	HelleBol	2		idiot
1929-1965_idiot_41	1929-1965_idiot_59	HelleBol	2		idiot
1929-1965_idiot_7	1929-1965_idiot_9	HelleBol	4		idiot
1929-1965_idiot_10	1970-2015_idiot_8	alexandra_w	4		idiot
1929-1965_idiot_37	1970-2015_idiot_8	alexandra_w	2		idiot
1929-1965_idiot_24	1929-1965_idiot_59	alexandra_w	4		idiot
1929-1965_idiot_7	1970-2015_idiot_8	alexandra_w	3		idiot
1929-1965_idiot_41	1970-2015_idiot_6	alexandra_w	3		idiot
1929-1965_idiot_37	1970-2015_idiot_1	alexandra_w	2		idiot
1929-1965_idiot_10	1929-1965_idiot_37	alexandra_w	2		idiot
1929-1965_idiot_24	1929-1965_idiot_37	alexandra_w	2		idiot
1970-2015_idiot_2	1970-2015_idiot_8	alexandra_w	4		idiot
1929-1965_idiot_37	1970-2015_idiot_6	alexandra_w	2		idiot
1970-2015_idiot_3	1970-2015_idiot_8	alexandra_w	4		idiot
1970-2015_idiot_6	1970-2015_idiot_8	alexandra_w	4		idiot
1929-1965_idiot_41	1970-2015_idiot_0	alexandra_w	3		idiot
1929-1965_idiot_30	1929-1965_idiot_9	alexandra_w	2		idiot
1929-1965_idiot_30	1929-1965_idiot_53	alexandra_w	3		idiot
1929-1965_idiot_59	1970-2015_idiot_8	alexandra_w	4		idiot
1929-1965_idiot_41	1970-2015_idiot_1	alexandra_w	3		idiot
1929-1965_idiot_59	1929-1965_idiot_7	alexandra_w	2		idiot
1929-1965_idiot_7	1970-2015_idiot_1	alexandra_w	4		idiot
1929-1965_idiot_24	1970-2015_idiot_1	alexandra_w	4		idiot
1929-1965_idiot_9	1970-2015_idiot_1	alexandra_w	3		idiot
1929-1965_idiot_40	1929-1965_idiot_59	alexandra_w	4		idiot
1929-1965_idiot_37	1929-1965_idiot_7	alexandra_w	2		idiot
1929-1965_idiot_40	1929-1965_idiot_48	alexandra_w	2		idiot
1929-1965_idiot_48	1929-1965_idiot_59	alexandra_w	4		idiot
1929-1965_idiot_30	1970-2015_idiot_7	alexandra_w	3		idiot
1929-1965_idiot_30	1929-1965_idiot_48	alexandra_w	4		idiot
1929-1965_idiot_30	1929-1965_idiot_7	alexandra_w	4		idiot
1929-1965_idiot_37	1929-1965_idiot_9	alexandra_w	3		idiot
1929-1965_idiot_10	1970-2015_idiot_4	alexandra_w	4		idiot
1929-1965_idiot_30	1970-2015_idiot_5	alexandra_w	4		idiot
1929-1965_idiot_48	1970-2015_idiot_0	alexandra_w	3		idiot
1929-1965_idiot_10	1929-1965_idiot_53	alexandra_w	4		idiot
1929-1965_idiot_9	1970-2015_idiot_4	alexandra_w	3		idiot
1970-2015_idiot_5	1970-2015_idiot_8	alexandra_w	4		idiot
1970-2015_idiot_3	1970-2015_idiot_5	alexandra_w	4		idiot
1929-1965_idiot_48	1970-2015_idiot_5	alexandra_w	4		idiot
1970-2015_idiot_2	1970-2015_idiot_4	alexandra_w	4		idiot
1929-1965_idiot_24	1970-2015_idiot_4	alexandra_w	4		idiot
1970-2015_idiot_3	1970-2015_idiot_4	alexandra_w	4		idiot
1970-2015_idiot_1	1970-2015_idiot_4	alexandra_w	4		idiot
1929-1965_idiot_30	1970-2015_idiot_4	alexandra_w	4		idiot
1970-2015_idiot_4	1970-2015_idiot_8	alexandra_w	3		idiot
1929-1965_idiot_53	1970-2015_idiot_0	alexandra_w	3		idiot
1970-2015_idiot_1	1970-2015_idiot_6	alexandra_w	2		idiot
1929-1965_idiot_9	1970-2015_idiot_2	alexandra_w	3		idiot
