lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
idiot	NN	1929	1929-1965	1929-1965_idiot_24		Jeg er gal, Elling! En idiot er jeg!	23:28	0:36	13481	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_1		Denne gledesdreperen av en idiot og svakelig mannsskikkelse skal ikke få fullføre sitt verk! Krymp ikke av regresjon!»	27:32	0:118	13469	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_7		Videre må idioter holdes for seg, akutt sinnssyke for seg osv.	10:17	0:62	13474	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_48		— Jeg tenkte et øieblikk på det. — De vilde vaert en idiot hvis	52:57	0:62	13475	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_8		Det er beslutningsprosesser det er behov for opplaering i. Avgjørelser blir tatt over hodet på folk hele tiden. Med større bredde i opplaeringen og delegering av myndighet, kan den enkelte rette opp feilene sine i stedet for å sitte der som en idiot når ledere ombestemmer.	242:247	0:271	13471	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_41		Hvis variasjonsbredden hadde vaeret likestor hos kvinner som hos menn, likestor i begge kjønn, så vilde hele den menneskelige civilisasjon ha vaeret en annen, enn den er idag. Hadde kvinnenes variasjonsbredde i alle forhold vaeret så stor som menns, så vilde vi blandt kvinner hatt likeså mange genier som blandt menn. Men vi vilde da også blandt kvinner hatt likeså mange åndssvake, idioter og defekte som blandt menn, likeså mange storforbrytere, kjeltringer og moralsk dårlige individer som blandt menn. Sannsynligvis vilde en sådan tingenes ordning ført til all kulturs undergang, ialfall på et meget tidligere tidspunkt enn efter den nuvaerende verdensorden.	381:388	0:659	13463	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_30		Men så tok sinnet ham. Og han begynte å skjelle ut disse gamle idiotene som ingenting kunne skjønne.	63:71	0:100	13478	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_37		Av alle individer som fødes innen det tyske rike, sier Lenz. er eller blir på grunn av arvelige anlegg: Åndssvake 1,5 procent, idioter 0,25 pet., sinnssyke 1.5 pct v epileptikere 0,15 pet., psykopater flere pet., åndelig ikke fullverdige ca. 10 pet.	127:134	0:249	13482	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_59		Hele byen er igjen klokere enn jeg. Nu har de alle forstått helt fra først av at Faste var en gal mann, bare idiot på en annen manér enn broren! . . .	109:114	0:150	13472	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_7		Noget lignende kan man jo også se hos hunder eller rovdyr i en zoologisk have. Men hos disse dvr er dog slike driftsutslag inngått i en normal livsform. Det er ikke tilfelle for den menneskelige idiots vedkommende.	195:201	0:214	13467	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_6		Kun idioter gikk frivillig med på slikt nonsens, mens vi andre søkte adspredelse i tilvaerelsen på annen måte, etter fantasi og evner.	4:11	0:133	13480	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_10		I oktober blev Marinedivisjonen sendt til Antwerpen; en åndeløs natt gikk ryktet at de skulde holde stillingen til siste mann. «Jeg tenkte ikke (som jeg hadde ventet) for en fordømmede idiot jeg hadde vaert som ikke hadde skrevet mer og gjort forskjellige ting bedre og vaert mindre selvisk.	185:190	0:289	13477	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_0		Jeg ble ganske enkelt forbannet og kom i heftig diskusjon med far. Han mente at slike idioter som jeg måtte interneres eller skytes som landsforraedere i en kommende krig.	86:93	0:170	13470	real_norwegian_semantic_change	no	andrey
idiot	NN	1929	1929-1965	1929-1965_idiot_53		Man biter ten* nene sammen og blir stående som en idiot og op* føre pantomimer til sitt folge; snakke er naturlig* vis haapløst mellem alle disse hvislende, fraesende og dundrende maskin*mysterier, som man synes djevler må ha utspekulert.	50:55	0:237	13479	real_norwegian_semantic_change	no	andrey
idiot	NN	1970	1970-2015	1970-2015_idiot_5		Et ytterligere tidstypisk trekk syntes å vaere at Pablo hadde bestemt seg for at det var «slutt på ' La Charca&gt;s poliklinikk'», uansett om hans strategi lyktes eller ikke. I egne ord ønsket han ikke lenger vaere en «naiv idiot som ga uten å få igjen» (comemierda).	222:227	0:265	13465	real_norwegian_semantic_change	no	andrey
