identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_kart_2272	1929-1965_kart_92	HelleBol	4		kart
1929-1965_kart_92	1970-2015_kart_2824	HelleBol	4		kart
1970-2015_kart_1157	1970-2015_kart_3704	HelleBol	4		kart
1929-1965_kart_2272	1970-2015_kart_953	HelleBol	4		kart
1929-1965_kart_2160	1970-2015_kart_5603	HelleBol	4		kart
1929-1965_kart_1821	1970-2015_kart_2631	HelleBol	0		kart
1970-2015_kart_2631	1970-2015_kart_68	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_68	HelleBol	4		kart
1929-1965_kart_830	1970-2015_kart_5711	HelleBol	4		kart
1929-1965_kart_830	1970-2015_kart_5336	HelleBol	4		kart
1929-1965_kart_598	1929-1965_kart_830	HelleBol	4		kart
1929-1965_kart_1763	1970-2015_kart_68	HelleBol	4		kart
1929-1965_kart_1821	1970-2015_kart_68	HelleBol	4		kart
1970-2015_kart_2631	1970-2015_kart_2824	HelleBol	4		kart
1929-1965_kart_2750	1970-2015_kart_68	HelleBol	4		kart
1929-1965_kart_1372	1970-2015_kart_1157	HelleBol	4		kart
1929-1965_kart_1372	1929-1965_kart_1821	HelleBol	4		kart
1929-1965_kart_1821	1929-1965_kart_598	HelleBol	4		kart
1929-1965_kart_1372	1929-1965_kart_1605	HelleBol	4		kart
1929-1965_kart_1372	1970-2015_kart_767	HelleBol	4		kart
1970-2015_kart_2631	1970-2015_kart_5336	HelleBol	4		kart
1929-1965_kart_1605	1929-1965_kart_830	HelleBol	4		kart
1970-2015_kart_5603	1970-2015_kart_5711	HelleBol	4		kart
1929-1965_kart_2160	1970-2015_kart_68	HelleBol	4		kart
1929-1965_kart_2750	1970-2015_kart_2631	HelleBol	4		kart
1929-1965_kart_2160	1929-1965_kart_598	HelleBol	4		kart
1929-1965_kart_2160	1970-2015_kart_3704	HelleBol	4		kart
1929-1965_kart_1605	1929-1965_kart_2750	HelleBol	4		kart
1929-1965_kart_1204	1970-2015_kart_5336	HelleBol	4		kart
1970-2015_kart_1157	1970-2015_kart_2631	HelleBol	4		kart
1929-1965_kart_1204	1929-1965_kart_2750	HelleBol	4		kart
1970-2015_kart_3704	1970-2015_kart_5711	HelleBol	4		kart
1929-1965_kart_1204	1970-2015_kart_767	HelleBol	4		kart
1929-1965_kart_1204	1929-1965_kart_598	HelleBol	4		kart
1970-2015_kart_1157	1970-2015_kart_68	HelleBol	4		kart
1970-2015_kart_2631	1970-2015_kart_3704	HelleBol	4		kart
1929-1965_kart_2160	1970-2015_kart_1157	HelleBol	4		kart
1929-1965_kart_2272	1970-2015_kart_5603	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_5711	HelleBol	4		kart
1929-1965_kart_1821	1970-2015_kart_3704	HelleBol	4		kart
1929-1965_kart_1763	1970-2015_kart_767	HelleBol	4		kart
1929-1965_kart_1605	1970-2015_kart_2824	HelleBol	4		kart
1929-1965_kart_2272	1929-1965_kart_2750	HelleBol	4		kart
1929-1965_kart_2750	1970-2015_kart_5711	HelleBol	4		kart
1970-2015_kart_5711	1970-2015_kart_953	HelleBol	4		kart
1929-1965_kart_2272	1970-2015_kart_3704	HelleBol	4		kart
1929-1965_kart_92	1970-2015_kart_68	HelleBol	4		kart
1929-1965_kart_1372	1929-1965_kart_2272	HelleBol	4		kart
1929-1965_kart_2750	1970-2015_kart_2824	HelleBol	4		kart
1929-1965_kart_1605	1970-2015_kart_68	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_3704	HelleBol	4		kart
1970-2015_kart_3704	1970-2015_kart_767	HelleBol	4		kart
1929-1965_kart_2160	1929-1965_kart_830	HelleBol	4		kart
1970-2015_kart_3704	1970-2015_kart_953	HelleBol	4		kart
1929-1965_kart_92	1970-2015_kart_5336	HelleBol	4		kart
1929-1965_kart_1821	1929-1965_kart_2750	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_953	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_767	HelleBol	4		kart
1970-2015_kart_1783	1970-2015_kart_5603	HelleBol	4		kart
1929-1965_kart_1605	1970-2015_kart_1783	HelleBol	4		kart
1970-2015_kart_5711	1970-2015_kart_767	HelleBol	4		kart
1929-1965_kart_830	1970-2015_kart_953	HelleBol	4		kart
1929-1965_kart_1204	1970-2015_kart_5711	HelleBol	4		kart
