identifier1	identifier2	annotator	judgment	comment	lemma
1970-2015_katten_0	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_49	1970-2015_katten_5	HelleBol	1		katt
1929-1965_katten_27	1929-1965_katten_40	HelleBol	4		katt
1929-1965_katten_30	1970-2015_katten_1	HelleBol	4		katt
1929-1965_katten_13	1929-1965_katten_59	HelleBol	1		katt
1929-1965_katten_48	1970-2015_katten_0	HelleBol	4		katt
1929-1965_katten_20	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_59	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_40	1929-1965_katten_49	HelleBol	4		katt
1929-1965_katten_49	1929-1965_katten_54	HelleBol	1		katt
1929-1965_katten_49	1970-2015_katten_1	HelleBol	4		katt
1929-1965_katten_27	1970-2015_katten_5	HelleBol	1		katt
1929-1965_katten_40	1970-2015_katten_3	HelleBol	4		katt
1929-1965_katten_48	1970-2015_katten_1	HelleBol	4		katt
1929-1965_katten_49	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_30	1970-2015_katten_6	HelleBol	1		katt
1970-2015_katten_0	1970-2015_katten_3	HelleBol	4		katt
1970-2015_katten_4	1970-2015_katten_6	HelleBol	4		katt
1929-1965_katten_59	1970-2015_katten_6	HelleBol	1		katt
1929-1965_katten_30	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_27	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_27	1929-1965_katten_59	HelleBol	4		katt
1929-1965_katten_13	1970-2015_katten_4	HelleBol	1		katt
1929-1965_katten_20	1970-2015_katten_0	HelleBol	4		katt
1929-1965_katten_20	1970-2015_katten_6	HelleBol	1		katt
1929-1965_katten_30	1929-1965_katten_49	HelleBol	4		katt
1929-1965_katten_46	1929-1965_katten_59	HelleBol	1		katt
1929-1965_katten_13	1929-1965_katten_40	HelleBol	1		katt
1929-1965_katten_13	1970-2015_katten_1	HelleBol	1		katt
1929-1965_katten_13	1929-1965_katten_49	HelleBol	1		katt
1929-1965_katten_40	1929-1965_katten_59	HelleBol	4		katt
1929-1965_katten_44	1970-2015_katten_7	HelleBol	4		katt
1929-1965_katten_13	1929-1965_katten_46	HelleBol	1		katt
1929-1965_katten_13	1929-1965_katten_30	HelleBol	1		katt
1929-1965_katten_44	1970-2015_katten_5	HelleBol	1		katt
1929-1965_katten_44	1970-2015_katten_2	HelleBol	4		katt
1929-1965_katten_20	1929-1965_katten_46	HelleBol	1		katt
