identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_leder_986	1970-2015_leder_1250	HelleBol	4		leder
1929-1965_leder_555	1970-2015_leder_16326	HelleBol	4		leder
1929-1965_leder_456	1929-1965_leder_986	HelleBol	4		leder
1929-1965_leder_963	1929-1965_leder_986	HelleBol	4		leder
1929-1965_leder_986	1970-2015_leder_7744	HelleBol	4		leder
1970-2015_leder_1250	1970-2015_leder_1712	HelleBol	4		leder
1970-2015_leder_1250	1970-2015_leder_16986	HelleBol	4		leder
1970-2015_leder_12301	1970-2015_leder_16986	HelleBol	4		leder
1929-1965_leder_456	1929-1965_leder_963	HelleBol	4		leder
1929-1965_leder_660	1970-2015_leder_4033	HelleBol	4		leder
1970-2015_leder_12301	1970-2015_leder_1250	HelleBol	4		leder
1929-1965_leder_1179	1970-2015_leder_1250	HelleBol	0		leder
1929-1965_leder_1282	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_555	1929-1965_leder_963	HelleBol	4		leder
1970-2015_leder_1127	1970-2015_leder_16986	HelleBol	4		leder
1929-1965_leder_1481	1970-2015_leder_16437	HelleBol	4		leder
1970-2015_leder_1127	1970-2015_leder_16437	HelleBol	4		leder
1970-2015_leder_1127	1970-2015_leder_144	HelleBol	4		leder
1970-2015_leder_1127	1970-2015_leder_7744	HelleBol	4		leder
1970-2015_leder_4033	1970-2015_leder_7744	HelleBol	4		leder
1970-2015_leder_16005	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_1481	1970-2015_leder_16986	HelleBol	4		leder
1929-1965_leder_1282	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_1282	1970-2015_leder_16005	HelleBol	4		leder
1970-2015_leder_144	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_588	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_1398	1929-1965_leder_963	HelleBol	4		leder
1929-1965_leder_1282	1929-1965_leder_660	HelleBol	4		leder
1929-1965_leder_986	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_1347	1929-1965_leder_588	HelleBol	4		leder
1929-1965_leder_1282	1929-1965_leder_588	HelleBol	4		leder
1929-1965_leder_588	1970-2015_leder_16437	HelleBol	4		leder
1929-1965_leder_456	1929-1965_leder_588	HelleBol	4		leder
1970-2015_leder_16326	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_1179	1970-2015_leder_16986	HelleBol	0		leder
1929-1965_leder_1179	1929-1965_leder_963	HelleBol	0		leder
1929-1965_leder_588	1970-2015_leder_16326	HelleBol	4		leder
1929-1965_leder_1282	1929-1965_leder_555	HelleBol	4		leder
1929-1965_leder_986	1970-2015_leder_144	HelleBol	4		leder
1929-1965_leder_1179	1929-1965_leder_588	HelleBol	0		leder
1970-2015_leder_144	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_963	1970-2015_leder_16437	HelleBol	4		leder
1929-1965_leder_555	1970-2015_leder_16437	HelleBol	4		leder
1929-1965_leder_963	1970-2015_leder_16986	HelleBol	4		leder
1929-1965_leder_588	1929-1965_leder_986	HelleBol	4		leder
1929-1965_leder_588	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_456	1970-2015_leder_16986	HelleBol	4		leder
1929-1965_leder_555	1970-2015_leder_16986	HelleBol	4		leder
1970-2015_leder_16986	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_1347	1929-1965_leder_986	HelleBol	4		leder
1929-1965_leder_1179	1929-1965_leder_660	HelleBol	0		leder
1929-1965_leder_660	1970-2015_leder_16005	HelleBol	4		leder
1929-1965_leder_588	1929-1965_leder_660	HelleBol	4		leder
1929-1965_leder_963	1970-2015_leder_4033	HelleBol	4		leder
1929-1965_leder_1347	1970-2015_leder_1127	HelleBol	4		leder
1929-1965_leder_1347	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_1179	1970-2015_leder_16437	HelleBol	0		leder
1970-2015_leder_1127	1970-2015_leder_12301	HelleBol	4		leder
1929-1965_leder_1481	1929-1965_leder_588	HelleBol	4		leder
1929-1965_leder_1282	1970-2015_leder_16326	HelleBol	4		leder
1929-1965_leder_1179	1970-2015_leder_12301	HelleBol	0		leder
1929-1965_leder_456	1970-2015_leder_1250	HelleBol	4		leder
1970-2015_leder_12301	1970-2015_leder_1712	HelleBol	4		leder
1929-1965_leder_1481	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_963	1970-2015_leder_7744	HelleBol	4		leder
1929-1965_leder_1347	1929-1965_leder_963	HelleBol	4		leder
1970-2015_leder_16005	1970-2015_leder_7744	HelleBol	4		leder
