lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
leilighet	NN	1970	1970-2015	1970-2015_leilighet_1226		Leilighetene var pene og komfortable med kort avstand til hotellet. Informasjonsmøtet var kort og greit lagt opp.	104:108	0:113	13777	real_norwegian_semantic_change	no	andrey
leilighet	NN	1929	1929-1965	1929-1965_leilighet_454		Det sterke uttrykk «drive ut» vitner om hvor levende Jesus var gjennomtrengt av følelsen av det påtrengende behov for skikkede medarbeidere. 10, 1: Mens Jesu ord i 9, 37 f. var henvendt til alle de ved leiligheten tilstedevaerende disipler, omtaler Matt. her for første gang en begrenset krets, som han kaller «hans tolv disipler» og deretter (v. 2) «de tolv apostler».	202:213	0:368	13778	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_2513		Bygget ble oppført uten protester fra noen kant. Like lett var det ikke for arkitekt Haakon Kinck i 1969 da han søkte om tillatelse til å oppføre et hybelhus med 120 leiligheter i samarbeid med SAS. Naboen protesterte, og i et ekstraordinaert årsmøte i Snarøen	166:177	0:259	13771	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_1041		Leilighetene i 2. etasje vil få numrene 0201, 0202, 0203 og 0204. Den foreslåtte endringen vil gjøre det mulig å lage statistikk for etasjen, noe som vil vaere nyttig for flere formål.	113:117	0:183	13781	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_532		Ellers er saerlig følgende bestemmelser i husleieloven av betydning for leieforholdet mellom borettslaget og andelseieren: 5 som bestemmer at leieavtalen skal vaere skriftlig hvis en av partene krever det. § 13 om overlevering av utleid leilighet eller rom. Etter 1. og 2. ledd i sistnevnte paragraf skal borettslaget som utleier til avtalt tid stille boligen til rådighet for andelseieren i ordentlig stand.	235:244	0:406	13776	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_1779		For enebolig er gjennomsnittlig egenkapital i 1971 kommet opp i kr. 39 200, —. Gjennomsnittlig tall for egenkapital for hele landet for samtliige boligtyper var i 1971 kommet opp i kr. 29 800, —. En vil i denne forbindelse gjøre oppmerksom på at hovedtyngden av statsansatte arbeider i byer og tettsteder hvor prisene på leiligheter og eneboliger ligger høyere og muligheten for egeninnsats er mindre enn i landsgjennomsnittet.	321:332	0:427	13782	real_norwegian_semantic_change	no	andrey
leilighet	NN	1929	1929-1965	1929-1965_leilighet_1299		— Vi får ta dig med og få rettet på dette, sa doktoren, og før nogen av dem fikk åpnet munnen til takk, lå Benjamin i sykekurven og rakte henne hånden til farvel og bad om å få sendt gangklaerne efter med sikker leilighet.	211:220	0:221	13773	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_1706		Hvis ikke nemnda samtykker i noe annet, skal leiligheten utleies til eller på annen måte tas i bruk av andre for den tid ledigheten varer».	45:56	0:139	13772	real_norwegian_semantic_change	no	andrey
leilighet	NN	1929	1929-1965	1929-1965_leilighet_970		«Å, du ha no inkje so mykje å kjyte a dei du ha skate me stutrefla di, du hell, Hans,» mente Kristen. «Aeg ha no draepe rein, aeg, med mi refle, men du kjem inkje te å råk 'en før du faer deg so lang refle at du kan peike burt på 'en!» Hans benyttet gjerne leiligheten når han var sammen med oss i fjellet, til overfor Kristen å si forskjellige ting mer like ut enn han våget nede i bygden.	253:264	0:386	13774	real_norwegian_semantic_change	no	andrey
leilighet	NN	1970	1970-2015	1970-2015_leilighet_2155		"Toyen fjord nomsnitt Leilighet i datters hus Leilighet 300 m unna Trygdebolig 9 8 12 11 12 1."") L 2 11 11 11 ■M\ 30 38 38 50 17 17 11l 58 17 50 Total (N) |"	0:0	0:155	13770	real_norwegian_semantic_change	no	andrey
