identifier1	identifier2	annotator	judgment	comment	lemma
1970-2015_linse_10	1970-2015_linse_31	HelleBol	3		linse
1929-1965_linse_184	1929-1965_linse_241	HelleBol	0		linse
1929-1965_linse_51	1929-1965_linse_94	HelleBol	0		linse
1929-1965_linse_51	1970-2015_linse_90	HelleBol	0		linse
1970-2015_linse_69	1970-2015_linse_90	HelleBol	4		linse
1929-1965_linse_163	1929-1965_linse_184	HelleBol	3		linse
1929-1965_linse_163	1929-1965_linse_241	HelleBol	0		linse
1929-1965_linse_100	1970-2015_linse_5	HelleBol	2		linse
1929-1965_linse_163	1970-2015_linse_10	HelleBol	4		linse
1929-1965_linse_163	1929-1965_linse_94	HelleBol	2		linse
1929-1965_linse_100	1929-1965_linse_247	HelleBol	4		linse
1929-1965_linse_29	1970-2015_linse_28	HelleBol	2		linse
1929-1965_linse_51	1929-1965_linse_52	HelleBol	0		linse
1970-2015_linse_4	1970-2015_linse_42	HelleBol	2		linse
1970-2015_linse_4	1970-2015_linse_90	HelleBol	2		linse
1929-1965_linse_163	1970-2015_linse_28	HelleBol	3		linse
1929-1965_linse_163	1970-2015_linse_14	HelleBol	2		linse
1929-1965_linse_107	1970-2015_linse_16	HelleBol	2		linse
1970-2015_linse_16	1970-2015_linse_28	HelleBol	3		linse
1929-1965_linse_51	1970-2015_linse_75	HelleBol	0		linse
1929-1965_linse_100	1929-1965_linse_94	HelleBol	4		linse
1970-2015_linse_16	1970-2015_linse_4	HelleBol	4		linse
1929-1965_linse_77	1970-2015_linse_5	HelleBol	2		linse
1970-2015_linse_10	1970-2015_linse_4	HelleBol	4		linse
1929-1965_linse_241	1929-1965_linse_77	HelleBol	0		linse
1929-1965_linse_241	1970-2015_linse_4	HelleBol	0		linse
1929-1965_linse_100	1970-2015_linse_16	HelleBol	2		linse
1929-1965_linse_29	1970-2015_linse_75	HelleBol	2		linse
1929-1965_linse_184	1929-1965_linse_94	HelleBol	2		linse
1970-2015_linse_28	1970-2015_linse_75	HelleBol	3		linse
1929-1965_linse_29	1970-2015_linse_10	HelleBol	2		linse
1970-2015_linse_14	1970-2015_linse_28	HelleBol	4		linse
1970-2015_linse_28	1970-2015_linse_5	HelleBol	4		linse
1929-1965_linse_163	1929-1965_linse_29	HelleBol	2		linse
1929-1965_linse_100	1970-2015_linse_28	HelleBol	2		linse
1929-1965_linse_100	1929-1965_linse_163	HelleBol	2		linse
1929-1965_linse_247	1929-1965_linse_51	HelleBol	0		linse
1929-1965_linse_241	1970-2015_linse_16	HelleBol	0		linse
1929-1965_linse_184	1970-2015_linse_28	HelleBol	4		linse
1929-1965_linse_29	1929-1965_linse_51	HelleBol	0		linse
1929-1965_linse_77	1970-2015_linse_28	HelleBol	2		linse
1929-1965_linse_241	1970-2015_linse_14	HelleBol	0		linse
1929-1965_linse_247	1970-2015_linse_28	HelleBol	2		linse
1929-1965_linse_241	1970-2015_linse_10	HelleBol	0		linse
1970-2015_linse_14	1970-2015_linse_42	HelleBol	2		linse
1929-1965_linse_241	1929-1965_linse_94	HelleBol	0		linse
1929-1965_linse_247	1970-2015_linse_75	HelleBol	2		linse
1929-1965_linse_247	1929-1965_linse_94	HelleBol	4		linse
1970-2015_linse_14	1970-2015_linse_5	HelleBol	4		linse
1970-2015_linse_10	1970-2015_linse_28	HelleBol	3		linse
1929-1965_linse_52	1970-2015_linse_28	HelleBol	0		linse
1929-1965_linse_29	1970-2015_linse_69	HelleBol	4		linse
1929-1965_linse_241	1970-2015_linse_69	HelleBol	0		linse
1929-1965_linse_52	1970-2015_linse_14	HelleBol	0		linse
1929-1965_linse_94	1970-2015_linse_31	HelleBol	2		linse
1970-2015_linse_14	1970-2015_linse_31	HelleBol	3		linse
1929-1965_linse_77	1970-2015_linse_10	HelleBol	2		linse
1929-1965_linse_107	1970-2015_linse_28	HelleBol	2		linse
1970-2015_linse_4	1970-2015_linse_69	HelleBol	2		linse
1929-1965_linse_163	1970-2015_linse_69	HelleBol	2		linse
1970-2015_linse_31	1970-2015_linse_69	HelleBol	2		linse
1929-1965_linse_29	1970-2015_linse_4	HelleBol	2		linse
1970-2015_linse_14	1970-2015_linse_4	HelleBol	3		linse
1929-1965_linse_184	1970-2015_linse_4	HelleBol	3		linse
1929-1965_linse_184	1929-1965_linse_52	HelleBol	0		linse
1970-2015_linse_28	1970-2015_linse_90	HelleBol	2		linse
1929-1965_linse_29	1970-2015_linse_16	HelleBol	2		linse
1929-1965_linse_107	1970-2015_linse_69	HelleBol	4		linse
1970-2015_linse_31	1970-2015_linse_42	HelleBol	2		linse
1970-2015_linse_16	1970-2015_linse_42	HelleBol	2		linse
1929-1965_linse_184	1970-2015_linse_16	HelleBol	3		linse
1929-1965_linse_100	1929-1965_linse_184	HelleBol	2		linse
1929-1965_linse_52	1970-2015_linse_90	HelleBol	0		linse
1929-1965_linse_100	1970-2015_linse_42	HelleBol	4		linse
1929-1965_linse_77	1970-2015_linse_42	HelleBol	4		linse
1929-1965_linse_77	1970-2015_linse_31	HelleBol	2		linse
1970-2015_linse_31	1970-2015_linse_90	HelleBol	2		linse
1929-1965_linse_77	1970-2015_linse_69	HelleBol	4		linse
1929-1965_linse_184	1929-1965_linse_247	HelleBol	2		linse
1970-2015_linse_10	1970-2015_linse_69	HelleBol	2		linse
1929-1965_linse_247	1970-2015_linse_31	HelleBol	2		linse
1929-1965_linse_241	1929-1965_linse_52	HelleBol	0		linse
1929-1965_linse_52	1929-1965_linse_94	HelleBol	0		linse
1929-1965_linse_52	1970-2015_linse_4	HelleBol	0		linse
1929-1965_linse_94	1970-2015_linse_16	HelleBol	2		linse
1929-1965_linse_52	1970-2015_linse_69	HelleBol	0		linse
1929-1965_linse_52	1970-2015_linse_75	HelleBol	0		linse
1929-1965_linse_100	1929-1965_linse_52	HelleBol	0		linse
1929-1965_linse_107	1929-1965_linse_247	HelleBol	4		linse
1929-1965_linse_184	1929-1965_linse_77	HelleBol	2		linse
1929-1965_linse_241	1970-2015_linse_28	HelleBol	0		linse
1929-1965_linse_241	1970-2015_linse_31	HelleBol	0		linse
1970-2015_linse_10	1970-2015_linse_5	HelleBol	3		linse
1929-1965_linse_184	1929-1965_linse_29	HelleBol	2		linse
1929-1965_linse_77	1970-2015_linse_16	HelleBol	2		linse
1929-1965_linse_51	1970-2015_linse_10	HelleBol	0		linse
1929-1965_linse_241	1970-2015_linse_90	HelleBol	0		linse
1929-1965_linse_184	1970-2015_linse_10	HelleBol	3		linse
1970-2015_linse_10	1970-2015_linse_75	HelleBol	3		linse
1929-1965_linse_107	1929-1965_linse_51	HelleBol	0		linse
1970-2015_linse_14	1970-2015_linse_28	alexandra_w	2		linse
1929-1965_linse_77	1970-2015_linse_28	alexandra_w	1		linse
1929-1965_linse_94	1970-2015_linse_90	alexandra_w	4		linse
1929-1965_linse_94	1970-2015_linse_42	alexandra_w	4		linse
1929-1965_linse_94	1970-2015_linse_10	alexandra_w	1		linse
1929-1965_linse_52	1929-1965_linse_94	alexandra_w	1		linse
1929-1965_linse_100	1970-2015_linse_16	alexandra_w	1		linse
1929-1965_linse_100	1929-1965_linse_241	alexandra_w	4		linse
1929-1965_linse_100	1970-2015_linse_28	alexandra_w	1		linse
1929-1965_linse_94	1970-2015_linse_4	alexandra_w	1		linse
