identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_lyng_67	1970-2015_lyng_55	HelleBol	4		lyng
1929-1965_lyng_206	1970-2015_lyng_183	HelleBol	4		lyng
1970-2015_lyng_137	1970-2015_lyng_189	HelleBol	4		lyng
1929-1965_lyng_206	1970-2015_lyng_168	HelleBol	1		lyng
1970-2015_lyng_183	1970-2015_lyng_84	HelleBol	1		lyng
1970-2015_lyng_137	1970-2015_lyng_71	HelleBol	1		lyng
1929-1965_lyng_73	1970-2015_lyng_168	HelleBol	4		lyng
1970-2015_lyng_168	1970-2015_lyng_71	HelleBol	4		lyng
1970-2015_lyng_168	1970-2015_lyng_66	HelleBol	4		lyng
1970-2015_lyng_157	1970-2015_lyng_66	HelleBol	4		lyng
1929-1965_lyng_103	1970-2015_lyng_71	HelleBol	4		lyng
1970-2015_lyng_156	1970-2015_lyng_168	HelleBol	1		lyng
1929-1965_lyng_103	1970-2015_lyng_55	HelleBol	4		lyng
1929-1965_lyng_103	1929-1965_lyng_231	HelleBol	4		lyng
1970-2015_lyng_66	1970-2015_lyng_84	HelleBol	1		lyng
1929-1965_lyng_103	1929-1965_lyng_67	HelleBol	4		lyng
1929-1965_lyng_103	1929-1965_lyng_255	HelleBol	4		lyng
1929-1965_lyng_255	1970-2015_lyng_66	HelleBol	4		lyng
1929-1965_lyng_25	1970-2015_lyng_168	HelleBol	4		lyng
1970-2015_lyng_137	1970-2015_lyng_66	HelleBol	1		lyng
1929-1965_lyng_211	1970-2015_lyng_156	HelleBol	1		lyng
1970-2015_lyng_189	1970-2015_lyng_66	HelleBol	1		lyng
1929-1965_lyng_116	1970-2015_lyng_84	HelleBol	1		lyng
1929-1965_lyng_255	1970-2015_lyng_84	HelleBol	1		lyng
1929-1965_lyng_73	1970-2015_lyng_66	HelleBol	4		lyng
1970-2015_lyng_157	1970-2015_lyng_84	HelleBol	1		lyng
1929-1965_lyng_73	1970-2015_lyng_71	HelleBol	4		lyng
1929-1965_lyng_211	1929-1965_lyng_73	HelleBol	1		lyng
1929-1965_lyng_206	1970-2015_lyng_137	HelleBol	1		lyng
1929-1965_lyng_67	1929-1965_lyng_73	HelleBol	4		lyng
1929-1965_lyng_206	1929-1965_lyng_25	HelleBol	1		lyng
1929-1965_lyng_206	1970-2015_lyng_189	HelleBol	1		lyng
1929-1965_lyng_116	1929-1965_lyng_25	HelleBol	4		lyng
1970-2015_lyng_183	1970-2015_lyng_71	HelleBol	1		lyng
1929-1965_lyng_116	1970-2015_lyng_71	HelleBol	4		lyng
1929-1965_lyng_116	1970-2015_lyng_168	HelleBol	4		lyng
1929-1965_lyng_255	1970-2015_lyng_157	HelleBol	4		lyng
1929-1965_lyng_23	1929-1965_lyng_255	HelleBol	4		lyng
1929-1965_lyng_231	1970-2015_lyng_157	HelleBol	4		lyng
1929-1965_lyng_67	1970-2015_lyng_157	HelleBol	4		lyng
1929-1965_lyng_23	1929-1965_lyng_25	HelleBol	4		lyng
1929-1965_lyng_211	1929-1965_lyng_25	HelleBol	1		lyng
1929-1965_lyng_255	1970-2015_lyng_71	HelleBol	4		lyng
1929-1965_lyng_116	1929-1965_lyng_255	HelleBol	4		lyng
1929-1965_lyng_255	1970-2015_lyng_55	HelleBol	4		lyng
1929-1965_lyng_231	1929-1965_lyng_255	HelleBol	4		lyng
1929-1965_lyng_211	1970-2015_lyng_71	HelleBol	1		lyng
1970-2015_lyng_168	1970-2015_lyng_189	HelleBol	1		lyng
1929-1965_lyng_262	1970-2015_lyng_189	HelleBol	4		lyng
1929-1965_lyng_103	1970-2015_lyng_183	HelleBol	1		lyng
1929-1965_lyng_25	1970-2015_lyng_156	HelleBol	1		lyng
1929-1965_lyng_116	1970-2015_lyng_189	HelleBol	1		lyng
1929-1965_lyng_231	1929-1965_lyng_25	HelleBol	4		lyng
1929-1965_lyng_25	1970-2015_lyng_157	HelleBol	4		lyng
