lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	identifier_system	project	lang	user
mening	NN	1929	1929-1965	1929-1965_mening_890		Den mening man kunde danne sig om lan6ingßlorholdene der oppe i isen vilde så bli avgjørende for valget av type	4:10	0:111	13681	real_norwegian_semantic_change	no	andrey
mening	NN	1929	1929-1965	1929-1965_mening_4969		Det var som en stille avtale mellom oss at spørsmålet først skulle opptas til høsten med november, når mitt års betenkningstid var løpt ut. Men meningen at jeg da ville gi ham mitt ja, lå liksom i luften. Jeg vet ikke hva jeg kan ha tenkt eller følt i tiden utover, eftersom det avgjørende naermet seg; men min trang og tilflukt ble bare hver dag ivrigere å skrive og beskrive alt i brevene hjemover, så dere kunne og måtte innse at her var tale om alt annet enn å seige seg for en prestegard!	144:152	0:492	13683	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_15778		Lovhjemmelen og ansvaret for samordning av arbeidet for funksjonshemmede bør etter Hovedkomitéens mening overføres fra Kirke- og undervisningsdepartementet til Sosialdepartementet.	98:104	0:180	13698	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_6773		Etter kommisjonens mening er derfor en bredere og mer helhetlig tiln??rmingsm??te p??krevet.	19:25	0:92	13702	real_norwegian_semantic_change	no	andrey
mening	NN	1929	1929-1965	1929-1965_mening_1216		Ffirst vell «len siste setning gikk bans mening tullstenllig op tar berme.	41:47	0:74	13688	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_10568		Endringer av garantibeløpet bør det etter Utvalgets mening imidlertid bare bli snakk om ved vesentlige endringer av de forutsetninger bevillingen er gitt etter. Den alminnelige prisstigning vil også gi anledning til forholdsmessige justeringer.	52:58	0:244	13682	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_9596		Dette forutsetter etter utvalgets mening at regionene blir større enn nå. Regionnivået er bl. a. diskutert både av Christiansenutvalget og Wilhelmsen-utvalget.	34:40	0:159	13694	real_norwegian_semantic_change	no	andrey
mening	NN	1929	1929-1965	1929-1965_mening_974		Det var altsammen som noget av den store mening med os herneden.	41:47	0:64	13701	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_13763		Det er flertallets mening at en integrering av teknologi, realfag, samfunnsfag, filologi, arkitektur, estetiske fag, filosofi og medisin vil kunne gi impulser til å fremme den vitenskapelige utvikling i grenseområdene mellom etablerte fagområder og til å gi nye arbeidsoppgåver for de innarbeidede fagene ved universitetet. impulser skal finne sted, er det viktig å strukturere universitetet slik at det blir best mulig kontakter mellom fagmiljøene.	19:25	0:449	13686	real_norwegian_semantic_change	no	andrey
mening	NN	1970	1970-2015	1970-2015_mening_11299		Dersom man da finner en beskrivelse som «gammelt bord», kan dette ha en viss mening i forhold til de andre bordene. Huskeliste: i. Få oversikt over magasinene oggjenstandene.	77:83	0:174	13695	real_norwegian_semantic_change	no	andrey
