identifier1	identifier2	annotator	judgment	comment	lemma
1929-1965_mål_1891	1970-2015_mål_47169	HelleBol	2		mål
1929-1965_mål_3190	1970-2015_mål_31674	HelleBol	3		mål
1929-1965_mål_2812	1970-2015_mål_42385	HelleBol	1		mål
1929-1965_mål_2812	1929-1965_mål_3044	HelleBol	1		mål
1929-1965_mål_2812	1970-2015_mål_35346	HelleBol	1		mål
1929-1965_mål_2812	1929-1965_mål_4228	HelleBol	1		mål
1929-1965_mål_3190	1929-1965_mål_3766	HelleBol	2		mål
1929-1965_mål_2238	1929-1965_mål_3190	HelleBol	3		mål
1970-2015_mål_1536	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_2238	1970-2015_mål_18109	HelleBol	2		mål
1929-1965_mål_2238	1929-1965_mål_3766	HelleBol	2		mål
1970-2015_mål_42385	1970-2015_mål_44731	HelleBol	4		mål
1929-1965_mål_2238	1929-1965_mål_3044	HelleBol	3		mål
1929-1965_mål_2238	1970-2015_mål_1536	HelleBol	2		mål
1929-1965_mål_2238	1970-2015_mål_42385	HelleBol	2		mål
1929-1965_mål_1891	1970-2015_mål_44731	HelleBol	2		mål
1929-1965_mål_2238	1929-1965_mål_2812	HelleBol	1		mål
1929-1965_mål_1891	1970-2015_mål_4059	HelleBol	2		mål
1929-1965_mål_2238	1929-1965_mål_2801	HelleBol	4		mål
1929-1965_mål_2801	1929-1965_mål_4159	HelleBol	1		mål
1929-1965_mål_2801	1929-1965_mål_3044	HelleBol	3		mål
1929-1965_mål_2801	1929-1965_mål_3190	HelleBol	3		mål
1929-1965_mål_2801	1929-1965_mål_3766	HelleBol	2		mål
1929-1965_mål_1867	1929-1965_mål_2238	HelleBol	2		mål
1929-1965_mål_2801	1970-2015_mål_31674	HelleBol	4		mål
1929-1965_mål_3190	1970-2015_mål_1536	HelleBol	2		mål
1929-1965_mål_1891	1929-1965_mål_3190	HelleBol	4		mål
1970-2015_mål_35346	1970-2015_mål_44731	HelleBol	4		mål
1929-1965_mål_3766	1929-1965_mål_4159	HelleBol	1		mål
1929-1965_mål_4159	1970-2015_mål_4059	HelleBol	1		mål
1970-2015_mål_31674	1970-2015_mål_35174	HelleBol	4		mål
1929-1965_mål_1891	1970-2015_mål_35174	HelleBol	3		mål
1970-2015_mål_35174	1970-2015_mål_4059	HelleBol	2		mål
1970-2015_mål_35174	1970-2015_mål_53318	HelleBol	4		mål
1929-1965_mål_1867	1970-2015_mål_35174	HelleBol	2		mål
1970-2015_mål_35174	1970-2015_mål_42385	HelleBol	2		mål
1970-2015_mål_18109	1970-2015_mål_31674	HelleBol	2		mål
1970-2015_mål_18109	1970-2015_mål_53318	HelleBol	2		mål
1970-2015_mål_18109	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_1419	1970-2015_mål_18109	HelleBol	4		mål
1970-2015_mål_18109	1970-2015_mål_47169	HelleBol	4		mål
1929-1965_mål_2238	1929-1965_mål_4159	HelleBol	1		mål
1929-1965_mål_4159	1970-2015_mål_44731	HelleBol	1		mål
1929-1965_mål_4159	1970-2015_mål_1536	HelleBol	1		mål
1929-1965_mål_4159	1970-2015_mål_18109	HelleBol	1		mål
1929-1965_mål_2812	1929-1965_mål_4159	HelleBol	2		mål
1929-1965_mål_1867	1929-1965_mål_4159	HelleBol	1		mål
1929-1965_mål_4159	1970-2015_mål_31674	HelleBol	1		mål
1929-1965_mål_2812	1970-2015_mål_47169	HelleBol	1		mål
1929-1965_mål_3190	1970-2015_mål_4059	HelleBol	2		mål
1929-1965_mål_2801	1970-2015_mål_4059	HelleBol	2		mål
1929-1965_mål_1419	1929-1965_mål_2801	HelleBol	2		mål
1929-1965_mål_2801	1970-2015_mål_44731	HelleBol	2		mål
1929-1965_mål_2801	1970-2015_mål_1536	HelleBol	2		mål
1970-2015_mål_4059	1970-2015_mål_42385	HelleBol	4		mål
1929-1965_mål_3766	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_2812	1970-2015_mål_4059	HelleBol	1		mål
1970-2015_mål_31674	1970-2015_mål_4059	HelleBol	2		mål
1929-1965_mål_1419	1929-1965_mål_1867	HelleBol	4		mål
1929-1965_mål_3044	1970-2015_mål_4059	HelleBol	2		mål
1929-1965_mål_1419	1970-2015_mål_35346	HelleBol	4		mål
1970-2015_mål_31674	1970-2015_mål_42385	HelleBol	2		mål
1929-1965_mål_3044	1970-2015_mål_42385	HelleBol	2		mål
1970-2015_mål_35346	1970-2015_mål_42385	HelleBol	4		mål
1929-1965_mål_3766	1970-2015_mål_42385	HelleBol	4		mål
1970-2015_mål_42385	1970-2015_mål_8278	HelleBol	4		mål
1929-1965_mål_3190	1970-2015_mål_42385	HelleBol	2		mål
1929-1965_mål_1891	1970-2015_mål_42385	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_42385	HelleBol	0		mål
1970-2015_mål_42385	1970-2015_mål_53318	HelleBol	2		mål
1929-1965_mål_1867	1929-1965_mål_3190	HelleBol	2		mål
1929-1965_mål_1867	1929-1965_mål_2801	HelleBol	2		mål
1929-1965_mål_1867	1970-2015_mål_8278	HelleBol	4		mål
1929-1965_mål_1867	1970-2015_mål_31674	HelleBol	2		mål
1929-1965_mål_3190	1970-2015_mål_35346	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_35346	HelleBol	3		mål
1970-2015_mål_31674	1970-2015_mål_35346	HelleBol	2		mål
1970-2015_mål_4059	1970-2015_mål_8278	HelleBol	4		mål
1970-2015_mål_47169	1970-2015_mål_8278	HelleBol	4		mål
1929-1965_mål_1867	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_1867	1970-2015_mål_47169	HelleBol	4		mål
1929-1965_mål_2801	1970-2015_mål_35346	HelleBol	2		mål
1929-1965_mål_2801	1970-2015_mål_18109	HelleBol	2		mål
1929-1965_mål_1891	1929-1965_mål_4159	HelleBol	1		mål
1929-1965_mål_1891	1929-1965_mål_2238	HelleBol	3		mål
1929-1965_mål_1891	1929-1965_mål_3766	HelleBol	2		mål
1929-1965_mål_1419	1970-2015_mål_47169	HelleBol	4		mål
1929-1965_mål_1419	1929-1965_mål_1891	HelleBol	2		mål
1929-1965_mål_3766	1970-2015_mål_31674	HelleBol	2		mål
1929-1965_mål_1419	1929-1965_mål_2238	HelleBol	2		mål
1970-2015_mål_35174	1970-2015_mål_8278	HelleBol	2		mål
1929-1965_mål_1867	1929-1965_mål_1891	HelleBol	2		mål
1929-1965_mål_1891	1929-1965_mål_3044	HelleBol	4		mål
1929-1965_mål_4159	1970-2015_mål_8278	HelleBol	1		mål
1929-1965_mål_4228	1970-2015_mål_8278	HelleBol	4		mål
1929-1965_mål_3044	1970-2015_mål_8278	HelleBol	2		mål
1929-1965_mål_2238	1970-2015_mål_35346	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_3766	1929-1965_mål_4228	HelleBol	3		mål
1929-1965_mål_2238	1929-1965_mål_4228	HelleBol	2		mål
1929-1965_mål_1891	1929-1965_mål_4228	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_31674	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_47169	HelleBol	2		mål
1929-1965_mål_1867	1970-2015_mål_35346	HelleBol	4		mål
1929-1965_mål_1419	1970-2015_mål_4059	HelleBol	4		mål
1929-1965_mål_2801	1970-2015_mål_47169	HelleBol	2		mål
1970-2015_mål_35346	1970-2015_mål_47169	HelleBol	4		mål
1970-2015_mål_47169	1970-2015_mål_53318	HelleBol	2		mål
1970-2015_mål_1536	1970-2015_mål_35346	HelleBol	4		mål
1929-1965_mål_1867	1970-2015_mål_44731	HelleBol	4		mål
1929-1965_mål_3766	1970-2015_mål_53318	HelleBol	2		mål
1929-1965_mål_3044	1970-2015_mål_31674	HelleBol	3		mål
1929-1965_mål_1419	1929-1965_mål_4228	HelleBol	4		mål
1929-1965_mål_3044	1929-1965_mål_4228	HelleBol	2		mål
1970-2015_mål_31674	1970-2015_mål_53318	HelleBol	4		mål
1970-2015_mål_35346	1970-2015_mål_53318	HelleBol	2		mål
1929-1965_mål_4159	1970-2015_mål_47169	HelleBol	1		mål
1929-1965_mål_2238	1970-2015_mål_44731	HelleBol	2		mål
1929-1965_mål_4228	1970-2015_mål_44731	HelleBol	4		mål
1929-1965_mål_2238	1970-2015_mål_53318	HelleBol	4		mål
1970-2015_mål_4059	1970-2015_mål_53318	HelleBol	2		mål
1929-1965_mål_1891	1970-2015_mål_1536	HelleBol	2		mål
1929-1965_mål_1419	1929-1965_mål_3766	HelleBol	4		mål
1929-1965_mål_3766	1970-2015_mål_1536	HelleBol	4		mål
1929-1965_mål_3044	1929-1965_mål_3766	HelleBol	2		mål
1970-2015_mål_35174	1970-2015_mål_44731	HelleBol	2		mål
1929-1965_mål_3044	1970-2015_mål_44731	HelleBol	2		mål
1929-1965_mål_3766	1970-2015_mål_44731	HelleBol	4		mål
1929-1965_mål_2801	1970-2015_mål_53318	HelleBol	4		mål
1929-1965_mål_1419	1929-1965_mål_4228	alexandra_w	1		mål
